seizure_id,incident_id,item_category,item,quantity,unit,estimated_value_inr,seized_from_person_id
SZ000110,INC000272,CASH,Indian currency,1227076,INR,0,P000351
SZ000111,INC000273,CONTRABAND,Betel nut (supari),46,nos,12469049,P000858
SZ000112,INC000275,CASH,Indian currency,18424227,INR,0,P000946
SZ000113,INC000280,WEAPON,AK-series rifle,4,nos,157320,P000048
SZ000114,INC000287,CONTRABAND,Star tortoises,560.95,kg,199676183,P000873
SZ000115,INC000287,CASH,Indian currency,2807382,INR,0,P000873
SZ000116,INC000289,CONTRABAND,Heroin,479,grams,10502760,P000909
SZ000117,INC000290,CASH,Indian currency,19550735,INR,0,P000718
SZ000118,INC000291,CONTRABAND,Betel nut (supari),43,nos,1573981995,P000314
SZ000119,INC000294,CASH,Indian currency,16633582,INR,0,P000497
SZ000120,INC000298,CONTRABAND,Country-made pistols,13,nos,11718887,P000127
SZ000121,INC000305,WEAPON,SBBL gun,5,nos,45385,P000806
SZ000122,INC000306,CONTRABAND,Cocaine,3.93,kg,475970745,P000105
SZ000123,INC000308,CASH,Indian currency,1740037,INR,0,P000353
SZ000124,INC000310,CASH,Indian currency,10780694,INR,0,P000124
SZ000125,INC000312,CONTRABAND,Country-made pistols,4,nos,12016557,P000156
SZ000126,INC000312,CASH,Indian currency,7259173,INR,0,P000156
SZ000127,INC000314,CASH,Indian currency,19006303,INR,0,P000255
SZ000128,INC000317,CONTRABAND,Country-made pistols,8,nos,2100036,P000124
SZ000129,INC000317,WEAPON,DBBL gun,4,nos,286624,P000124
SZ000130,INC000318,CONTRABAND,Live cartridges,12,nos,6816272,P000107
SZ000131,INC000318,WEAPON,Knife,4,nos,150633,P000107
SZ000132,INC000320,CASH,Indian currency,16936043,INR,0,P000284
SZ000133,INC000324,CONTRABAND,Semi-finished frames,49,nos,5102161,P000114
SZ000134,INC000324,WEAPON,Air weapon,5,nos,268380,P000114
SZ000135,INC000324,CASH,Indian currency,5952132,INR,0,P000114
SZ000136,INC000325,CONTRABAND,Foreign cigarettes,33,nos,37355099,P000326
SZ000137,INC000328,CASH,Indian currency,8927837,INR,0,P000489
SZ000138,INC000332,CONTRABAND,Red sanders logs,429.29,kg,156633835,P000872
SZ000139,INC000334,CONTRABAND,Semi-finished frames,6,nos,4608065,P000501
SZ000140,INC000334,WEAPON,Country-made pistol (katta),1,nos,199164,P000501
SZ000141,INC000337,WEAPON,.32 bore revolver,2,nos,150358,P000037
SZ000142,INC000342,CONTRABAND,Gold biscuits,32,nos,1240474867,P000858
SZ000143,INC000346,CONTRABAND,Foreign cigarettes,9,nos,35179912,P000946
SZ000144,INC000347,CONTRABAND,Ganja,252,grams,16506301,P000645
SZ000145,INC000350,CONTRABAND,Country-made pistols,39,nos,1590825,P000489
SZ000146,INC000351,CONTRABAND,Rifle barrels,52,nos,13376344,P000798
SZ000147,INC000351,WEAPON,Knife,5,nos,205279,P000798
SZ000148,INC000352,CASH,Indian currency,4961960,INR,0,P000409
SZ000149,INC000356,WEAPON,9mm pistol,5,nos,39895,P000397
SZ000150,INC000357,CONTRABAND,Foreign cigarettes,25,nos,783724,P000857
SZ000151,INC000359,CASH,Indian currency,13207588,INR,0,P000234
SZ000152,INC000361,CASH,Indian currency,7978045,INR,0,P000102
SZ000153,INC000363,CONTRABAND,Live cartridges,29,nos,7689745,P000802
SZ000154,INC000364,CONTRABAND,Foreign cigarettes,5,nos,47276288,P000317
SZ000155,INC000364,CASH,Indian currency,10153471,INR,0,P000317
SZ000156,INC000370,CASH,Indian currency,6463850,INR,0,P000516
SZ000157,INC000371,WEAPON,Machete (chopper),6,nos,12978,P000946
SZ000158,INC000375,WEAPON,AK-series rifle,1,nos,299035,P000891
SZ000159,INC000378,CASH,Indian currency,1893998,INR,0,P000724
SZ000160,INC000382,CONTRABAND,Charas,7.506,kg,151026461,P000111
SZ000161,INC000383,CONTRABAND,Pseudoephedrine,807,grams,249470075,P000895
SZ000162,INC000386,CONTRABAND,Live cartridges,53,nos,16608953,P000477
SZ000163,INC000386,WEAPON,Sword,4,nos,205745,P000477
SZ000164,INC000387,CASH,Indian currency,18838347,INR,0,P000555
SZ000165,INC000390,WEAPON,AK-series rifle,2,nos,107864,P000369
SZ000166,INC000394,CONTRABAND,Semi-finished frames,49,nos,17977764,P000774
SZ000167,INC000394,WEAPON,Air weapon,4,nos,226322,P000774
SZ000168,INC000400,CONTRABAND,Security ink,64556,INR face value,59495305,P000586
SZ000169,INC000404,CONTRABAND,Tramadol capsules,0.13,kg,250786851,P000125
SZ000170,INC000405,WEAPON,Sword,3,nos,82583,P000064
SZ000171,INC000413,CONTRABAND,Elephant ivory,274.27,kg,17791432,P000940
SZ000172,INC000415,CONTRABAND,Semi-finished frames,30,nos,631032,P000497
SZ000173,INC000418,CASH,Indian currency,9836852,INR,0,P000612
SZ000174,INC000420,CONTRABAND,Shahtoosh shawls,300.57,kg,400691587,P000873
SZ000175,INC000420,CASH,Indian currency,13823942,INR,0,P000873
SZ000176,INC000423,CONTRABAND,Semi-finished frames,24,nos,4100479,P000639
SZ000177,INC000424,CONTRABAND,Star tortoises,728.69,kg,334387692,P000875
SZ000178,INC000431,CONTRABAND,Heroin,514,grams,6322337,P000952
SZ000179,INC000435,CONTRABAND,Alprazolam tablets,2.681,kg,15760909,P000614
SZ000180,INC000442,WEAPON,Air weapon,2,nos,123631,P000126
SZ000181,INC000445,CASH,Indian currency,11224973,INR,0,P000333
SZ000182,INC000454,CONTRABAND,Opium,344,grams,113215012,P000100
SZ000183,INC000455,CASH,Indian currency,13020016,INR,0,P000540
SZ000184,INC000456,CASH,Indian currency,2263243,INR,0,P000381
SZ000185,INC000457,CONTRABAND,Semi-finished frames,20,nos,2766785,P000501
SZ000186,INC000458,CONTRABAND,Ganja,10.961,kg,12618810,P000630
SZ000187,INC000460,CASH,Indian currency,18954163,INR,0,P000995
SZ000188,INC000463,CONTRABAND,Mobile phones,5,nos,1361557,P000579
SZ000189,INC000465,WEAPON,Improvised explosive material,6,nos,297428,P000991
SZ000190,INC000466,WEAPON,DBBL gun,3,nos,50325,P000064
SZ000191,INC000469,CONTRABAND,Alprazolam tablets,288,grams,15396708,P000148
SZ000192,INC000469,CASH,Indian currency,16578743,INR,0,P000148
SZ000193,INC000473,CASH,Indian currency,5082185,INR,0,P000482
SZ000194,INC000474,CONTRABAND,Brown sugar,6.475,kg,602635565,P000611
SZ000195,INC000476,CONTRABAND,Mobile phones,6,nos,1142219041,P000860
SZ000196,INC000477,CONTRABAND,Gold biscuits,1,nos,208230,P000313
SZ000197,INC000483,CONTRABAND,Betel nut (supari),36,nos,4198606,P000583
SZ000198,INC000483,CASH,Indian currency,14264777,INR,0,P000583
SZ000199,INC000485,CASH,Indian currency,7588752,INR,0,P000429
SZ000200,INC000488,CASH,Indian currency,10121375,INR,0,P000931
SZ000201,INC000490,CASH,Indian currency,6423491,INR,0,P000540
SZ000202,INC000492,CASH,Indian currency,13884756,INR,0,P000704
SZ000203,INC000493,CASH,Indian currency,12636049,INR,0,P000425
SZ000204,INC000497,WEAPON,Air weapon,4,nos,78059,P000360
SZ000205,INC000498,CONTRABAND,Country-made pistols,23,nos,13770141,P000778
SZ000206,INC000500,CONTRABAND,Tiger nails,105.31,kg,419799426,P000866
SZ000207,INC000503,CASH,Indian currency,5847120,INR,0,P000365
SZ000208,INC000506,WEAPON,Country-made pistol (katta),4,nos,155050,P000404
SZ000209,INC000506,CASH,Indian currency,15512787,INR,0,P000404
SZ000210,INC000507,CONTRABAND,Foreign cigarettes,17,nos,882571904,P000867
SZ000211,INC000509,CONTRABAND,Foreign cigarettes,12,nos,550512,P000348
SZ000212,INC000511,CONTRABAND,Rifle barrels,41,nos,1985030,P000783
SZ000213,INC000511,WEAPON,AK-series rifle,6,nos,267535,P000783
SZ000214,INC000512,CONTRABAND,Semi-finished frames,18,nos,7454067,P000804
SZ000215,INC000516,CONTRABAND,Chinese firecrackers,45,nos,2306432068,P000291
SZ000216,INC000520,WEAPON,Knife,2,nos,20597,P000791
SZ000217,INC000521,WEAPON,DBBL gun,5,nos,89996,P000940
SZ000218,INC000522,WEAPON,DBBL gun,3,nos,187657,P000901
SZ000219,INC000525,WEAPON,AK-series rifle,1,nos,198143,P000992
SZ000220,INC000528,CASH,Indian currency,4078756,INR,0,P000887
SZ000221,INC000529,WEAPON,Machete (chopper),6,nos,258003,P000046
SZ000222,INC000534,WEAPON,.32 bore revolver,4,nos,249937,P000066
SZ000223,INC000536,CASH,Indian currency,13973592,INR,0,P000536
SZ000224,INC000538,CONTRABAND,Shahtoosh shawls,849.85,kg,192326256,P000870
SZ000225,INC000540,CONTRABAND,Intaglio plates,2096482,INR face value,98082321,P000572
SZ000226,INC000541,WEAPON,Knife,4,nos,169887,P000827
SZ000227,INC000544,CASH,Indian currency,12556323,INR,0,P000684
SZ000228,INC000550,WEAPON,Improvised explosive material,6,nos,117973,P000412
SZ000229,INC000553,WEAPON,Improvised explosive material,6,nos,294196,P000838
SZ000230,INC000554,WEAPON,SBBL gun,2,nos,130282,P000475
SZ000231,INC000555,WEAPON,Sword,6,nos,286701,P000367
SZ000232,INC000557,WEAPON,Knife,5,nos,135089,P000080
SZ000233,INC000558,CASH,Indian currency,6863617,INR,0,P000566
SZ000234,INC000560,CONTRABAND,Foreign cigarettes,32,nos,8637915,P000603
SZ000235,INC000568,WEAPON,Air weapon,6,nos,48732,P000787
SZ000236,INC000569,CONTRABAND,Rifle barrels,12,nos,13563076,P000147
SZ000237,INC000569,WEAPON,SBBL gun,5,nos,65353,P000147
SZ000238,INC000570,CONTRABAND,Heroin,1.12,kg,488693242,P000615
SZ000239,INC000574,WEAPON,Improvised explosive material,3,nos,124652,P000940
SZ000240,INC000575,CONTRABAND,Tiger nails,214.7,kg,385095943,P000872
SZ000241,INC000576,CONTRABAND,Star tortoises,222.96,kg,277549185,P000854
SZ000242,INC000581,CONTRABAND,Red sanders logs,871.22,kg,399060761,P000847
SZ000243,INC000581,CASH,Indian currency,5401829,INR,0,P000847
SZ000244,INC000587,CONTRABAND,Rifle barrels,47,nos,12997232,P000773
SZ000245,INC000591,CASH,Indian currency,9834796,INR,0,P000695
SZ000246,INC000595,CONTRABAND,Tiger nails,875.05,kg,403270483,P000960
SZ000247,INC000595,CASH,Indian currency,16207378,INR,0,P000960
SZ000248,INC000600,CASH,Indian currency,19336204,INR,0,P000369
SZ000249,INC000602,CASH,Indian currency,14681385,INR,0,P000259
SZ000250,INC000603,CASH,Indian currency,1294523,INR,0,P000715
SZ000251,INC000605,WEAPON,DBBL gun,6,nos,91271,P000794
SZ000252,INC000605,CASH,Indian currency,8934529,INR,0,P000794
SZ000253,INC000607,WEAPON,DBBL gun,4,nos,31380,P000776
SZ000254,INC000611,WEAPON,Country-made pistol (katta),2,nos,98941,P000169
SZ000255,INC000612,CONTRABAND,Semi-finished frames,42,nos,373617,P000805
SZ000256,INC000612,WEAPON,Machete (chopper),2,nos,7737,P000805
SZ000257,INC000615,WEAPON,.32 bore revolver,2,nos,63970,P000052
SZ000258,INC000619,CONTRABAND,Tramadol capsules,540,grams,728084781,P000096
SZ000259,INC000620,CASH,Indian currency,6355496,INR,0,P000872
SZ000260,INC000622,CASH,Indian currency,16795243,INR,0,P000033
SZ000261,INC000626,CASH,Indian currency,9579855,INR,0,P000441
SZ000262,INC000627,CASH,Indian currency,4522024,INR,0,P000812
SZ000263,INC000629,CONTRABAND,Ganja,659,grams,14117136,P000135
SZ000264,INC000637,CONTRABAND,Pseudoephedrine,8.456,kg,173036973,P000665
SZ000265,INC000639,CASH,Indian currency,1242152,INR,0,P000545
SZ000266,INC000640,CONTRABAND,Tiger nails,318.85,kg,780186509,P000882
SZ000267,INC000642,CONTRABAND,Live cartridges,3,nos,18450218,P000627
SZ000268,INC000644,WEAPON,DBBL gun,3,nos,181553,P000488
SZ000269,INC000651,CONTRABAND,Country-made pistols,26,nos,8798997,P000796
SZ000270,INC000652,CASH,Indian currency,690312,INR,0,P000240
SZ000271,INC000655,CONTRABAND,Shahtoosh shawls,565.18,kg,553559330,P000872
SZ000272,INC000657,CONTRABAND,Star tortoises,535.34,kg,198935034,P000854
SZ000273,INC000659,CONTRABAND,Gold biscuits,17,nos,3893892,P000850
SZ000274,INC000665,CASH,Indian currency,5432760,INR,0,P000725
SZ000275,INC000667,WEAPON,Machete (chopper),6,nos,18560,P000895
SZ000276,INC000667,CASH,Indian currency,8368500,INR,0,P000895
SZ000277,INC000668,CASH,Indian currency,18000326,INR,0,P000315
SZ000278,INC000670,CONTRABAND,Charas,121,grams,314243846,P000167
SZ000279,INC000672,CONTRABAND,Red sanders logs,803.3,kg,282199126,P000853
SZ000280,INC000674,CASH,Indian currency,2047821,INR,0,P000439
SZ000281,INC000675,CASH,Indian currency,13648845,INR,0,P000445
SZ000282,INC000676,WEAPON,Machete (chopper),2,nos,31225,P000402
SZ000283,INC000677,WEAPON,SBBL gun,6,nos,96351,P000488
SZ000284,INC000678,CASH,Indian currency,17150170,INR,0,P000802
SZ000285,INC000680,WEAPON,DBBL gun,6,nos,271399,P000940
SZ000286,INC000683,CONTRABAND,Tramadol capsules,7.362,kg,524207034,P000956
SZ000287,INC000684,CONTRABAND,Mobile phones,36,nos,6596634,P000878
SZ000288,INC000693,CASH,Indian currency,12237867,INR,0,P000548
SZ000289,INC000694,CASH,Indian currency,17454919,INR,0,P000958
SZ000290,INC000703,CASH,Indian currency,10412828,INR,0,P000164
SZ000291,INC000706,CASH,Indian currency,16665736,INR,0,P000875
SZ000292,INC000707,CONTRABAND,Charas,4.964,kg,11399064,P000097
SZ000293,INC000709,CONTRABAND,Rifle barrels,41,nos,3833768,P000508
SZ000294,INC000709,CASH,Indian currency,11401270,INR,0,P000508
SZ000295,INC000711,CONTRABAND,Cocaine,435,grams,281176875,P000102
SZ000296,INC000714,CASH,Indian currency,1582019,INR,0,P000769
SZ000297,INC000718,CONTRABAND,Country-made pistols,46,nos,560798,P000098
SZ000298,INC000718,WEAPON,Country-made pistol (katta),6,nos,148311,P000098
SZ000299,INC000720,WEAPON,AK-series rifle,3,nos,21560,P000962
SZ000300,INC000721,CASH,Indian currency,10598494,INR,0,P000739
SZ000301,INC000722,CASH,Indian currency,5695788,INR,0,P000436
SZ000302,INC000723,CONTRABAND,Pseudoephedrine,8.471,kg,670840230,P000149
SZ000303,INC000724,CASH,Indian currency,8259019,INR,0,P000557
SZ000304,INC000725,WEAPON,9mm pistol,3,nos,176159,P000782
SZ000305,INC000727,WEAPON,Knife,3,nos,269854,P000813
SZ000306,INC000732,CONTRABAND,Ganja,7.792,kg,1936054,P000636
SZ000307,INC000732,CASH,Indian currency,15041849,INR,0,P000636
SZ000308,INC000734,CONTRABAND,Semi-finished frames,38,nos,15633772,P000807
SZ000309,INC000734,WEAPON,AK-series rifle,4,nos,101481,P000807
SZ000310,INC000735,CONTRABAND,Pangolin scales,897.14,kg,716266308,P000874
SZ000311,INC000736,CONTRABAND,Foreign cigarettes,8,nos,1235507411,P000581
SZ000312,INC000739,CASH,Indian currency,7711282,INR,0,P000964
SZ000313,INC000741,CASH,Indian currency,2663997,INR,0,P000671
SZ000314,INC000744,CASH,Indian currency,19526768,INR,0,P000882
SZ000315,INC000748,CONTRABAND,Live cartridges,36,nos,9395992,P000174
SZ000316,INC000749,CONTRABAND,Semi-finished frames,16,nos,5908509,P000796
SZ000317,INC000751,CONTRABAND,Star tortoises,369.53,kg,60200812,P000966
SZ000318,INC000759,CASH,Indian currency,4402650,INR,0,P000869
SZ000319,INC000760,CONTRABAND,Mephedrone (MD),11.79,kg,390100810,P000658
SZ000320,INC000764,CONTRABAND,Live cartridges,33,nos,19047302,P000797
SZ000321,INC000764,WEAPON,SBBL gun,2,nos,201071,P000797
SZ000322,INC000765,CASH,Indian currency,3084006,INR,0,P000496
SZ000323,INC000770,CASH,Indian currency,2482473,INR,0,P000894
SZ000324,INC000771,CASH,Indian currency,4880133,INR,0,P000672
SZ000325,INC000772,CASH,Indian currency,2223789,INR,0,P000105
SZ000326,INC000777,WEAPON,Country-made pistol (katta),4,nos,137108,P000138
SZ000327,INC000779,CONTRABAND,Semi-finished frames,42,nos,11360367,P000507
SZ000328,INC000780,WEAPON,Sword,5,nos,261729,P000997
SZ000329,INC000781,CONTRABAND,Star tortoises,411.78,kg,16189654,P000884
SZ000330,INC000781,CASH,Indian currency,11803300,INR,0,P000884
SZ000331,INC000783,CONTRABAND,Charas,7.65,kg,100459,P000934
SZ000332,INC000784,CONTRABAND,Rifle barrels,55,nos,13242693,P000513
SZ000333,INC000784,WEAPON,Improvised explosive material,4,nos,234451,P000513
SZ000334,INC000784,CASH,Indian currency,949154,INR,0,P000513
SZ000335,INC000786,CASH,Indian currency,19593093,INR,0,P000924
SZ000336,INC000787,WEAPON,.32 bore revolver,2,nos,124712,P000987
SZ000337,INC000788,CASH,Indian currency,11760395,INR,0,P000860
SZ000338,INC000792,WEAPON,SBBL gun,4,nos,79328,P000371
SZ000339,INC000792,CASH,Indian currency,6705072,INR,0,P000371
SZ000340,INC000795,WEAPON,9mm pistol,4,nos,70939,P000030
SZ000341,INC000796,CONTRABAND,Ganja,6.666,kg,116551113,P000148
SZ000342,INC000799,CASH,Indian currency,19630615,INR,0,P000383
SZ000343,INC000800,CASH,Indian currency,16080881,INR,0,P000315
SZ000344,INC000801,CASH,Indian currency,14686469,INR,0,P000690
SZ000345,INC000802,CASH,Indian currency,11528573,INR,0,P000754
SZ000346,INC000809,WEAPON,SBBL gun,2,nos,119271,P000989
SZ000347,INC000810,CONTRABAND,Cocaine,77,grams,526152805,P000885
SZ000348,INC000812,WEAPON,Sword,2,nos,206284,P000038
SZ000349,INC000815,CONTRABAND,FICN Rs.500 notes,650417,INR face value,83998117,P000586
SZ000350,INC000815,CASH,Indian currency,4256404,INR,0,P000586
SZ000351,INC000819,CONTRABAND,Brown sugar,10.186,kg,4210821,P000118
SZ000352,INC000819,CASH,Indian currency,19483825,INR,0,P000118
SZ000353,INC000821,CONTRABAND,Brown sugar,11.804,kg,3080270,P000123
SZ000354,INC000823,CONTRABAND,Chinese firecrackers,20,nos,25350235,P000338
SZ000355,INC000826,CONTRABAND,Tiger nails,739.32,kg,295743990,P000849
SZ000356,INC000826,CASH,Indian currency,1724398,INR,0,P000849
SZ000357,INC000827,CASH,Indian currency,16505986,INR,0,P000422
SZ000358,INC000828,WEAPON,SBBL gun,4,nos,47975,P000963
SZ000359,INC000828,CASH,Indian currency,5744107,INR,0,P000963
SZ000360,INC000829,WEAPON,Improvised explosive material,1,nos,53228,P000491
SZ000361,INC000829,CASH,Indian currency,16838342,INR,0,P000491
SZ000362,INC000832,WEAPON,9mm pistol,6,nos,268695,P000990
SZ000363,INC000837,CASH,Indian currency,16715984,INR,0,P000538
SZ000364,INC000847,CONTRABAND,Tiger nails,698.0,kg,528224803,P000887
SZ000365,INC000848,CONTRABAND,Live cartridges,54,nos,6563809,P000803
SZ000366,INC000850,CASH,Indian currency,17898433,INR,0,P000238
SZ000367,INC000856,WEAPON,Sword,5,nos,298392,P000995
SZ000368,INC000858,CONTRABAND,Country-made pistols,28,nos,6512581,P000170
SZ000369,INC000859,WEAPON,Improvised explosive material,5,nos,65377,P000948
SZ000370,INC000859,CASH,Indian currency,13484241,INR,0,P000948
SZ000371,INC000861,CONTRABAND,Rifle barrels,27,nos,9316544,P000123
SZ000372,INC000861,WEAPON,Sword,2,nos,16608,P000123
SZ000373,INC000864,CONTRABAND,Live cartridges,17,nos,3175424,P000497
SZ000374,INC000864,WEAPON,DBBL gun,3,nos,123347,P000497
