case_id,case_title,primary_crime,lead_agency,syndicate_id,syndicate_code,opened_date,status,priority
CASE000020,Operation Pralay-83,FORGERY,State Intelligence Department,ORG000011,SYN-PON,2019-03-14,UNDER_INVESTIGATION,MEDIUM
CASE000021,Operation Aakhet-72,VEHICLE_THEFT,Anti-Terrorism Squad (ATS),ORG000008,SYN-VEH,2019-02-20,TRIAL,MEDIUM
CASE000022,Operation Dhruv-21,MURDER,State Police - Crime Branch,ORG000013,SYN-KDN,2018-08-07,CLOSED,MEDIUM
CASE000023,Operation Dhruv-90,WILDLIFE_TRAFFICKING,Income Tax Investigation Wing,ORG000015,SYN-WLD,2020-09-01,UNDER_INVESTIGATION,LOW
CASE000024,Operation Nirbhik-64,MURDER,Anti-Terrorism Squad (ATS),ORG000013,SYN-KDN,2023-02-28,CLOSED,MEDIUM
CASE000025,Operation Aakhet-36,ORGANISED_CRIME,Central Bureau of Investigation,ORG000013,SYN-KDN,2024-12-01,CHARGESHEETED,HIGH
CASE000026,Operation Netra-80,VEHICLE_THEFT,Directorate of Revenue Intelligence,ORG000008,SYN-VEH,2025-04-18,CHARGESHEETED,MEDIUM
CASE000027,Operation Samadhan-94,NDPS_POSSESSION,State Police - Crime Branch,ORG000002,SYN-HER,2021-04-16,CHARGESHEETED,MEDIUM
CASE000028,Operation Prahar-56,FORGERY,Enforcement Directorate,ORG000008,SYN-VEH,2025-01-01,CHARGESHEETED,MEDIUM
CASE000029,Operation Sankalp-35,FORGERY,Narcotics Control Bureau,ORG000004,SYN-HAW,2018-09-09,UNDER_INVESTIGATION,MEDIUM
CASE000030,Operation Chakravyuh-37,BETTING_GAMBLING,State Intelligence Department,ORG000012,SYN-BET,2025-05-24,UNDER_INVESTIGATION,HIGH
CASE000031,Operation Chakravyuh-67,ROBBERY,Special Task Force (STF),,UNAFFILIATED,2021-04-13,UNDER_INVESTIGATION,MEDIUM
CASE000032,Operation Sudarshan-80,ATTEMPT_TO_MURDER,Enforcement Directorate,ORG000014,SYN-SHK,2026-03-21,CHARGESHEETED,HIGH
CASE000033,Operation Netra-71,FORGERY,Narcotics Control Bureau,,UNAFFILIATED,2021-07-25,UNDER_INVESTIGATION,LOW
CASE000034,Operation Chakravyuh-65,MONEY_LAUNDERING,Enforcement Directorate,ORG000012,SYN-BET,2023-07-05,CHARGESHEETED,LOW
CASE000035,Operation Netra-10,LAND_GRABBING,Directorate of Revenue Intelligence,ORG000001,SYN-EXT,2024-04-26,TRIAL,LOW
CASE000036,Operation Kavach-68,CHIT_FUND_PONZI,Special Task Force (STF),,UNAFFILIATED,2023-11-08,UNDER_INVESTIGATION,MEDIUM
CASE000037,Operation Prahar-53,CHEATING_FRAUD,State Intelligence Department,,UNAFFILIATED,2024-04-11,TRIAL,HIGH
CASE000038,Operation Aakhet-88,HUMAN_TRAFFICKING,Border Security Force - Intel,,UNAFFILIATED,2025-07-06,UNDER_INVESTIGATION,MEDIUM
CASE000039,Operation Sankalp-57,MONEY_LAUNDERING,Central Bureau of Investigation,ORG000003,SYN-CYB,2021-06-24,UNDER_INVESTIGATION,LOW
CASE000040,Operation Dhruv-64,CHEATING_FRAUD,State Intelligence Department,ORG000012,SYN-BET,2020-01-19,CHARGESHEETED,MEDIUM
CASE000041,Operation Kavach-54,ROBBERY,Directorate of Revenue Intelligence,ORG000008,SYN-VEH,2025-12-22,CHARGESHEETED,LOW
CASE000042,Operation Vajra-60,EXTORTION,Directorate of Revenue Intelligence,,UNAFFILIATED,2022-11-20,TRIAL,MEDIUM
CASE000043,Operation Aakhet-79,ORGANISED_CRIME,Narcotics Control Bureau,ORG000014,SYN-SHK,2022-03-10,CHARGESHEETED,MEDIUM
CASE000044,Operation Trishul-18,ILLEGAL_MINING,Central Bureau of Investigation,,UNAFFILIATED,2026-02-02,TRIAL,HIGH
CASE000045,Operation Dhruv-86,CRIMINAL_CONSPIRACY,Income Tax Investigation Wing,ORG000010,SYN-GAN,2019-08-19,UNDER_INVESTIGATION,MEDIUM
CASE000046,Operation Aakhet-16,KIDNAP_FOR_RANSOM,Narcotics Control Bureau,,UNAFFILIATED,2021-01-14,UNDER_INVESTIGATION,HIGH
CASE000047,Operation Vajra-43,MONEY_LAUNDERING,Anti-Terrorism Squad (ATS),,UNAFFILIATED,2020-11-12,UNDER_INVESTIGATION,HIGH
CASE000048,Operation Netra-50,BETTING_GAMBLING,Income Tax Investigation Wing,ORG000012,SYN-BET,2026-05-02,CHARGESHEETED,LOW
CASE000049,Operation Sudarshan-85,SMUGGLING_CUSTOMS,Border Security Force - Intel,ORG000004,SYN-HAW,2019-05-25,TRIAL,HIGH
CASE000050,Operation Chakravyuh-42,CRIMINAL_CONSPIRACY,Anti-Terrorism Squad (ATS),ORG000006,SYN-TRF,2020-07-02,UNDER_INVESTIGATION,LOW
CASE000051,Operation Kavach-64,RIOTING,Enforcement Directorate,ORG000005,SYN-MIN,2022-10-07,UNDER_INVESTIGATION,MEDIUM
CASE000052,Operation Samadhan-17,MURDER,Cyber Crime Cell,ORG000005,SYN-MIN,2018-05-02,UNDER_INVESTIGATION,HIGH
CASE000053,Operation Vajra-44,RIOTING,Enforcement Directorate,ORG000005,SYN-MIN,2023-02-27,UNDER_INVESTIGATION,LOW
CASE000054,Operation Vajra-21,WILDLIFE_TRAFFICKING,Enforcement Directorate,ORG000015,SYN-WLD,2018-04-27,UNDER_INVESTIGATION,MEDIUM
CASE000055,Operation Nirbhik-64,CHEATING_FRAUD,Directorate of Revenue Intelligence,ORG000012,SYN-BET,2018-11-13,UNDER_INVESTIGATION,MEDIUM
CASE000056,Operation Sankalp-27,NDPS_POSSESSION,Railway Protection Force,,UNAFFILIATED,2021-12-15,UNDER_INVESTIGATION,HIGH
CASE000057,Operation Aakhet-78,MONEY_LAUNDERING,Border Security Force - Intel,ORG000011,SYN-PON,2024-07-25,UNDER_INVESTIGATION,HIGH
CASE000058,Operation Vajra-46,CHEATING_FRAUD,Economic Offences Wing,ORG000006,SYN-TRF,2021-06-24,TRIAL,MEDIUM
CASE000059,Operation Ankush-22,CHEATING_FRAUD,Cyber Crime Cell,ORG000011,SYN-PON,2023-11-05,TRIAL,HIGH
CASE000060,Operation Ankush-22,BETTING_GAMBLING,Enforcement Directorate,ORG000012,SYN-BET,2025-10-12,UNDER_INVESTIGATION,HIGH
CASE000061,Operation Kavach-27,CRIMINAL_CONSPIRACY,State Intelligence Department,ORG000010,SYN-GAN,2020-09-27,CHARGESHEETED,HIGH
CASE000062,Operation Vajra-66,LAND_GRABBING,Income Tax Investigation Wing,,UNAFFILIATED,2026-04-25,CLOSED,MEDIUM
CASE000063,Operation Netra-74,MURDER,Anti-Terrorism Squad (ATS),ORG000001,SYN-EXT,2019-06-06,UNDER_INVESTIGATION,MEDIUM
CASE000064,Operation Netra-91,CRIMINAL_CONSPIRACY,State Police - Crime Branch,ORG000015,SYN-WLD,2019-05-14,CLOSED,HIGH
CASE000065,Operation Ankush-63,SMUGGLING_CUSTOMS,Income Tax Investigation Wing,ORG000004,SYN-HAW,2019-01-18,CHARGESHEETED,MEDIUM
CASE000066,Operation Aakhet-67,CHEATING_FRAUD,Central Bureau of Investigation,ORG000004,SYN-HAW,2025-06-27,UNDER_INVESTIGATION,MEDIUM
CASE000067,Operation Chakravyuh-39,CRIMINAL_CONSPIRACY,Special Task Force (STF),ORG000002,SYN-HER,2025-05-25,TRIAL,HIGH
CASE000068,Operation Sankalp-45,CHEATING_FRAUD,Directorate of Revenue Intelligence,ORG000003,SYN-CYB,2022-12-04,CLOSED,MEDIUM
CASE000069,Operation Netra-70,MONEY_LAUNDERING,Income Tax Investigation Wing,ORG000012,SYN-BET,2019-07-17,CLOSED,MEDIUM
CASE000070,Operation Trishul-10,FORGERY,Narcotics Control Bureau,ORG000003,SYN-CYB,2019-09-30,UNDER_INVESTIGATION,HIGH
CASE000071,Operation Prahar-58,LAND_GRABBING,Special Task Force (STF),,UNAFFILIATED,2019-01-21,CHARGESHEETED,LOW
CASE000072,Operation Ankush-15,MONEY_LAUNDERING,Income Tax Investigation Wing,ORG000002,SYN-HER,2022-07-13,UNDER_INVESTIGATION,MEDIUM
CASE000073,Operation Ankush-18,WILDLIFE_TRAFFICKING,Railway Protection Force,ORG000015,SYN-WLD,2025-12-04,TRIAL,LOW
CASE000074,Operation Netra-79,ARMS_ACT,State Police - Crime Branch,ORG000014,SYN-SHK,2023-01-25,TRIAL,MEDIUM
CASE000075,Operation Aakhet-49,MURDER,Anti-Narcotics Cell,,UNAFFILIATED,2025-01-28,TRIAL,HIGH
CASE000076,Operation Prahar-61,FORGERY,Enforcement Directorate,ORG000011,SYN-PON,2022-09-08,UNDER_INVESTIGATION,LOW
CASE000077,Operation Sankalp-87,CRIMINAL_CONSPIRACY,Anti-Narcotics Cell,ORG000007,SYN-ARM,2022-07-30,UNDER_INVESTIGATION,MEDIUM
CASE000078,Operation Nirbhik-14,EXTORTION,Cyber Crime Cell,ORG000012,SYN-BET,2021-05-21,UNDER_INVESTIGATION,HIGH
CASE000079,Operation Dhruv-44,SMUGGLING_CUSTOMS,Special Task Force (STF),ORG000009,SYN-FIC,2022-02-28,UNDER_INVESTIGATION,HIGH
CASE000080,Operation Prahar-52,EXTORTION,Cyber Crime Cell,,UNAFFILIATED,2019-01-30,UNDER_INVESTIGATION,MEDIUM
CASE000081,Operation Samadhan-39,DACOITY,Income Tax Investigation Wing,,UNAFFILIATED,2021-01-03,CHARGESHEETED,HIGH
CASE000082,Operation Trishul-28,FORGERY,Anti-Narcotics Cell,ORG000011,SYN-PON,2018-05-20,CHARGESHEETED,HIGH
CASE000083,Operation Vajra-92,MONEY_LAUNDERING,Economic Offences Wing,ORG000002,SYN-HER,2020-07-26,CLOSED,MEDIUM
CASE000084,Operation Trishul-36,CRIMINAL_CONSPIRACY,Narcotics Control Bureau,ORG000007,SYN-ARM,2020-12-14,CHARGESHEETED,MEDIUM
CASE000085,Operation Vajra-63,ORGANISED_CRIME,Narcotics Control Bureau,,UNAFFILIATED,2018-01-01,CHARGESHEETED,MEDIUM
CASE000086,Operation Netra-42,SMUGGLING_CUSTOMS,Directorate of Revenue Intelligence,ORG000004,SYN-HAW,2018-10-12,UNDER_INVESTIGATION,MEDIUM
CASE000087,Operation Dhruv-90,ARMS_ACT,Economic Offences Wing,ORG000002,SYN-HER,2026-06-15,UNDER_INVESTIGATION,HIGH
CASE000088,Operation Trishul-68,CRIMINAL_CONSPIRACY,Railway Protection Force,ORG000002,SYN-HER,2018-07-14,TRIAL,MEDIUM
CASE000089,Operation Trishul-11,MONEY_LAUNDERING,State Police - Crime Branch,ORG000004,SYN-HAW,2020-06-04,CHARGESHEETED,MEDIUM
CASE000090,Operation Kavach-77,CHEATING_FRAUD,Railway Protection Force,ORG000008,SYN-VEH,2019-10-06,CLOSED,HIGH
CASE000091,Operation Samadhan-98,CHEATING_FRAUD,Economic Offences Wing,ORG000008,SYN-VEH,2020-02-21,CLOSED,HIGH
CASE000092,Operation Chakravyuh-46,CHEATING_FRAUD,Central Bureau of Investigation,ORG000011,SYN-PON,2022-01-11,TRIAL,MEDIUM
CASE000093,Operation Kavach-65,CRIMINAL_CONSPIRACY,Narcotics Control Bureau,ORG000006,SYN-TRF,2022-09-02,UNDER_INVESTIGATION,HIGH
CASE000094,Operation Kavach-51,EXTORTION,Anti-Terrorism Squad (ATS),ORG000001,SYN-EXT,2019-06-20,UNDER_INVESTIGATION,MEDIUM
CASE000095,Operation Ankush-25,CHEATING_FRAUD,State Police - Crime Branch,ORG000012,SYN-BET,2024-11-06,CHARGESHEETED,HIGH
CASE000096,Operation Nirbhik-11,FORGERY,Economic Offences Wing,ORG000015,SYN-WLD,2022-10-24,CHARGESHEETED,MEDIUM
CASE000097,Operation Sankalp-21,ATTEMPT_TO_MURDER,State Intelligence Department,ORG000005,SYN-MIN,2019-06-16,TRIAL,LOW
CASE000098,Operation Kavach-59,SMUGGLING_CUSTOMS,Anti-Terrorism Squad (ATS),ORG000015,SYN-WLD,2018-02-01,UNDER_INVESTIGATION,MEDIUM
CASE000099,Operation Aakhet-39,NDPS_TRAFFICKING,Central Bureau of Investigation,ORG000002,SYN-HER,2022-07-23,UNDER_INVESTIGATION,MEDIUM
CASE000100,Operation Ankush-80,NDPS_TRAFFICKING,State Intelligence Department,,UNAFFILIATED,2020-05-10,UNDER_INVESTIGATION,HIGH
CASE000101,Operation Netra-37,CRIMINAL_CONSPIRACY,Narcotics Control Bureau,ORG000006,SYN-TRF,2024-06-09,CHARGESHEETED,HIGH
CASE000102,Operation Nirbhik-34,CRIMINAL_CONSPIRACY,Anti-Terrorism Squad (ATS),ORG000015,SYN-WLD,2022-04-19,UNDER_INVESTIGATION,LOW
CASE000103,Operation Pralay-29,CRIMINAL_CONSPIRACY,State Police - Crime Branch,ORG000006,SYN-TRF,2020-05-16,CHARGESHEETED,HIGH
CASE000104,Operation Chakravyuh-80,RIOTING,Special Task Force (STF),,UNAFFILIATED,2019-06-11,CHARGESHEETED,MEDIUM
CASE000105,Operation Vajra-19,MURDER,Income Tax Investigation Wing,ORG000007,SYN-ARM,2022-08-09,CHARGESHEETED,MEDIUM
CASE000106,Operation Nirbhik-88,SMUGGLING_CUSTOMS,Anti-Narcotics Cell,ORG000015,SYN-WLD,2018-05-22,UNDER_INVESTIGATION,MEDIUM
CASE000107,Operation Aakhet-11,CRIMINAL_CONSPIRACY,Anti-Narcotics Cell,ORG000007,SYN-ARM,2026-05-14,CLOSED,HIGH
CASE000108,Operation Aakhet-28,LAND_GRABBING,Anti-Terrorism Squad (ATS),ORG000001,SYN-EXT,2022-03-07,UNDER_INVESTIGATION,MEDIUM
CASE000109,Operation Netra-13,CHEATING_FRAUD,Narcotics Control Bureau,ORG000012,SYN-BET,2022-07-27,UNDER_INVESTIGATION,HIGH
CASE000110,Operation Netra-49,CHEATING_FRAUD,State Intelligence Department,ORG000011,SYN-PON,2020-11-30,CHARGESHEETED,HIGH
CASE000111,Operation Sankalp-96,ROBBERY,Anti-Narcotics Cell,ORG000008,SYN-VEH,2018-08-04,TRIAL,MEDIUM
CASE000112,Operation Pralay-29,CRIMINAL_CONSPIRACY,Cyber Crime Cell,ORG000015,SYN-WLD,2021-10-27,CHARGESHEETED,HIGH
CASE000113,Operation Samadhan-29,CYBER_FRAUD,Income Tax Investigation Wing,,UNAFFILIATED,2023-05-19,TRIAL,MEDIUM
CASE000114,Operation Sudarshan-78,ARMS_ACT,State Intelligence Department,ORG000002,SYN-HER,2021-06-12,UNDER_INVESTIGATION,LOW
CASE000115,Operation Sudarshan-63,MURDER,Economic Offences Wing,ORG000007,SYN-ARM,2025-09-07,UNDER_INVESTIGATION,LOW
CASE000116,Operation Samadhan-19,ORGANISED_CRIME,Narcotics Control Bureau,ORG000001,SYN-EXT,2023-07-17,CLOSED,MEDIUM
CASE000117,Operation Dhruv-84,LAND_GRABBING,Special Task Force (STF),ORG000001,SYN-EXT,2023-06-20,UNDER_INVESTIGATION,MEDIUM
CASE000118,Operation Sudarshan-41,CRIMINAL_CONSPIRACY,Narcotics Control Bureau,ORG000015,SYN-WLD,2024-08-20,TRIAL,HIGH
CASE000119,Operation Netra-41,RIOTING,Economic Offences Wing,ORG000005,SYN-MIN,2026-02-23,CLOSED,HIGH
CASE000120,Operation Aakhet-85,EXTORTION,State Police - Crime Branch,ORG000014,SYN-SHK,2026-02-17,UNDER_INVESTIGATION,MEDIUM
CASE000121,Operation Kavach-27,CRIMINAL_CONSPIRACY,Anti-Narcotics Cell,ORG000009,SYN-FIC,2021-12-03,CLOSED,MEDIUM
CASE000122,Operation Samadhan-94,NDPS_POSSESSION,Narcotics Control Bureau,ORG000002,SYN-HER,2022-05-09,UNDER_INVESTIGATION,LOW
CASE000123,Operation Netra-22,EXTORTION,Border Security Force - Intel,ORG000013,SYN-KDN,2021-02-21,TRIAL,HIGH
CASE000124,Operation Dhruv-96,CHEATING_FRAUD,Anti-Narcotics Cell,ORG000011,SYN-PON,2023-11-26,TRIAL,HIGH
CASE000125,Operation Ankush-82,LAND_GRABBING,Enforcement Directorate,ORG000001,SYN-EXT,2023-08-10,UNDER_INVESTIGATION,HIGH
CASE000126,Operation Sudarshan-49,MURDER,Economic Offences Wing,ORG000005,SYN-MIN,2024-11-04,CHARGESHEETED,MEDIUM
CASE000127,Operation Nirbhik-69,FICN_COUNTERFEIT,Special Task Force (STF),ORG000009,SYN-FIC,2021-07-04,TRIAL,MEDIUM
CASE000128,Operation Sudarshan-55,ATTEMPT_TO_MURDER,State Police - Crime Branch,ORG000005,SYN-MIN,2020-06-29,CHARGESHEETED,MEDIUM
CASE000129,Operation Dhruv-26,SMUGGLING_CUSTOMS,Income Tax Investigation Wing,ORG000015,SYN-WLD,2019-09-04,CHARGESHEETED,MEDIUM
CASE000130,Operation Prahar-46,MONEY_LAUNDERING,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,2019-01-15,CHARGESHEETED,MEDIUM
CASE000131,Operation Dhruv-55,ARMS_ACT,Directorate of Revenue Intelligence,ORG000013,SYN-KDN,2020-07-19,UNDER_INVESTIGATION,MEDIUM
CASE000132,Operation Vajra-75,ORGANISED_CRIME,Railway Protection Force,,UNAFFILIATED,2024-10-07,UNDER_INVESTIGATION,MEDIUM
CASE000133,Operation Vajra-39,FORGERY,Economic Offences Wing,ORG000006,SYN-TRF,2019-06-05,TRIAL,MEDIUM
CASE000134,Operation Nirbhik-55,FORGERY,Directorate of Revenue Intelligence,ORG000006,SYN-TRF,2020-01-23,CHARGESHEETED,MEDIUM
CASE000135,Operation Vajra-83,MURDER,State Police - Crime Branch,ORG000007,SYN-ARM,2024-04-01,TRIAL,HIGH
CASE000136,Operation Sankalp-89,CRIMINAL_CONSPIRACY,Anti-Narcotics Cell,ORG000002,SYN-HER,2018-10-05,CLOSED,LOW
CASE000137,Operation Vajra-51,CHIT_FUND_PONZI,Income Tax Investigation Wing,ORG000011,SYN-PON,2019-04-29,UNDER_INVESTIGATION,LOW
CASE000138,Operation Prahar-92,WILDLIFE_TRAFFICKING,Anti-Terrorism Squad (ATS),,UNAFFILIATED,2021-06-16,UNDER_INVESTIGATION,LOW
CASE000139,Operation Vajra-58,ARMS_ACT,Anti-Terrorism Squad (ATS),ORG000013,SYN-KDN,2023-09-21,UNDER_INVESTIGATION,HIGH
CASE000140,Operation Sudarshan-62,FORGERY,Enforcement Directorate,ORG000003,SYN-CYB,2023-12-24,UNDER_INVESTIGATION,MEDIUM
CASE000141,Operation Netra-94,CRIMINAL_CONSPIRACY,State Intelligence Department,ORG000001,SYN-EXT,2018-12-08,UNDER_INVESTIGATION,LOW
CASE000142,Operation Sudarshan-56,MURDER,Directorate of Revenue Intelligence,ORG000001,SYN-EXT,2018-01-08,UNDER_INVESTIGATION,HIGH
CASE000143,Operation Chakravyuh-98,ARMS_ACT,Special Task Force (STF),ORG000002,SYN-HER,2019-08-30,CLOSED,HIGH
CASE000144,Operation Prahar-45,NDPS_POSSESSION,Economic Offences Wing,ORG000010,SYN-GAN,2020-02-26,UNDER_INVESTIGATION,MEDIUM
CASE000145,Operation Trishul-90,CYBER_FRAUD,Anti-Narcotics Cell,ORG000003,SYN-CYB,2021-12-01,CHARGESHEETED,MEDIUM
CASE000146,Operation Prahar-45,MONEY_LAUNDERING,State Intelligence Department,ORG000002,SYN-HER,2019-10-25,CLOSED,LOW
CASE000147,Operation Kavach-49,CHEATING_FRAUD,Income Tax Investigation Wing,ORG000012,SYN-BET,2021-06-23,TRIAL,MEDIUM
CASE000148,Operation Nirbhik-46,NDPS_TRAFFICKING,Border Security Force - Intel,,UNAFFILIATED,2021-04-15,UNDER_INVESTIGATION,LOW
CASE000149,Operation Prahar-52,SMUGGLING_CUSTOMS,Enforcement Directorate,ORG000004,SYN-HAW,2022-02-07,UNDER_INVESTIGATION,MEDIUM
CASE000150,Operation Netra-75,BETTING_GAMBLING,Narcotics Control Bureau,,UNAFFILIATED,2021-09-15,UNDER_INVESTIGATION,MEDIUM
CASE000151,Operation Vajra-12,CRIMINAL_CONSPIRACY,State Intelligence Department,ORG000015,SYN-WLD,2021-03-23,UNDER_INVESTIGATION,MEDIUM
CASE000152,Operation Ankush-52,NDPS_POSSESSION,Income Tax Investigation Wing,ORG000010,SYN-GAN,2018-11-05,UNDER_INVESTIGATION,MEDIUM
CASE000153,Operation Pralay-49,CRIMINAL_CONSPIRACY,State Intelligence Department,ORG000007,SYN-ARM,2018-08-31,UNDER_INVESTIGATION,HIGH
CASE000154,Operation Prahar-72,CHIT_FUND_PONZI,Income Tax Investigation Wing,,UNAFFILIATED,2021-01-10,TRIAL,HIGH
CASE000155,Operation Pralay-96,NDPS_POSSESSION,Enforcement Directorate,ORG000002,SYN-HER,2018-12-21,CHARGESHEETED,HIGH
CASE000156,Operation Ankush-16,CRIMINAL_CONSPIRACY,Anti-Terrorism Squad (ATS),ORG000001,SYN-EXT,2020-06-30,UNDER_INVESTIGATION,HIGH
CASE000157,Operation Sudarshan-21,ROBBERY,Economic Offences Wing,ORG000008,SYN-VEH,2019-03-29,UNDER_INVESTIGATION,MEDIUM
