incident_id,fir_no,case_id,crime_type,ipc_section,bns_section,severity,bailable,ps_id,ps_name,location_id,area,city,state,latitude,longitude,incident_datetime,reported_datetime,investigating_agency,syndicate_id,syndicate_code,status,loss_or_value_inr,n_accused,source_reliability
INC000017,367/2025,CASE000104,RIOTING,147/148,191(2),4,1,PS000121,Uri Police Station,LOC000121,Uri,Baramulla,Jammu and Kashmir,34.0833,74.04758,2025-01-24T15:21,2025-01-25T23:21,Special Task Force (STF),,UNAFFILIATED,UNDER_INVESTIGATION,0,5,D
INC000018,668/2025,CASE000151,WILDLIFE_TRAFFICKING,WLPA 51,-,6,0,PS000116,Moreh Police Station,LOC000116,Moreh,Imphal,Manipur,24.25418,94.30003,2025-05-31T16:11,2025-06-01T01:11,State Intelligence Department,ORG000015,SYN-WLD,UNTRACED,565135950,3,B
INC000019,422/2023,CASE000099,NDPS_POSSESSION,NDPS 22(b),-,5,0,PS000054,Ajnala Police Station,LOC000054,Ajnala,Amritsar,Punjab,31.83946,74.75814,2023-05-28T00:34,2023-05-30T23:34,Central Bureau of Investigation,ORG000002,SYN-HER,ACQUITTED,0,3,B
INC000020,430/2023,CASE000081,DACOITY,395,310(2),8,0,PS000117,Tuibong Police Station,LOC000117,Tuibong,Churachandpur,Manipur,24.3214,93.68328,2023-01-15T13:41,2023-01-16T08:41,Income Tax Investigation Wing,,UNAFFILIATED,CHARGESHEETED,22193236,4,D
INC000021,400/2026,CASE000041,ROBBERY,392,309(4),6,0,PS000021,Sangam Vihar Police Station,LOC000021,Sangam Vihar,New Delhi,Delhi,28.48827,77.23159,2026-04-03T15:03,2026-04-04T17:03,Directorate of Revenue Intelligence,ORG000008,SYN-VEH,CHARGESHEETED,15928314,4,B
INC000022,036/2026,CASE000115,MURDER,302,103(1),10,0,PS000035,Kadamkuan Police Station,LOC000035,Kadamkuan,Patna,Bihar,25.62537,85.1468,2026-01-28T04:07,2026-01-30T16:07,Economic Offences Wing,ORG000007,SYN-ARM,UNTRACED,0,3,A
INC000023,203/2026,CASE000115,MURDER,302,103(1),10,0,PS000012,Panchavati Police Station,LOC000012,Panchavati,Nashik,Maharashtra,20.01459,73.79072,2026-03-14T00:20,2026-03-16T14:20,Economic Offences Wing,ORG000007,SYN-ARM,UNDER_INVESTIGATION,0,3,C
INC000024,644/2024,CASE000022,ARMS_ACT,Arms Act 25/27,-,6,0,PS000018,Karol Bagh Police Station,LOC000018,Karol Bagh,New Delhi,Delhi,28.64425,77.18711,2024-05-12T11:56,2024-05-12T17:56,State Police - Crime Branch,ORG000013,SYN-KDN,UNTRACED,0,3,C
INC000025,626/2025,CASE000074,ATTEMPT_TO_MURDER,307,109,8,0,PS000016,Seelampur Police Station,LOC000016,Seelampur,New Delhi,Delhi,28.67711,77.27533,2025-06-07T16:04,2025-06-07T17:04,State Police - Crime Branch,ORG000014,SYN-SHK,CHARGESHEETED,0,1,B
INC000026,490/2026,CASE000007,CHEATING_FRAUD,420,318(4),5,1,PS000015,Chandni Chowk Police Station,LOC000015,Chandni Chowk,New Delhi,Delhi,28.65923,77.23546,2026-06-10T18:29,2026-06-11T11:29,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,CONVICTED,486956,4,A
INC000027,785/2025,CASE000038,HUMAN_TRAFFICKING,370/372,143,9,0,PS000020,Nangloi Police Station,LOC000020,Nangloi,New Delhi,Delhi,28.68418,77.06042,2025-09-03T07:09,2025-09-05T09:09,Border Security Force - Intel,,UNAFFILIATED,UNDER_INVESTIGATION,0,3,A
INC000028,652/2026,CASE000061,ARMS_ACT,Arms Act 25/27,-,6,0,PS000122,Birgaon Police Station,LOC000122,Birgaon,Raipur,Chhattisgarh,21.27602,81.63096,2026-06-03T17:16,2026-06-04T14:16,State Intelligence Department,ORG000010,SYN-GAN,ACQUITTED,0,5,D
INC000029,493/2026,CASE000007,CHEATING_FRAUD,420,318(4),5,1,PS000099,KG Halli Police Station,LOC000099,KG Halli,Bengaluru,Karnataka,13.00798,77.6042,2026-06-01T06:51,2026-06-02T18:51,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,CONVICTED,322114,2,B
INC000030,598/2021,CASE000111,CHEATING_FRAUD,420,318(4),5,1,PS000062,Gohana Police Station,LOC000062,Gohana,Sonipat,Haryana,29.14638,76.70853,2021-07-21T18:09,2021-07-24T02:09,Anti-Narcotics Cell,ORG000008,SYN-VEH,CHARGESHEETED,1033469783,2,A
INC000031,658/2024,CASE000129,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000021,Sangam Vihar Police Station,LOC000021,Sangam Vihar,New Delhi,Delhi,28.48827,77.23159,2024-11-21T04:11,2024-11-22T21:11,Income Tax Investigation Wing,ORG000015,SYN-WLD,CONVICTED,0,4,C
INC000032,515/2024,CASE000156,LAND_GRABBING,441/447,329,4,1,PS000020,Nangloi Police Station,LOC000020,Nangloi,New Delhi,Delhi,28.68418,77.06042,2024-06-16T18:18,2024-06-19T17:18,Anti-Terrorism Squad (ATS),ORG000001,SYN-EXT,CHARGESHEETED,0,4,B
INC000033,228/2026,CASE000087,NDPS_POSSESSION,NDPS 22(b),-,5,0,PS000017,Jamia Nagar Police Station,LOC000017,Jamia Nagar,New Delhi,Delhi,28.55756,77.28271,2026-06-25T03:31,2026-06-27T04:31,Economic Offences Wing,ORG000002,SYN-HER,CHARGESHEETED,0,3,C
INC000034,004/2023,CASE000058,FORGERY,465/468,336(3),4,1,PS000014,Barshi Police Station,LOC000014,Barshi,Solapur,Maharashtra,18.23555,75.69409,2023-02-20T19:05,2023-02-21T00:05,Economic Offences Wing,ORG000006,SYN-TRF,CHARGESHEETED,0,4,B
INC000035,425/2022,CASE000090,VEHICLE_THEFT,379/411,303(2),3,1,PS000057,Mamdot Police Station,LOC000057,Mamdot,Ferozepur,Punjab,30.92456,74.61601,2022-02-05T04:48,2022-02-08T03:48,Railway Protection Force,ORG000008,SYN-VEH,ACQUITTED,0,2,C
INC000036,279/2024,CASE000112,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000050,Jalangi Police Station,LOC000050,Jalangi,Murshidabad,West Bengal,24.11042,88.40108,2024-04-24T01:00,2024-04-24T07:00,Cyber Crime Cell,ORG000015,SYN-WLD,UNDER_INVESTIGATION,0,5,D
INC000037,885/2023,CASE000092,CHEATING_FRAUD,420,318(4),5,1,PS000113,Paltan Bazaar Police Station,LOC000113,Paltan Bazaar,Guwahati,Assam,26.17357,91.75925,2023-05-27T00:13,2023-05-29T19:13,Central Bureau of Investigation,ORG000011,SYN-PON,CHARGESHEETED,1099686002,3,D
INC000038,446/2025,CASE000109,CHEATING_FRAUD,420,318(4),5,1,PS000019,Najafgarh Police Station,LOC000019,Najafgarh,New Delhi,Delhi,28.61304,77.01367,2025-10-17T05:33,2025-10-19T11:33,Narcotics Control Bureau,ORG000012,SYN-BET,CONVICTED,112965,4,A
INC000039,743/2026,CASE000048,CHEATING_FRAUD,420,318(4),5,1,PS000085,Chandrayangutta Police Station,LOC000085,Chandrayangutta,Hyderabad,Telangana,17.33336,78.49109,2026-05-22T19:03,2026-05-24T04:03,Income Tax Investigation Wing,ORG000012,SYN-BET,CHARGESHEETED,2612723398,3,A
INC000040,880/2026,CASE000007,BETTING_GAMBLING,Gambling Act 3/4,-,2,1,PS000071,Juhapura Police Station,LOC000071,Juhapura,Ahmedabad,Gujarat,22.99114,72.53016,2026-06-22T02:35,2026-06-22T22:35,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,CONVICTED,786081,7,A
INC000041,806/2025,CASE000110,CHIT_FUND_PONZI,BUDS Act 21,318(4),6,1,PS000041,Khajanchi Hat Police Station,LOC000041,Khajanchi Hat,Purnia,Bihar,25.78858,87.47757,2025-07-12T00:42,2025-07-14T05:42,State Intelligence Department,ORG000011,SYN-PON,CONVICTED,929136,5,A
INC000042,248/2020,CASE000142,ATTEMPT_TO_MURDER,307,109,8,0,PS000018,Karol Bagh Police Station,LOC000018,Karol Bagh,New Delhi,Delhi,28.64425,77.18711,2020-05-27T15:55,2020-05-28T00:55,Directorate of Revenue Intelligence,ORG000001,SYN-EXT,ACQUITTED,0,1,B
INC000043,714/2023,CASE000076,FORGERY,465/468,336(3),4,1,PS000036,Kasim Bazaar Police Station,LOC000036,Kasim Bazaar,Munger,Bihar,25.3687,86.46907,2023-06-27T06:43,2023-06-28T21:43,Enforcement Directorate,ORG000011,SYN-PON,UNDER_INVESTIGATION,0,1,D
INC000044,234/2024,CASE000076,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000041,Khajanchi Hat Police Station,LOC000041,Khajanchi Hat,Purnia,Bihar,25.78858,87.47757,2024-01-16T14:01,2024-01-16T15:01,Enforcement Directorate,ORG000011,SYN-PON,UNTRACED,2073352546,3,C
INC000045,675/2023,CASE000023,FORGERY,465/468,336(3),4,1,PS000114,Golakganj Police Station,LOC000114,Golakganj,Dhubri,Assam,26.02193,89.81691,2023-09-25T02:25,2023-09-27T10:25,Income Tax Investigation Wing,ORG000015,SYN-WLD,UNDER_INVESTIGATION,0,5,B
INC000046,879/2026,CASE000011,FICN_COUNTERFEIT,489B/489C,179,8,0,PS000025,Lisari Gate Police Station,LOC000025,Lisari Gate,Meerut,Uttar Pradesh,28.97425,77.70598,2026-06-23T04:09,2026-06-24T11:09,Economic Offences Wing,ORG000009,SYN-FIC,UNDER_INVESTIGATION,492401715,2,A
INC000047,259/2023,CASE000080,EXTORTION,384/387,308,6,0,PS000123,Bhairamgarh Police Station,LOC000123,Bhairamgarh,Bijapur,Chhattisgarh,18.79608,80.7942,2023-12-17T06:29,2023-12-18T04:29,Cyber Crime Cell,,UNAFFILIATED,CHARGESHEETED,43696895,2,C
INC000048,264/2025,CASE000038,HUMAN_TRAFFICKING,370/372,143,9,0,PS000014,Barshi Police Station,LOC000014,Barshi,Solapur,Maharashtra,18.23555,75.69409,2025-07-30T05:18,2025-07-30T19:18,Border Security Force - Intel,,UNAFFILIATED,UNDER_INVESTIGATION,0,2,C
INC000049,076/2022,CASE000018,SMUGGLING_CUSTOMS,Customs Act 135,-,5,1,PS000025,Lisari Gate Police Station,LOC000025,Lisari Gate,Meerut,Uttar Pradesh,28.97425,77.70598,2022-07-19T16:07,2022-07-20T12:07,Narcotics Control Bureau,,UNAFFILIATED,CHARGESHEETED,307507108,3,C
INC000050,191/2020,CASE000153,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000033,Sarai Mir Police Station,LOC000033,Sarai Mir,Azamgarh,Uttar Pradesh,26.01058,82.80942,2020-08-05T15:58,2020-08-08T09:58,State Intelligence Department,ORG000007,SYN-ARM,CONVICTED,0,1,A
INC000051,384/2026,CASE000047,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000036,Kasim Bazaar Police Station,LOC000036,Kasim Bazaar,Munger,Bihar,25.3687,86.46907,2026-05-11T18:15,2026-05-14T10:15,Anti-Terrorism Squad (ATS),,UNAFFILIATED,UNDER_INVESTIGATION,667200,3,D
INC000052,085/2023,CASE000117,EXTORTION,384/387,308,6,0,PS000100,Yeshwanthpur Police Station,LOC000100,Yeshwanthpur,Bengaluru,Karnataka,13.02634,77.54707,2023-09-12T12:28,2023-09-13T19:28,Special Task Force (STF),ORG000001,SYN-EXT,UNDER_INVESTIGATION,1781411,2,C
INC000053,350/2023,CASE000105,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000047,Metiabruz Police Station,LOC000047,Metiabruz,Kolkata,West Bengal,22.53329,88.31358,2023-01-16T10:45,2023-01-17T18:45,Income Tax Investigation Wing,ORG000007,SYN-ARM,UNDER_INVESTIGATION,0,4,C
INC000054,069/2019,CASE000080,EXTORTION,384/387,308,6,0,PS000092,Chintapalli Police Station,LOC000092,Chintapalli,Alluri Sitharama Raju,Andhra Pradesh,17.86088,82.34667,2019-09-21T17:31,2019-09-21T21:31,Cyber Crime Cell,,UNAFFILIATED,CHARGESHEETED,7519740,7,A
INC000055,105/2025,CASE000039,CHEATING_FRAUD,420,318(4),5,1,PS000022,Paharganj Police Station,LOC000022,Paharganj,New Delhi,Delhi,28.64769,77.22086,2025-11-17T00:56,2025-11-18T12:56,Central Bureau of Investigation,ORG000003,SYN-CYB,CONVICTED,18050059,2,A
INC000056,201/2023,CASE000154,CHIT_FUND_PONZI,BUDS Act 21,318(4),6,1,PS000108,Thalassery Police Station,LOC000108,Thalassery,Kannur,Kerala,11.74699,75.49641,2023-06-17T23:17,2023-06-18T00:17,Income Tax Investigation Wing,,UNAFFILIATED,CHARGESHEETED,1079999598,2,D
INC000057,621/2025,CASE000018,SMUGGLING_CUSTOMS,Customs Act 135,-,5,1,PS000053,Karimpur Police Station,LOC000053,Karimpur,Nadia,West Bengal,23.96971,88.62078,2025-06-12T23:18,2025-06-14T17:18,Narcotics Control Bureau,,UNAFFILIATED,UNTRACED,1575579,7,C
INC000058,673/2023,CASE000133,CHEATING_FRAUD,420,318(4),5,1,PS000061,Sohna Police Station,LOC000061,Sohna,Gurugram,Haryana,28.25004,77.06581,2023-04-15T11:17,2023-04-17T21:17,Economic Offences Wing,ORG000006,SYN-TRF,UNDER_INVESTIGATION,1461514589,2,D
INC000059,103/2026,CASE000112,WILDLIFE_TRAFFICKING,WLPA 51,-,6,0,PS000080,Morar Police Station,LOC000080,Morar,Gwalior,Madhya Pradesh,26.22147,78.20426,2026-05-11T14:17,2026-05-14T03:17,Cyber Crime Cell,ORG000015,SYN-WLD,ACQUITTED,82784458,4,C
INC000060,013/2026,CASE000076,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000110,Jagatpur Police Station,LOC000110,Jagatpur,Cuttack,Odisha,20.51657,85.86729,2026-02-05T13:13,2026-02-05T15:13,Enforcement Directorate,ORG000011,SYN-PON,UNTRACED,6222741,2,A
INC000061,502/2026,CASE000007,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000007,Mumbra Police Station,LOC000007,Mumbra,Thane,Maharashtra,19.18341,73.02479,2026-06-22T08:47,2026-06-25T00:47,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,ACQUITTED,48121471,3,B
INC000062,584/2023,CASE000134,CHEATING_FRAUD,420,318(4),5,1,PS000113,Paltan Bazaar Police Station,LOC000113,Paltan Bazaar,Guwahati,Assam,26.17357,91.75925,2023-03-13T10:56,2023-03-15T16:56,Directorate of Revenue Intelligence,ORG000006,SYN-TRF,CONVICTED,2732562465,3,C
INC000063,546/2026,CASE000126,MURDER,302,103(1),10,0,PS000069,Ramgarh Police Station,LOC000069,Ramgarh,Alwar,Rajasthan,27.52158,76.62084,2026-02-25T07:49,2026-02-26T07:49,Economic Offences Wing,ORG000005,SYN-MIN,UNDER_INVESTIGATION,0,4,B
INC000064,805/2023,CASE000034,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000099,KG Halli Police Station,LOC000099,KG Halli,Bengaluru,Karnataka,13.00798,77.6042,2023-10-24T06:18,2023-10-26T08:18,Enforcement Directorate,ORG000012,SYN-BET,CONVICTED,19129185,2,A
INC000065,747/2019,CASE000085,ORGANISED_CRIME,MCOCA 3(1),111,10,0,PS000114,Golakganj Police Station,LOC000114,Golakganj,Dhubri,Assam,26.02193,89.81691,2019-02-28T09:41,2019-03-01T18:41,Narcotics Control Bureau,,UNAFFILIATED,UNTRACED,0,2,D
INC000066,631/2021,CASE000080,EXTORTION,384/387,308,6,0,PS000091,Nandyal Police Station,LOC000091,Nandyal,Kurnool,Andhra Pradesh,15.47185,78.47847,2021-06-13T03:19,2021-06-13T12:19,Cyber Crime Cell,,UNAFFILIATED,UNDER_INVESTIGATION,23162029,2,B
INC000067,693/2021,CASE000031,ROBBERY,392,309(4),6,0,PS000045,Hatia Police Station,LOC000045,Hatia,Ranchi,Jharkhand,23.30257,85.31951,2021-08-17T22:36,2021-08-20T18:36,Special Task Force (STF),,UNAFFILIATED,CONVICTED,6376710,7,B
INC000068,097/2022,CASE000054,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000048,Rajabazar Police Station,LOC000048,Rajabazar,Kolkata,West Bengal,22.57998,88.37543,2022-10-31T12:17,2022-11-02T18:17,Enforcement Directorate,ORG000015,SYN-WLD,UNTRACED,0,3,C
INC000069,182/2025,CASE000151,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000098,Srirangam Police Station,LOC000098,Srirangam,Trichy,Tamil Nadu,10.86798,78.69592,2025-06-20T13:03,2025-06-21T01:03,State Intelligence Department,ORG000015,SYN-WLD,UNDER_INVESTIGATION,0,4,B
INC000070,765/2020,CASE000106,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000047,Metiabruz Police Station,LOC000047,Metiabruz,Kolkata,West Bengal,22.53329,88.31358,2020-06-12T08:15,2020-06-15T00:15,Anti-Narcotics Cell,ORG000015,SYN-WLD,UNDER_INVESTIGATION,0,2,D
INC000071,249/2023,CASE000110,FORGERY,465/468,336(3),4,1,PS000045,Hatia Police Station,LOC000045,Hatia,Ranchi,Jharkhand,23.30257,85.31951,2023-05-24T20:10,2023-05-25T01:10,State Intelligence Department,ORG000011,SYN-PON,ACQUITTED,0,2,D
INC000072,893/2024,CASE000074,ORGANISED_CRIME,MCOCA 3(1),111,10,0,PS000061,Sohna Police Station,LOC000061,Sohna,Gurugram,Haryana,28.25004,77.06581,2024-12-09T13:12,2024-12-12T09:12,State Police - Crime Branch,ORG000014,SYN-SHK,CHARGESHEETED,0,4,D
INC000073,665/2023,CASE000054,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000115,Sutarkandi Police Station,LOC000115,Sutarkandi,Karimganj,Assam,24.87968,92.34231,2023-09-22T19:02,2023-09-24T14:02,Enforcement Directorate,ORG000015,SYN-WLD,CHARGESHEETED,0,2,C
INC000074,325/2022,CASE000033,FORGERY,465/468,336(3),4,1,PS000118,Anjuna Police Station,LOC000118,Anjuna,North Goa,Goa,15.57327,73.73249,2022-09-18T08:53,2022-09-19T19:53,Narcotics Control Bureau,,UNAFFILIATED,CONVICTED,0,3,D
INC000075,788/2021,CASE000082,CHEATING_FRAUD,420,318(4),5,1,PS000042,Karmatanr Police Station,LOC000042,Karmatanr,Jamtara,Jharkhand,23.95479,86.79482,2021-01-01T04:57,2021-01-03T12:57,Anti-Narcotics Cell,ORG000011,SYN-PON,UNDER_INVESTIGATION,1685787,1,B
INC000076,856/2024,CASE000127,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000049,Kaliachak Police Station,LOC000049,Kaliachak,Malda,West Bengal,24.97035,88.00242,2024-02-15T06:14,2024-02-15T23:14,Special Task Force (STF),ORG000009,SYN-FIC,UNTRACED,0,4,A
INC000077,035/2025,CASE000152,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000085,Chandrayangutta Police Station,LOC000085,Chandrayangutta,Hyderabad,Telangana,17.33336,78.49109,2025-07-15T07:53,2025-07-15T21:53,Income Tax Investigation Wing,ORG000010,SYN-GAN,UNDER_INVESTIGATION,0,4,D
INC000078,848/2025,CASE000034,BETTING_GAMBLING,Gambling Act 3/4,-,2,1,PS000071,Juhapura Police Station,LOC000071,Juhapura,Ahmedabad,Gujarat,22.99114,72.53016,2025-06-23T17:46,2025-06-26T01:46,Enforcement Directorate,ORG000012,SYN-BET,UNDER_INVESTIGATION,558145,2,A
INC000079,047/2022,CASE000081,DACOITY,395,310(2),8,0,PS000122,Birgaon Police Station,LOC000122,Birgaon,Raipur,Chhattisgarh,21.27602,81.63096,2022-05-25T08:57,2022-05-28T07:57,Income Tax Investigation Wing,,UNAFFILIATED,UNDER_INVESTIGATION,28753028,3,A
INC000080,182/2025,CASE000092,CHEATING_FRAUD,420,318(4),5,1,PS000114,Golakganj Police Station,LOC000114,Golakganj,Dhubri,Assam,26.02193,89.81691,2025-12-27T13:27,2025-12-29T12:27,Central Bureau of Investigation,ORG000011,SYN-PON,UNTRACED,149587,1,C
INC000081,025/2026,CASE000044,ILLEGAL_MINING,MMDR 21(1),-,4,1,PS000043,Sarwan Police Station,LOC000043,Sarwan,Deoghar,Jharkhand,24.47171,86.69972,2026-06-03T08:52,2026-06-04T06:52,Central Bureau of Investigation,,UNAFFILIATED,UNDER_INVESTIGATION,0,2,D
INC000082,072/2026,CASE000087,NDPS_TRAFFICKING,NDPS 21(c)/29,-,9,0,PS000021,Sangam Vihar Police Station,LOC000021,Sangam Vihar,New Delhi,Delhi,28.48827,77.23159,2026-06-26T06:02,2026-06-29T04:02,Economic Offences Wing,ORG000002,SYN-HER,UNDER_INVESTIGATION,408770696,3,C
INC000083,002/2025,CASE000060,BETTING_GAMBLING,Gambling Act 3/4,-,2,1,PS000068,Kaman Police Station,LOC000068,Kaman,Bharatpur,Rajasthan,27.6531,77.26593,2025-10-16T04:52,2025-10-18T04:52,Enforcement Directorate,ORG000012,SYN-BET,UNDER_INVESTIGATION,963836381,5,B
INC000084,567/2023,CASE000050,CHEATING_FRAUD,420,318(4),5,1,PS000005,Andheri Police Station,LOC000005,Andheri,Mumbai,Maharashtra,19.11407,72.84691,2023-12-09T01:44,2023-12-10T18:44,Anti-Terrorism Squad (ATS),ORG000006,SYN-TRF,UNDER_INVESTIGATION,1872071,4,D
INC000085,328/2024,CASE000036,CHIT_FUND_PONZI,BUDS Act 21,318(4),6,1,PS000004,Bhendi Bazaar Police Station,LOC000004,Bhendi Bazaar,Mumbai,Maharashtra,18.95981,72.82064,2024-10-19T05:37,2024-10-19T06:37,Special Task Force (STF),,UNAFFILIATED,UNTRACED,441847,4,B
INC000086,718/2025,CASE000134,CHEATING_FRAUD,420,318(4),5,1,PS000004,Bhendi Bazaar Police Station,LOC000004,Bhendi Bazaar,Mumbai,Maharashtra,18.95981,72.82064,2025-11-28T15:48,2025-12-01T11:48,Directorate of Revenue Intelligence,ORG000006,SYN-TRF,CONVICTED,753540873,4,C
INC000087,373/2025,CASE000151,WILDLIFE_TRAFFICKING,WLPA 51,-,6,0,PS000113,Paltan Bazaar Police Station,LOC000113,Paltan Bazaar,Guwahati,Assam,26.17357,91.75925,2025-11-25T05:10,2025-11-26T10:10,State Intelligence Department,ORG000015,SYN-WLD,CHARGESHEETED,393743114,1,A
INC000088,860/2020,CASE000069,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000015,Chandni Chowk Police Station,LOC000015,Chandni Chowk,New Delhi,Delhi,28.65923,77.23546,2020-11-07T14:58,2020-11-09T22:58,Income Tax Investigation Wing,ORG000012,SYN-BET,UNDER_INVESTIGATION,2533670,2,C
