device_id,imei,make,model,is_dual_sim,first_seen
DEV000071,359404475017506,Apple,M62,1,2022-05-24
DEV000072,018990658697221,Vivo,M31,1,2018-06-22
DEV000073,359401441245220,Tecno,M29,1,2022-02-23
DEV000074,010596470336429,Oppo,M51,0,2026-01-08
DEV000075,010315887850661,Samsung,M65,1,2022-01-05
DEV000076,011483515609513,Oppo,M26,0,2023-04-27
DEV000077,356648110512921,Nokia,M28,0,2020-02-14
DEV000078,355752295083861,Samsung,M35,0,2018-08-30
DEV000079,867947631834299,Samsung,M11,1,2024-08-28
DEV000080,498523461512161,Nokia,M61,0,2023-11-13
DEV000081,359640009256838,Apple,M86,1,2022-10-14
DEV000082,353877765402345,Nokia,M25,1,2019-04-14
DEV000083,496218224792248,Nokia,M61,1,2024-03-11
DEV000084,357167148957922,Apple,M68,1,2025-10-04
DEV000085,865456367988362,Lava,M65,1,2025-02-04
DEV000086,351505954761683,Samsung,M90,0,2023-10-02
DEV000087,019704648555166,Tecno,M36,1,2021-03-04
DEV000088,352348109452552,Vivo,M83,1,2021-08-16
DEV000089,869643522173283,Oppo,M28,1,2023-11-19
DEV000090,869802029172651,Xiaomi,M93,1,2026-01-23
DEV000091,869037155860266,Oppo,M26,1,2019-12-30
DEV000092,352129856724056,Apple,M53,0,2025-01-10
DEV000093,356904761029659,Oppo,M47,1,2026-05-23
DEV000094,013770296705030,Apple,M62,0,2019-11-21
DEV000095,358804093362720,Oppo,M48,1,2019-06-05
DEV000096,493175102958388,Apple,M11,1,2020-04-22
DEV000097,491045351356345,Vivo,M18,1,2018-11-15
DEV000098,352553175504613,OnePlus,M24,1,2020-08-16
DEV000099,354072346150410,Xiaomi,M73,1,2019-09-19
DEV000100,495190348308246,Xiaomi,M36,1,2022-09-26
DEV000101,868585520101543,Oppo,M49,1,2021-06-23
DEV000102,498704264697951,Samsung,M79,1,2021-05-11
DEV000103,490638285041626,Nokia,M52,1,2025-01-23
DEV000104,358286549078723,Apple,M52,1,2022-03-09
DEV000105,011909375770799,OnePlus,M94,0,2025-08-24
DEV000106,350284224170186,Vivo,M90,0,2020-09-04
DEV000107,865210858375581,Realme,M63,0,2019-10-14
DEV000108,869254654763164,Tecno,M21,1,2021-12-20
DEV000109,495237100295964,Vivo,M50,1,2024-04-10
DEV000110,356108537007001,Xiaomi,M10,0,2026-06-01
DEV000111,496548427494640,Apple,M90,1,2018-08-29
DEV000112,350214366594534,Lava,M80,1,2020-05-30
DEV000113,491438381674280,Tecno,M50,0,2018-07-29
DEV000114,017438947528975,Realme,M93,1,2024-10-22
DEV000115,355482562739645,Vivo,M96,0,2019-05-26
DEV000116,350182087163884,Xiaomi,M85,1,2025-08-05
DEV000117,353628134135037,Vivo,M46,1,2026-01-01
DEV000118,867866868998429,Samsung,M12,1,2022-04-28
DEV000119,863785771712196,Tecno,M83,0,2025-10-14
DEV000120,351767070022793,OnePlus,M30,0,2021-06-07
DEV000121,010412266435094,Oppo,M50,1,2026-04-16
DEV000122,357181905974686,Tecno,M82,1,2018-05-16
DEV000123,868580099986696,Realme,M44,1,2021-07-06
DEV000124,357699330381563,Tecno,M51,1,2018-06-20
DEV000125,497381330983143,Apple,M30,1,2023-12-28
DEV000126,869617565779905,OnePlus,M25,1,2020-09-21
DEV000127,012511809545511,Tecno,M94,1,2019-03-04
DEV000128,357330027632727,Realme,M36,0,2020-06-28
DEV000129,862384357993896,Apple,M83,1,2024-04-22
DEV000130,011422632621444,Apple,M35,0,2019-03-12
DEV000131,496868584311623,Xiaomi,M17,0,2025-10-13
DEV000132,354947396543101,Apple,M55,1,2018-09-29
DEV000133,862569647413318,Xiaomi,M55,1,2022-08-26
DEV000134,016160384952605,OnePlus,M75,0,2019-10-08
DEV000135,355614109661595,Realme,M89,0,2019-10-10
DEV000136,356936240885169,Vivo,M26,1,2019-03-02
DEV000137,355741037622654,Tecno,M44,1,2021-08-29
DEV000138,359768933450045,Xiaomi,M89,1,2025-06-23
DEV000139,354047057126568,Apple,M59,0,2025-10-09
DEV000140,353870741420136,Oppo,M89,0,2024-01-13
DEV000141,866898807757468,Apple,M77,1,2026-05-30
DEV000142,016451924279345,OnePlus,M78,1,2025-04-26
DEV000143,016601705939679,Samsung,M23,0,2025-09-17
DEV000144,013767305858217,Tecno,M64,0,2021-02-11
DEV000145,356822431212557,Lava,M74,1,2020-03-11
DEV000146,495027192642108,Realme,M40,1,2022-12-03
DEV000147,867622334501542,Xiaomi,M70,1,2022-02-20
DEV000148,014971279310822,OnePlus,M31,1,2023-05-23
DEV000149,350358087563441,Tecno,M22,0,2018-06-10
DEV000150,863659747091485,Nokia,M98,1,2020-01-29
DEV000151,499308883707990,Xiaomi,M98,1,2026-02-23
DEV000152,865184063929466,Apple,M22,0,2020-04-17
DEV000153,492923359133539,Xiaomi,M57,1,2022-11-04
DEV000154,490662501622043,Vivo,M94,0,2022-12-22
DEV000155,357700378171509,OnePlus,M79,1,2021-04-17
DEV000156,359265951733669,OnePlus,M49,1,2021-02-15
DEV000157,351268881078638,Realme,M17,1,2023-03-17
DEV000158,860781762325586,Lava,M24,1,2026-04-22
DEV000159,350253046740715,Lava,M57,1,2019-04-09
DEV000160,017765439592897,Xiaomi,M42,1,2018-10-26
DEV000161,015347491160846,Nokia,M79,1,2019-05-09
DEV000162,359753014463386,Oppo,M51,1,2021-09-28
DEV000163,862219884813120,Samsung,M55,0,2020-09-30
DEV000164,017205553216853,Apple,M50,1,2022-05-07
DEV000165,493716436111683,Apple,M85,0,2019-07-21
DEV000166,491687478256340,Vivo,M32,1,2018-02-11
DEV000167,357086334453970,Apple,M15,1,2024-05-21
DEV000168,018598771573334,Apple,M38,1,2023-08-06
DEV000169,863894056947614,Tecno,M31,1,2026-04-13
DEV000170,356303816919483,OnePlus,M71,1,2025-04-12
DEV000171,353769823761829,Apple,M87,0,2020-04-16
DEV000172,498790912812120,OnePlus,M37,1,2026-01-06
DEV000173,492257502259315,Realme,M33,0,2019-11-23
DEV000174,011759317261084,Oppo,M51,1,2025-03-26
DEV000175,353883331493259,Oppo,M75,1,2024-06-25
DEV000176,019952535953019,Tecno,M59,1,2024-05-20
DEV000177,860146467503808,Tecno,M51,0,2018-12-15
DEV000178,869836876190751,Samsung,M50,1,2019-02-11
DEV000179,015107498188698,OnePlus,M23,1,2024-03-22
DEV000180,861453948072073,Lava,M42,0,2021-11-21
DEV000181,354023420338739,Lava,M48,1,2020-05-10
DEV000182,357015398740545,Xiaomi,M83,1,2024-07-27
DEV000183,350964614699481,Vivo,M75,0,2025-01-25
DEV000184,351668586778954,Vivo,M27,1,2023-01-20
DEV000185,868268313800337,Lava,M35,0,2022-11-12
DEV000186,354178584770231,Tecno,M26,1,2025-03-07
DEV000187,358259230651176,OnePlus,M81,1,2021-08-24
DEV000188,358328604161430,Apple,M45,1,2025-12-31
DEV000189,867969392055159,Nokia,M10,0,2021-12-25
DEV000190,350818548051436,Lava,M76,0,2023-04-25
DEV000191,019366735216081,Vivo,M48,1,2023-09-11
DEV000192,010939349647933,Apple,M38,1,2021-10-08
DEV000193,358773510597344,Oppo,M62,1,2018-01-09
DEV000194,359912691764982,Apple,M67,1,2021-04-29
DEV000195,865984070547205,Tecno,M27,1,2022-05-10
DEV000196,498878580391272,Nokia,M89,0,2021-10-09
DEV000197,868607294306285,Nokia,M34,0,2021-10-04
DEV000198,355940521989902,Realme,M10,0,2023-07-29
DEV000199,493095146073729,Samsung,M49,1,2025-02-13
DEV000200,352739246783149,OnePlus,M45,1,2018-04-29
DEV000201,868761282612496,Tecno,M80,1,2024-10-31
DEV000202,352336270653811,Vivo,M70,1,2021-09-17
DEV000203,353611538336641,Oppo,M85,1,2023-03-26
DEV000204,493916949739765,Lava,M69,1,2022-04-20
DEV000205,498708179621164,Nokia,M23,1,2018-06-16
DEV000206,018365998016650,Lava,M97,1,2020-07-09
DEV000207,350872670511934,Lava,M78,1,2025-08-15
DEV000208,860914319384155,Vivo,M21,1,2025-12-05
DEV000209,357484252467191,Vivo,M17,1,2025-04-19
DEV000210,359136406958053,Xiaomi,M75,0,2018-07-10
DEV000211,497350318849746,Xiaomi,M59,1,2019-11-07
DEV000212,351940011295207,Nokia,M94,0,2019-02-23
DEV000213,358577873413729,Vivo,M15,0,2023-02-15
DEV000214,356668843316500,Tecno,M79,1,2023-12-21
DEV000215,867249014054394,Vivo,M45,1,2024-12-21
DEV000216,350537256563375,Vivo,M42,1,2021-06-13
DEV000217,352794145509736,Vivo,M35,0,2024-10-07
DEV000218,354207961990971,Tecno,M79,0,2022-10-11
DEV000219,494508830682944,Lava,M25,0,2018-07-31
DEV000220,011811607621098,OnePlus,M88,1,2026-01-29
DEV000221,862422164532442,Realme,M25,1,2019-01-25
DEV000222,013466629136218,Apple,M39,1,2020-11-22
DEV000223,863506884393930,Tecno,M59,1,2025-11-06
DEV000224,493823919294785,Nokia,M45,1,2020-11-16
DEV000225,017632951662156,OnePlus,M91,0,2023-04-21
DEV000226,356374703036635,Lava,M64,1,2018-08-09
DEV000227,010790438935318,Nokia,M34,0,2021-04-06
DEV000228,015224113414811,Realme,M63,0,2024-05-08
DEV000229,013772228556932,Xiaomi,M45,1,2021-12-25
DEV000230,356629668273421,Lava,M82,0,2025-05-01
DEV000231,351963481300430,OnePlus,M28,0,2025-03-14
DEV000232,355393058187621,Oppo,M10,1,2022-10-22
DEV000233,356807687902442,OnePlus,M43,1,2020-03-28
DEV000234,358648409270293,Samsung,M72,0,2020-11-13
DEV000235,862310785778843,OnePlus,M28,0,2022-03-03
DEV000236,351186682726341,Samsung,M20,0,2024-02-14
DEV000237,869977041458865,Xiaomi,M37,1,2020-03-08
DEV000238,863810136240833,Xiaomi,M88,1,2025-08-16
DEV000239,860082244913062,Xiaomi,M10,1,2021-07-25
DEV000240,359419979817637,Samsung,M95,1,2025-05-08
DEV000241,357291269815339,Oppo,M55,1,2024-02-08
DEV000242,496576406336552,Lava,M60,1,2019-04-20
DEV000243,499679693924964,Realme,M39,1,2020-04-02
DEV000244,358519838606962,Realme,M49,0,2024-02-21
DEV000245,866957001503436,Xiaomi,M64,1,2019-12-27
DEV000246,497600427098395,OnePlus,M52,1,2023-11-23
DEV000247,013380536347160,Nokia,M74,1,2022-12-24
DEV000248,352371059602335,Tecno,M75,1,2022-12-31
DEV000249,860842735991920,Xiaomi,M50,1,2025-06-29
DEV000250,492926692362015,Vivo,M47,1,2019-02-21
DEV000251,866920091258535,Oppo,M16,1,2023-06-08
DEV000252,351812307388809,Xiaomi,M90,1,2018-12-24
DEV000253,351275362479902,Apple,M33,0,2025-08-28
DEV000254,358797892930905,Nokia,M70,1,2021-08-01
DEV000255,350906250946663,Samsung,M52,0,2018-01-08
DEV000256,497957571869724,Apple,M12,0,2022-11-22
DEV000257,018776013109864,Realme,M43,1,2018-11-21
DEV000258,012955471200733,Xiaomi,M59,1,2024-01-08
DEV000259,351924241296352,Tecno,M73,1,2019-07-17
DEV000260,860130653323961,Tecno,M19,0,2025-06-01
DEV000261,497606125174341,Realme,M25,1,2021-06-28
DEV000262,358939031696468,OnePlus,M76,1,2019-09-07
DEV000263,357904660055934,Xiaomi,M84,1,2024-06-07
DEV000264,019916159028791,Lava,M29,1,2019-12-10
DEV000265,017048601656126,Oppo,M65,1,2021-09-22
DEV000266,011251628026145,Realme,M29,0,2025-06-08
DEV000267,352671617277536,Tecno,M82,0,2020-11-27
DEV000268,351035807710915,Realme,M17,0,2020-11-05
DEV000269,016084674072484,Samsung,M23,1,2024-12-31
DEV000270,860612687370147,Oppo,M89,1,2023-08-20
DEV000271,350896586146928,Xiaomi,M98,1,2024-07-14
DEV000272,498757412287672,Samsung,M96,1,2021-06-16
DEV000273,492844329081166,Samsung,M86,0,2019-12-31
DEV000274,869561361510035,Nokia,M43,1,2024-05-31
DEV000275,351521926936093,Tecno,M73,1,2020-02-18
DEV000276,498328453812910,OnePlus,M65,0,2021-01-08
DEV000277,350086665815396,Vivo,M58,1,2020-09-16
DEV000278,358836808988095,Vivo,M31,1,2024-09-17
DEV000279,018175525391255,Apple,M27,0,2018-04-26
DEV000280,353078371642946,OnePlus,M22,1,2021-12-16
DEV000281,350857471771557,OnePlus,M47,1,2025-09-29
DEV000282,862246963181588,Tecno,M88,1,2024-07-30
DEV000283,351877671294411,Xiaomi,M57,1,2018-01-09
DEV000284,018805951556742,OnePlus,M48,1,2020-01-20
DEV000285,014005799798438,Xiaomi,M53,1,2023-06-11
DEV000286,351074655065305,Realme,M93,0,2018-01-28
DEV000287,351573664096805,Xiaomi,M32,1,2020-05-11
DEV000288,862804369174233,Lava,M16,0,2025-04-12
DEV000289,351918098174556,Realme,M67,0,2025-02-26
DEV000290,493948742243499,Samsung,M85,0,2020-04-02
DEV000291,010495069251912,Xiaomi,M54,1,2022-10-23
DEV000292,865120987554679,Samsung,M11,1,2021-12-20
DEV000293,490128087034114,OnePlus,M35,1,2018-10-30
DEV000294,492509179261190,Lava,M17,1,2021-08-27
DEV000295,866123933818947,Apple,M90,1,2025-05-01
DEV000296,356887727538664,Lava,M86,1,2025-12-07
DEV000297,865200298904261,Tecno,M98,1,2024-01-31
DEV000298,016892924768073,Realme,M52,1,2024-05-25
DEV000299,353154636762131,OnePlus,M11,1,2024-11-28
DEV000300,864073284568899,Vivo,M28,1,2023-11-19
DEV000301,491082281940332,Oppo,M82,1,2023-02-17
DEV000302,356124920184353,Tecno,M70,0,2018-02-19
DEV000303,017272878184146,Nokia,M58,1,2025-07-25
DEV000304,352670946186772,Xiaomi,M62,0,2021-02-14
DEV000305,497595796337113,Tecno,M35,1,2023-03-15
DEV000306,491650817037614,Vivo,M51,1,2019-09-18
DEV000307,491702005550185,Nokia,M77,1,2018-08-22
DEV000308,350293940996561,Nokia,M81,1,2022-01-07
DEV000309,013874437305351,Tecno,M63,1,2023-06-22
DEV000310,868521200416488,Apple,M21,0,2022-02-15
DEV000311,018699800881489,Oppo,M79,1,2021-06-27
DEV000312,019624132459129,Vivo,M96,0,2021-03-15
DEV000313,351363543133114,Realme,M97,0,2026-05-12
DEV000314,015478399049796,Xiaomi,M12,1,2026-03-15
DEV000315,356850989479398,Lava,M92,1,2022-04-26
DEV000316,490855026259912,Oppo,M96,0,2020-08-31
DEV000317,865982218987012,OnePlus,M29,1,2025-09-04
DEV000318,356180203155671,Nokia,M50,1,2022-08-10
DEV000319,497019827717953,OnePlus,M73,1,2025-02-08
DEV000320,354047873748058,Realme,M25,0,2023-03-12
DEV000321,860739701631620,Tecno,M50,1,2018-09-25
DEV000322,868384607491692,Lava,M25,1,2021-08-17
DEV000323,869604751042426,Apple,M81,1,2022-03-14
DEV000324,017608307354608,Samsung,M72,1,2025-11-28
DEV000325,351958736063404,Apple,M20,0,2018-05-30
DEV000326,492395327918233,Vivo,M25,1,2019-05-02
DEV000327,861188069043897,Xiaomi,M23,1,2023-10-01
DEV000328,359120624418507,Xiaomi,M95,0,2022-09-15
DEV000329,862315260579488,Xiaomi,M50,1,2023-12-12
DEV000330,351544751245735,Nokia,M96,1,2024-01-25
DEV000331,867403169474345,Xiaomi,M78,1,2026-06-11
DEV000332,355476424944282,Realme,M79,1,2023-10-09
DEV000333,357690463507739,Xiaomi,M80,0,2021-10-15
DEV000334,493445565824765,Lava,M27,1,2021-07-19
DEV000335,355160080443582,Vivo,M53,0,2019-03-11
DEV000336,497076034530078,Vivo,M45,1,2019-09-27
DEV000337,866390019907391,Oppo,M81,0,2020-10-09
DEV000338,352892176960388,Vivo,M43,1,2023-11-22
DEV000339,355409461745562,Vivo,M72,1,2018-06-07
DEV000340,491513006340962,Xiaomi,M32,0,2024-08-02
DEV000341,498530445675989,Xiaomi,M81,0,2022-07-12
DEV000342,864335085112742,Lava,M93,0,2022-04-20
DEV000343,356576829967281,Realme,M49,1,2026-03-25
DEV000344,357868042887899,Realme,M51,0,2023-11-21
DEV000345,491393474950049,Oppo,M18,1,2022-01-06
DEV000346,016826814155014,Oppo,M52,0,2018-02-26
DEV000347,351733759112864,Xiaomi,M39,1,2023-11-07
DEV000348,863409170895748,Vivo,M77,1,2023-07-30
DEV000349,357949317332201,OnePlus,M32,1,2025-12-07
DEV000350,492743585693281,Nokia,M43,0,2020-10-03
DEV000351,351549475046531,Oppo,M31,1,2025-05-03
DEV000352,358032602974802,Apple,M68,1,2025-10-04
DEV000353,493110848557931,Tecno,M97,0,2020-07-07
DEV000354,014778015260745,Lava,M59,1,2024-12-18
DEV000355,357830030564416,Apple,M80,1,2024-02-25
DEV000356,494828758331838,Tecno,M12,0,2019-06-16
DEV000357,867220895809011,Apple,M19,1,2021-03-07
DEV000358,497143648936172,Apple,M86,0,2023-08-13
DEV000359,013983745374011,Realme,M59,1,2026-06-13
DEV000360,495401624295552,Vivo,M75,1,2024-05-25
DEV000361,492686108447609,Nokia,M73,1,2024-07-19
DEV000362,019456069559919,Apple,M32,0,2020-12-26
DEV000363,014694307498206,Tecno,M70,0,2025-03-30
DEV000364,356804779001388,Lava,M56,1,2025-07-15
DEV000365,351898926629367,Nokia,M42,1,2025-05-05
DEV000366,869143942074803,Xiaomi,M52,1,2023-02-19
DEV000367,358698683017762,Realme,M61,1,2025-07-19
DEV000368,352745379569685,Realme,M60,0,2025-09-18
DEV000369,355413728291272,Xiaomi,M61,0,2020-08-07
DEV000370,354943405013686,Xiaomi,M87,1,2025-08-07
DEV000371,353758130121701,Tecno,M84,0,2021-03-06
DEV000372,490943201302235,Tecno,M91,1,2021-11-24
DEV000373,491870013651227,Samsung,M18,1,2022-01-18
DEV000374,351808293807436,Lava,M53,0,2025-03-27
DEV000375,354827596559870,OnePlus,M90,0,2025-08-11
DEV000376,353008710623596,Xiaomi,M60,1,2019-03-19
DEV000377,354301604263758,Tecno,M86,1,2026-04-05
DEV000378,358301008495254,Oppo,M14,0,2026-05-14
DEV000379,011889345764945,Nokia,M74,1,2023-02-03
DEV000380,354118727429332,Xiaomi,M69,1,2018-10-15
DEV000381,352319379804463,Samsung,M10,1,2024-06-13
DEV000382,864262811507162,Lava,M82,0,2020-04-26
DEV000383,860757046483715,Apple,M36,0,2020-02-29
DEV000384,355226124713057,Realme,M10,1,2025-12-17
DEV000385,351917066935484,Tecno,M23,0,2018-04-05
DEV000386,493198504788259,Apple,M59,1,2019-03-06
DEV000387,355773641402268,Tecno,M54,1,2019-12-21
DEV000388,354846180288235,Tecno,M74,1,2021-04-11
DEV000389,869222821021521,Vivo,M44,1,2023-11-25
DEV000390,350506715663688,Apple,M65,1,2025-06-14
DEV000391,863077262928754,Samsung,M47,1,2025-11-26
DEV000392,350219124164471,Tecno,M62,0,2024-01-11
DEV000393,359323174848740,Xiaomi,M57,1,2018-02-23
DEV000394,017644932293300,Nokia,M49,1,2020-02-22
DEV000395,353104988069440,Samsung,M62,0,2023-03-04
DEV000396,351517827335023,Xiaomi,M49,1,2023-06-08
DEV000397,861198644713340,Xiaomi,M76,1,2024-09-22
DEV000398,358720679723847,Realme,M75,0,2023-10-05
DEV000399,355490010380120,Xiaomi,M82,1,2020-11-19
DEV000400,016990336545311,Apple,M71,1,2021-05-16
DEV000401,494629567230854,Apple,M45,1,2021-04-21
DEV000402,494493747908874,OnePlus,M79,1,2020-04-12
DEV000403,016422608175979,Samsung,M24,0,2019-01-13
DEV000404,496899570411857,Vivo,M51,1,2019-05-30
DEV000405,010645334956926,Oppo,M11,1,2023-10-19
DEV000406,866083523391994,Lava,M63,1,2025-04-22
DEV000407,491596699149823,Apple,M17,1,2018-11-23
DEV000408,491327147118568,Vivo,M11,1,2018-07-24
DEV000409,359874270189728,Vivo,M87,0,2023-08-11
DEV000410,499447749205037,Xiaomi,M81,0,2023-05-31
DEV000411,352191677108661,Tecno,M45,1,2020-10-10
DEV000412,353430674167120,Vivo,M85,1,2024-11-09
DEV000413,359796887899725,Oppo,M35,0,2019-05-28
DEV000414,012588858212402,Realme,M37,1,2020-10-21
DEV000415,351296764249547,Nokia,M62,1,2024-07-22
DEV000416,864782213258804,Nokia,M61,1,2019-06-07
DEV000417,868646412663050,Tecno,M62,1,2020-06-19
DEV000418,864975744510159,Tecno,M81,1,2022-01-18
DEV000419,357200102927186,Realme,M27,0,2024-12-08
DEV000420,358038650306662,Apple,M93,1,2023-07-26
DEV000421,012013320573713,Tecno,M45,1,2026-05-23
DEV000422,491277719101643,OnePlus,M15,1,2026-05-02
DEV000423,354499271108374,Tecno,M17,1,2024-06-13
DEV000424,350418656738566,Oppo,M95,0,2024-02-19
DEV000425,353726034631789,Tecno,M10,1,2022-07-13
DEV000426,860744722764398,Xiaomi,M24,1,2019-11-13
DEV000427,495198287048591,Apple,M87,1,2024-04-29
DEV000428,355236137753423,Oppo,M55,0,2018-12-05
DEV000429,352067238278140,OnePlus,M86,1,2023-06-25
DEV000430,354983864887884,Nokia,M35,1,2019-10-01
DEV000431,357578047994121,OnePlus,M44,1,2023-11-10
DEV000432,011687700184849,Apple,M65,1,2025-01-06
DEV000433,499687992863080,Realme,M51,0,2020-06-26
DEV000434,012408274619819,OnePlus,M49,1,2020-04-25
DEV000435,862623763459624,OnePlus,M36,0,2025-01-13
DEV000436,860777810881308,Apple,M66,1,2021-01-10
DEV000437,353169962139238,Lava,M25,1,2018-12-13
DEV000438,359748542084819,Vivo,M83,0,2025-05-03
DEV000439,353892166224165,Apple,M61,0,2020-03-22
DEV000440,354438051589522,Nokia,M71,1,2020-06-21
DEV000441,359563944532210,Nokia,M94,1,2018-12-31
DEV000442,868167279664104,Samsung,M19,1,2020-08-13
DEV000443,019207310837085,Tecno,M10,1,2020-04-30
DEV000444,013424645220392,Oppo,M81,1,2021-12-17
DEV000445,861854378262595,Oppo,M53,1,2025-06-27
DEV000446,863899347584371,Oppo,M10,1,2023-06-21
DEV000447,350620922751586,Tecno,M53,0,2025-04-06
DEV000448,495085624555382,Xiaomi,M97,1,2018-05-29
DEV000449,358565851379721,Nokia,M51,0,2021-12-24
DEV000450,358689397770428,Apple,M93,1,2024-08-05
DEV000451,499704220244584,Tecno,M16,1,2020-06-22
DEV000452,352402418798786,Apple,M85,0,2019-09-16
DEV000453,869840104880748,Oppo,M77,1,2019-04-04
DEV000454,496378628250991,Oppo,M27,1,2025-08-20
DEV000455,355685142370486,Apple,M57,1,2019-02-28
DEV000456,350275789868774,Lava,M25,0,2019-05-09
DEV000457,354812479560506,Realme,M15,1,2021-10-09
DEV000458,864856758499005,Tecno,M71,1,2024-08-17
DEV000459,017927085531664,Apple,M17,1,2020-07-27
DEV000460,354689896327756,Oppo,M12,0,2022-02-19
DEV000461,358348403628993,Apple,M51,1,2020-11-30
DEV000462,019939190011280,Oppo,M16,0,2026-02-12
DEV000463,498845930506994,Lava,M72,1,2026-01-15
DEV000464,496432631424384,Realme,M91,1,2026-01-16
DEV000465,862314211253403,Oppo,M43,1,2021-04-17
DEV000466,492111259667957,OnePlus,M22,1,2024-11-05
DEV000467,498476505476745,Oppo,M93,1,2018-12-02
DEV000468,356782362784239,Nokia,M94,1,2021-07-06
DEV000469,019194066942507,Apple,M52,1,2019-09-16
DEV000470,015933841962192,Lava,M54,0,2026-04-15
DEV000471,490110843990167,Vivo,M55,1,2021-12-14
DEV000472,490025300958402,Vivo,M92,0,2021-06-08
DEV000473,494558489116613,Nokia,M40,1,2025-11-11
DEV000474,351026233329614,Tecno,M41,0,2018-02-06
DEV000475,357619730141116,Samsung,M89,0,2025-07-14
DEV000476,860449796977151,Nokia,M59,1,2023-06-23
DEV000477,351280024318103,Samsung,M88,1,2019-10-22
DEV000478,490737715061388,Samsung,M59,0,2021-01-11
DEV000479,356105726528469,Xiaomi,M51,1,2021-08-06
DEV000480,350949305534001,Tecno,M49,1,2021-03-15
