org_id,name,org_type,syndicate_code,archetype_label,parent_syndicate_id,hq_location_id,hq_city,hq_state,operating_states,foreign_links,primary_crimes,member_count,active_since,status,threat_level
ORG000011,Multi-State Chit Fund / Ponzi Operation [Dhubri cluster],SYNDICATE,SYN-PON,Multi-State Chit Fund / Ponzi Operation,,LOC000114,Dhubri,Assam,Assam|Bihar|Jharkhand|Odisha|West Bengal,UAE,CHIT_FUND_PONZI|CHEATING_FRAUD|MONEY_LAUNDERING|FORGERY,47,2005-03-20,ACTIVE,HIGH
ORG000012,Cricket Betting & Match-Fixing Syndicate [New Delhi cluster],SYNDICATE,SYN-BET,Cricket Betting & Match-Fixing Syndicate,,LOC000022,New Delhi,Delhi,Delhi|Gujarat|Karnataka|Maharashtra|Rajasthan|Telangana,UAE|Sri Lanka|Malaysia,BETTING_GAMBLING|MONEY_LAUNDERING|CHEATING_FRAUD|EXTORTION,51,2015-03-04,ACTIVE,HIGH
ORG000013,Kidnapping-for-Ransom Crew [Dhanbad cluster],SYNDICATE,SYN-KDN,Kidnapping-for-Ransom Crew,,LOC000044,Dhanbad,Jharkhand,Bihar|Delhi|Jharkhand|Uttar Pradesh|West Bengal,Nepal,KIDNAP_FOR_RANSOM|MURDER|ARMS_ACT|EXTORTION|ORGANISED_CRIME,37,2009-09-26,DISRUPTED,HIGH
ORG000014,Contract Shooter / Supari Network [Meerut cluster],SYNDICATE,SYN-SHK,Contract Shooter / Supari Network,,LOC000025,Meerut,Uttar Pradesh,Delhi|Haryana|Madhya Pradesh|Maharashtra|Punjab|Rajasthan|Uttar Pradesh,UAE|Nepal,MURDER|ATTEMPT_TO_MURDER|ARMS_ACT|EXTORTION|ORGANISED_CRIME,45,2011-09-21,ACTIVE,HIGH
ORG000015,Wildlife & Red-Sanders Trafficking Ring [Chennai cluster],SYNDICATE,SYN-WLD,Wildlife & Red-Sanders Trafficking Ring,,LOC000093,Chennai,Tamil Nadu,Andhra Pradesh|Assam|Delhi|Madhya Pradesh|Manipur|Tamil Nadu|West Bengal,Nepal|Myanmar|Thailand,WILDLIFE_TRAFFICKING|SMUGGLING_CUSTOMS|FORGERY|CRIMINAL_CONSPIRACY,35,2007-08-09,ACTIVE,CRITICAL
ORG000016,Andheri Builders,FRONT_COMPANY,SYN-EXT,,ORG000001,LOC000005,Mumbai,Maharashtra,Maharashtra,UAE,MONEY_LAUNDERING,3,2011-07-19,DORMANT,MEDIUM
ORG000017,Royal Infra,FRONT_COMPANY,SYN-EXT,,ORG000001,LOC000012,Nashik,Maharashtra,Maharashtra,,MONEY_LAUNDERING,4,2017-07-25,STRUCK_OFF,MEDIUM
ORG000018,Dave Infra,SHELL_ENTITY,SYN-EXT,,ORG000001,LOC000003,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,2,2018-11-22,ACTIVE,MEDIUM
ORG000019,Alpesh Enterprises,FRONT_COMPANY,SYN-EXT,,ORG000001,LOC000099,Bengaluru,Karnataka,Karnataka,,MONEY_LAUNDERING,1,2024-06-05,DORMANT,MEDIUM
ORG000020,Seelampur Infra,SHELL_ENTITY,SYN-EXT,,ORG000001,LOC000016,New Delhi,Delhi,Delhi,UAE,MONEY_LAUNDERING,3,2020-11-09,ACTIVE,MEDIUM
ORG000021,Swapnil Realty,PROPRIETORSHIP,SYN-EXT,,ORG000001,LOC000005,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,4,2022-04-09,ACTIVE,MEDIUM
ORG000022,Hussain Builders,PROPRIETORSHIP,SYN-EXT,,ORG000001,LOC000102,Kalaburagi,Karnataka,Karnataka,,MONEY_LAUNDERING,4,2012-02-18,STRUCK_OFF,MEDIUM
ORG000023,Bhoir Builders,SHELL_ENTITY,SYN-EXT,,ORG000001,LOC000015,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,1,2021-07-04,STRUCK_OFF,MEDIUM
ORG000024,Yusuf Agro Traders,FRONT_COMPANY,SYN-HER,,ORG000002,LOC000015,New Delhi,Delhi,Delhi,Pakistan|Afghanistan|UAE,MONEY_LAUNDERING,4,2018-06-01,ACTIVE,MEDIUM
ORG000025,Choudhary Rice Mills,PROPRIETORSHIP,SYN-HER,,ORG000002,LOC000121,Baramulla,Jammu and Kashmir,Jammu and Kashmir,,MONEY_LAUNDERING,1,2018-12-13,ACTIVE,MEDIUM
ORG000026,Kumawat Transport Co,FRONT_COMPANY,SYN-HER,,ORG000002,LOC000064,Faridabad,Haryana,Haryana,,MONEY_LAUNDERING,4,2016-10-13,ACTIVE,MEDIUM
ORG000027,Nokha Agro Traders,SHELL_ENTITY,SYN-HER,,ORG000002,LOC000066,Bikaner,Rajasthan,Rajasthan,,MONEY_LAUNDERING,4,2012-08-31,ACTIVE,MEDIUM
ORG000028,Sangam Rice Mills,SHELL_ENTITY,SYN-HER,,ORG000002,LOC000021,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,4,2015-08-08,ACTIVE,MEDIUM
ORG000029,National Transport Co,FRONT_COMPANY,SYN-HER,,ORG000002,LOC000060,Nuh,Haryana,Haryana,,MONEY_LAUNDERING,1,2020-08-14,ACTIVE,MEDIUM
ORG000030,Jasbir Agro Traders,SHELL_ENTITY,SYN-HER,,ORG000002,LOC000054,Amritsar,Punjab,Punjab,Pakistan|Afghanistan|UAE,MONEY_LAUNDERING,4,2016-08-15,STRUCK_OFF,MEDIUM
ORG000031,Nadeem Transport Co,FRONT_COMPANY,SYN-HER,,ORG000002,LOC000060,Nuh,Haryana,Haryana,Pakistan|Afghanistan|UAE,MONEY_LAUNDERING,4,2021-09-15,STRUCK_OFF,MEDIUM
ORG000032,Adhikari Marketing Solutions,PROPRIETORSHIP,SYN-CYB,,ORG000003,LOC000019,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,1,2016-01-10,ACTIVE,MEDIUM
ORG000033,Ballabgarh BPO Services,FRONT_COMPANY,SYN-CYB,,ORG000003,LOC000064,Faridabad,Haryana,Haryana,,MONEY_LAUNDERING,2,2026-06-27,DORMANT,MEDIUM
ORG000034,Chandni BPO Services,PROPRIETORSHIP,SYN-CYB,,ORG000003,LOC000015,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,3,2015-08-22,DORMANT,MEDIUM
ORG000035,Hussain Technologies,SHELL_ENTITY,SYN-CYB,,ORG000003,LOC000016,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,4,2016-04-13,STRUCK_OFF,MEDIUM
ORG000036,Udaiveer BPO Services,SHELL_ENTITY,SYN-CYB,,ORG000003,LOC000062,Sonipat,Haryana,Haryana,,MONEY_LAUNDERING,3,2011-11-06,ACTIVE,MEDIUM
ORG000037,Satish Marketing Solutions,SHELL_ENTITY,SYN-CYB,,ORG000003,LOC000034,Jaunpur,Uttar Pradesh,Uttar Pradesh,Nepal|Bangladesh|Myanmar|Thailand,MONEY_LAUNDERING,4,2018-07-23,DORMANT,MEDIUM
ORG000038,New Marketing Solutions,FRONT_COMPANY,SYN-CYB,,ORG000003,LOC000053,Nadia,West Bengal,West Bengal,,MONEY_LAUNDERING,3,2023-04-23,ACTIVE,MEDIUM
ORG000039,Royal Forex Services,FRONT_COMPANY,SYN-HAW,,ORG000004,LOC000020,New Delhi,Delhi,Delhi,UAE|Malaysia|Sri Lanka,MONEY_LAUNDERING,1,2016-09-03,ACTIVE,MEDIUM
ORG000040,Tirur Gems & Jewels,SHELL_ENTITY,SYN-HAW,,ORG000004,LOC000105,Malappuram,Kerala,Kerala,,MONEY_LAUNDERING,1,2014-02-04,ACTIVE,MEDIUM
ORG000041,Global Forex Services,PROPRIETORSHIP,SYN-HAW,,ORG000004,LOC000049,Malda,West Bengal,West Bengal,UAE|Malaysia|Sri Lanka,MONEY_LAUNDERING,2,2023-04-27,ACTIVE,MEDIUM
ORG000042,Wasim Trading Co,SHELL_ENTITY,SYN-HAW,,ORG000004,LOC000086,Warangal,Telangana,Telangana,,MONEY_LAUNDERING,3,2024-05-31,DORMANT,MEDIUM
ORG000043,Sangam Trading Co,FRONT_COMPANY,SYN-HAW,,ORG000004,LOC000021,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,4,2023-02-25,ACTIVE,MEDIUM
ORG000044,Kurup Exim,FRONT_COMPANY,SYN-HAW,,ORG000004,LOC000048,Kolkata,West Bengal,West Bengal,,MONEY_LAUNDERING,4,2020-01-15,DORMANT,MEDIUM
ORG000045,Chavakkad Logistics,FRONT_COMPANY,SYN-HAW,,ORG000004,LOC000107,Thrissur,Kerala,Kerala,,MONEY_LAUNDERING,3,2020-08-02,ACTIVE,MEDIUM
ORG000046,Sagar Forex Services,FRONT_COMPANY,SYN-HAW,,ORG000004,LOC000014,Solapur,Maharashtra,Maharashtra,,MONEY_LAUNDERING,4,2021-04-06,ACTIVE,MEDIUM
ORG000047,Sunrise Minerals,FRONT_COMPANY,SYN-MIN,,ORG000005,LOC000036,Munger,Bihar,Bihar,,MONEY_LAUNDERING,2,2013-04-11,DORMANT,MEDIUM
ORG000048,Sandur Minerals,FRONT_COMPANY,SYN-MIN,,ORG000005,LOC000103,Ballari,Karnataka,Karnataka,,MONEY_LAUNDERING,3,2019-10-25,ACTIVE,MEDIUM
ORG000049,Rathore Minerals,FRONT_COMPANY,SYN-MIN,,ORG000005,LOC000023,Lucknow,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,3,2016-12-07,DORMANT,MEDIUM
ORG000050,Chohtan Minerals,FRONT_COMPANY,SYN-MIN,,ORG000005,LOC000070,Barmer,Rajasthan,Rajasthan,,MONEY_LAUNDERING,3,2024-01-22,ACTIVE,MEDIUM
ORG000051,Chetganj Stone Crushers,FRONT_COMPANY,SYN-MIN,,ORG000005,LOC000028,Varanasi,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,1,2024-03-25,ACTIVE,MEDIUM
ORG000052,Gounder Stone Crushers,SHELL_ENTITY,SYN-MIN,,ORG000005,LOC000079,Khargone,Madhya Pradesh,Madhya Pradesh,,MONEY_LAUNDERING,4,2026-05-24,ACTIVE,MEDIUM
ORG000053,Roy Manpower Services,SHELL_ENTITY,SYN-TRF,,ORG000006,LOC000060,Nuh,Haryana,Haryana,,MONEY_LAUNDERING,4,2023-06-30,ACTIVE,MEDIUM
ORG000054,National Placement Agency,FRONT_COMPANY,SYN-TRF,,ORG000006,LOC000115,Karimganj,Assam,Assam,,MONEY_LAUNDERING,2,2022-08-04,ACTIVE,MEDIUM
ORG000055,Roy Consultancy,SHELL_ENTITY,SYN-TRF,,ORG000006,LOC000048,Kolkata,West Bengal,West Bengal,Bangladesh|Nepal,MONEY_LAUNDERING,4,2021-03-24,ACTIVE,MEDIUM
ORG000056,Bikash Consultancy,FRONT_COMPANY,SYN-TRF,,ORG000006,LOC000053,Nadia,West Bengal,West Bengal,,MONEY_LAUNDERING,1,2019-03-05,STRUCK_OFF,MEDIUM
ORG000057,Galaxy Consultancy,SHELL_ENTITY,SYN-TRF,,ORG000006,LOC000114,Dhubri,Assam,Assam,Bangladesh|Nepal,MONEY_LAUNDERING,2,2017-02-16,STRUCK_OFF,MEDIUM
ORG000058,Baradari Auto Parts,FRONT_COMPANY,SYN-ARM,,ORG000007,LOC000032,Bareilly,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,3,2016-04-15,STRUCK_OFF,MEDIUM
ORG000059,Pramod Fabricators,SHELL_ENTITY,SYN-ARM,,ORG000007,LOC000051,North 24 Parganas,West Bengal,West Bengal,,MONEY_LAUNDERING,1,2013-09-05,DORMANT,MEDIUM
ORG000060,Mehgaon Fabricators,FRONT_COMPANY,SYN-ARM,,ORG000007,LOC000081,Bhind,Madhya Pradesh,Madhya Pradesh,,MONEY_LAUNDERING,4,2011-12-27,ACTIVE,MEDIUM
ORG000061,Khajanchi Fabricators,FRONT_COMPANY,SYN-ARM,,ORG000007,LOC000041,Purnia,Bihar,Bihar,Nepal,MONEY_LAUNDERING,4,2018-05-02,ACTIVE,MEDIUM
ORG000062,Devendra Auto Parts,SHELL_ENTITY,SYN-ARM,,ORG000007,LOC000081,Bhind,Madhya Pradesh,Madhya Pradesh,,MONEY_LAUNDERING,2,2017-05-30,ACTIVE,MEDIUM
ORG000063,Srivastava Engineering Works,PROPRIETORSHIP,SYN-ARM,,ORG000007,LOC000003,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,2,2021-07-24,ACTIVE,MEDIUM
ORG000064,Yusuf Spare Parts,FRONT_COMPANY,SYN-VEH,,ORG000008,LOC000057,Ferozepur,Punjab,Punjab,,MONEY_LAUNDERING,3,2025-10-07,ACTIVE,MEDIUM
ORG000065,Nokha Motors,SHELL_ENTITY,SYN-VEH,,ORG000008,LOC000066,Bikaner,Rajasthan,Rajasthan,,MONEY_LAUNDERING,2,2016-02-27,STRUCK_OFF,MEDIUM
ORG000066,Chomu Car Bazaar,FRONT_COMPANY,SYN-VEH,,ORG000008,LOC000067,Jaipur,Rajasthan,Rajasthan,Nepal,MONEY_LAUNDERING,2,2018-04-18,ACTIVE,MEDIUM
ORG000067,Davinder Motors,FRONT_COMPANY,SYN-VEH,,ORG000008,LOC000018,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,2,2020-10-28,ACTIVE,MEDIUM
ORG000068,Unity Car Bazaar,FRONT_COMPANY,SYN-VEH,,ORG000008,LOC000030,Prayagraj,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,4,2025-10-30,ACTIVE,MEDIUM
ORG000069,Rajghat Packaging,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000029,Gorakhpur,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,2,2015-11-20,ACTIVE,MEDIUM
ORG000070,Galaxy Paper Traders,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000115,Karimganj,Assam,Assam,Bangladesh|Nepal|Pakistan,MONEY_LAUNDERING,2,2016-08-18,ACTIVE,MEDIUM
ORG000071,Mohammed Packaging,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000039,Siwan,Bihar,Bihar,Bangladesh|Nepal|Pakistan,MONEY_LAUNDERING,3,2026-02-16,ACTIVE,MEDIUM
ORG000072,Nepal Printers,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000033,Azamgarh,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,1,2019-11-12,STRUCK_OFF,MEDIUM
ORG000073,Golakganj Printers,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000114,Dhubri,Assam,Assam,Bangladesh|Nepal|Pakistan,MONEY_LAUNDERING,3,2021-05-01,DORMANT,MEDIUM
ORG000074,Galaxy Printers,SHELL_ENTITY,SYN-FIC,,ORG000009,LOC000016,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,2,2019-11-22,ACTIVE,MEDIUM
ORG000075,Anup Stationers,FRONT_COMPANY,SYN-FIC,,ORG000009,LOC000039,Siwan,Bihar,Bihar,,MONEY_LAUNDERING,4,2019-11-17,ACTIVE,MEDIUM
ORG000076,Mallesh Transport,SHELL_ENTITY,SYN-GAN,,ORG000010,LOC000122,Raipur,Chhattisgarh,Chhattisgarh,,MONEY_LAUNDERING,3,2017-02-14,DORMANT,MEDIUM
ORG000077,Charminar Roadways,FRONT_COMPANY,SYN-GAN,,ORG000010,LOC000083,Hyderabad,Telangana,Telangana,,MONEY_LAUNDERING,1,2018-12-01,STRUCK_OFF,MEDIUM
ORG000078,Perumal Roadways,FRONT_COMPANY,SYN-GAN,,ORG000010,LOC000123,Bijapur,Chhattisgarh,Chhattisgarh,,MONEY_LAUNDERING,4,2024-01-19,ACTIVE,MEDIUM
ORG000079,Thevar Agro Products,SHELL_ENTITY,SYN-GAN,,ORG000010,LOC000110,Cuttack,Odisha,Odisha,,MONEY_LAUNDERING,3,2014-04-08,ACTIVE,MEDIUM
ORG000080,Sagar Transport,FRONT_COMPANY,SYN-GAN,,ORG000010,LOC000003,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,3,2012-06-08,ACTIVE,MEDIUM
ORG000081,Arivazhagan Timber Traders,FRONT_COMPANY,SYN-GAN,,ORG000010,LOC000084,Hyderabad,Telangana,Telangana,,MONEY_LAUNDERING,2,2016-07-13,ACTIVE,MEDIUM
ORG000082,Bengabad Plantations,FRONT_COMPANY,SYN-PON,,ORG000011,LOC000046,Giridih,Jharkhand,Jharkhand,UAE,MONEY_LAUNDERING,1,2022-11-18,ACTIVE,MEDIUM
ORG000083,Mallick Multi Trade,PROPRIETORSHIP,SYN-PON,,ORG000011,LOC000042,Jamtara,Jharkhand,Jharkhand,,MONEY_LAUNDERING,3,2026-03-17,ACTIVE,MEDIUM
ORG000084,Basanta Nidhi Ltd,FRONT_COMPANY,SYN-PON,,ORG000011,LOC000113,Guwahati,Assam,Assam,UAE,MONEY_LAUNDERING,1,2021-12-30,ACTIVE,MEDIUM
ORG000085,Metiabruz Nidhi Ltd,SHELL_ENTITY,SYN-PON,,ORG000011,LOC000047,Kolkata,West Bengal,West Bengal,,MONEY_LAUNDERING,3,2023-01-16,STRUCK_OFF,MEDIUM
ORG000086,Sanjib Realty Infra,FRONT_COMPANY,SYN-PON,,ORG000011,LOC000038,Gaya,Bihar,Bihar,,MONEY_LAUNDERING,3,2021-09-11,ACTIVE,MEDIUM
ORG000087,Basanta Multi Trade,PROPRIETORSHIP,SYN-PON,,ORG000011,LOC000039,Siwan,Bihar,Bihar,UAE,MONEY_LAUNDERING,3,2011-04-06,ACTIVE,MEDIUM
ORG000088,Sunrise Nidhi Ltd,FRONT_COMPANY,SYN-PON,,ORG000011,LOC000112,Ganjam,Odisha,Odisha,,MONEY_LAUNDERING,4,2020-07-19,DORMANT,MEDIUM
ORG000089,Trupti Hospitality,FRONT_COMPANY,SYN-BET,,ORG000012,LOC000005,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,3,2014-09-02,DORMANT,MEDIUM
ORG000090,Divyesh Hospitality,FRONT_COMPANY,SYN-BET,,ORG000012,LOC000072,Surat,Gujarat,Gujarat,,MONEY_LAUNDERING,4,2012-02-04,ACTIVE,MEDIUM
ORG000091,Paharganj Hospitality,SHELL_ENTITY,SYN-BET,,ORG000012,LOC000022,New Delhi,Delhi,Delhi,UAE|Sri Lanka|Malaysia,MONEY_LAUNDERING,4,2021-07-18,STRUCK_OFF,MEDIUM
ORG000092,Sunrise Media Works,FRONT_COMPANY,SYN-BET,,ORG000012,LOC000020,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,1,2026-01-12,STRUCK_OFF,MEDIUM
ORG000093,Desai Sports Ventures,FRONT_COMPANY,SYN-BET,,ORG000012,LOC000069,Alwar,Rajasthan,Rajasthan,UAE|Sri Lanka|Malaysia,MONEY_LAUNDERING,4,2018-03-12,STRUCK_OFF,MEDIUM
ORG000094,Bhardwaj Suppliers,FRONT_COMPANY,SYN-KDN,,ORG000013,LOC000040,Begusarai,Bihar,Bihar,,MONEY_LAUNDERING,2,2020-05-10,STRUCK_OFF,MEDIUM
ORG000095,Sunrise Traders,FRONT_COMPANY,SYN-KDN,,ORG000013,LOC000036,Munger,Bihar,Bihar,,MONEY_LAUNDERING,2,2024-04-26,DORMANT,MEDIUM
ORG000096,Maa Contractors,SHELL_ENTITY,SYN-KDN,,ORG000013,LOC000032,Bareilly,Uttar Pradesh,Uttar Pradesh,Nepal,MONEY_LAUNDERING,3,2026-05-08,ACTIVE,MEDIUM
ORG000097,Karol Suppliers,SHELL_ENTITY,SYN-KDN,,ORG000013,LOC000018,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,1,2022-03-20,STRUCK_OFF,MEDIUM
ORG000098,Sunrise Contractors,FRONT_COMPANY,SYN-KDN,,ORG000013,LOC000023,Lucknow,Uttar Pradesh,Uttar Pradesh,,MONEY_LAUNDERING,1,2012-04-19,ACTIVE,MEDIUM
ORG000099,Wasim Suppliers,PROPRIETORSHIP,SYN-KDN,,ORG000013,LOC000051,North 24 Parganas,West Bengal,West Bengal,,MONEY_LAUNDERING,3,2024-05-11,ACTIVE,MEDIUM
ORG000100,Bhendi Property Dealers,FRONT_COMPANY,SYN-SHK,,ORG000014,LOC000004,Mumbai,Maharashtra,Maharashtra,,MONEY_LAUNDERING,4,2023-09-21,DORMANT,MEDIUM
ORG000101,Srivastava Property Dealers,SHELL_ENTITY,SYN-SHK,,ORG000014,LOC000066,Bikaner,Rajasthan,Rajasthan,,MONEY_LAUNDERING,1,2023-09-05,STRUCK_OFF,MEDIUM
ORG000102,Jamalpur Gym & Fitness,PROPRIETORSHIP,SYN-SHK,,ORG000014,LOC000056,Ludhiana,Punjab,Punjab,UAE|Nepal,MONEY_LAUNDERING,4,2012-06-23,ACTIVE,MEDIUM
ORG000103,Gurpreet Property Dealers,SHELL_ENTITY,SYN-SHK,,ORG000014,LOC000054,Amritsar,Punjab,Punjab,,MONEY_LAUNDERING,4,2013-06-16,ACTIVE,MEDIUM
ORG000104,Singh Property Dealers,PROPRIETORSHIP,SYN-SHK,,ORG000014,LOC000015,New Delhi,Delhi,Delhi,,MONEY_LAUNDERING,4,2014-03-12,DORMANT,MEDIUM
ORG000105,Sandhu Property Dealers,SHELL_ENTITY,SYN-SHK,,ORG000014,LOC000059,Bathinda,Punjab,Punjab,,MONEY_LAUNDERING,3,2021-12-23,ACTIVE,MEDIUM
ORG000106,Yadav Timber Co,SHELL_ENTITY,SYN-WLD,,ORG000015,LOC000048,Kolkata,West Bengal,West Bengal,Nepal|Myanmar|Thailand,MONEY_LAUNDERING,3,2011-11-22,ACTIVE,MEDIUM
ORG000107,Annadurai Handicrafts,FRONT_COMPANY,SYN-WLD,,ORG000015,LOC000051,North 24 Parganas,West Bengal,West Bengal,,MONEY_LAUNDERING,1,2020-11-04,ACTIVE,MEDIUM
ORG000108,Rau Handicrafts,SHELL_ENTITY,SYN-WLD,,ORG000015,LOC000078,Indore,Madhya Pradesh,Madhya Pradesh,,MONEY_LAUNDERING,4,2023-11-01,ACTIVE,MEDIUM
