ps_id,ps_name,short_name,city,state,jurisdiction_location_id
PS000059,Rampura Phul Police Station,Rampura Phul,Bathinda,Punjab,LOC000059
PS000060,Punhana Police Station,Punhana,Nuh,Haryana,LOC000060
PS000061,Sohna Police Station,Sohna,Gurugram,Haryana,LOC000061
PS000062,Gohana Police Station,Gohana,Sonipat,Haryana,LOC000062
PS000063,Barwala Police Station,Barwala,Hisar,Haryana,LOC000063
PS000064,Ballabgarh Police Station,Ballabgarh,Faridabad,Haryana,LOC000064
PS000065,Osian Police Station,Osian,Jodhpur,Rajasthan,LOC000065
PS000066,Nokha Police Station,Nokha,Bikaner,Rajasthan,LOC000066
PS000067,Chomu Police Station,Chomu,Jaipur,Rajasthan,LOC000067
PS000068,Kaman Police Station,Kaman,Bharatpur,Rajasthan,LOC000068
PS000069,Ramgarh Police Station,Ramgarh,Alwar,Rajasthan,LOC000069
PS000070,Chohtan Police Station,Chohtan,Barmer,Rajasthan,LOC000070
PS000071,Juhapura Police Station,Juhapura,Ahmedabad,Gujarat,LOC000071
PS000072,Varachha Police Station,Varachha,Surat,Gujarat,LOC000072
PS000073,Mundra Police Station,Mundra,Kutch,Gujarat,LOC000073
PS000074,Kutiyana Police Station,Kutiyana,Porbandar,Gujarat,LOC000074
PS000075,Gondal Police Station,Gondal,Rajkot,Gujarat,LOC000075
PS000076,Karelibaug Police Station,Karelibaug,Vadodara,Gujarat,LOC000076
PS000077,Bairagarh Police Station,Bairagarh,Bhopal,Madhya Pradesh,LOC000077
PS000078,Rau Police Station,Rau,Indore,Madhya Pradesh,LOC000078
PS000079,Sanawad Police Station,Sanawad,Khargone,Madhya Pradesh,LOC000079
PS000080,Morar Police Station,Morar,Gwalior,Madhya Pradesh,LOC000080
PS000081,Mehgaon Police Station,Mehgaon,Bhind,Madhya Pradesh,LOC000081
PS000082,Gorakhpur Police Station,Gorakhpur,Jabalpur,Madhya Pradesh,LOC000082
PS000083,Charminar Police Station,Charminar,Hyderabad,Telangana,LOC000083
PS000084,Kukatpally Police Station,Kukatpally,Hyderabad,Telangana,LOC000084
PS000085,Chandrayangutta Police Station,Chandrayangutta,Hyderabad,Telangana,LOC000085
PS000086,Hanamkonda Police Station,Hanamkonda,Warangal,Telangana,LOC000086
PS000087,Bodhan Police Station,Bodhan,Nizamabad,Telangana,LOC000087
PS000088,Gajuwaka Police Station,Gajuwaka,Visakhapatnam,Andhra Pradesh,LOC000088
PS000089,Gunadala Police Station,Gunadala,Vijayawada,Andhra Pradesh,LOC000089
PS000090,Mangalagiri Police Station,Mangalagiri,Guntur,Andhra Pradesh,LOC000090
PS000091,Nandyal Police Station,Nandyal,Kurnool,Andhra Pradesh,LOC000091
PS000092,Chintapalli Police Station,Chintapalli,Alluri Sitharama Raju,Andhra Pradesh,LOC000092
PS000093,Vyasarpadi Police Station,Vyasarpadi,Chennai,Tamil Nadu,LOC000093
PS000094,Kodungaiyur Police Station,Kodungaiyur,Chennai,Tamil Nadu,LOC000094
PS000095,Melur Police Station,Melur,Madurai,Tamil Nadu,LOC000095
PS000096,Ukkadam Police Station,Ukkadam,Coimbatore,Tamil Nadu,LOC000096
PS000097,Palayamkottai Police Station,Palayamkottai,Tirunelveli,Tamil Nadu,LOC000097
PS000098,Srirangam Police Station,Srirangam,Trichy,Tamil Nadu,LOC000098
PS000099,KG Halli Police Station,KG Halli,Bengaluru,Karnataka,LOC000099
PS000100,Yeshwanthpur Police Station,Yeshwanthpur,Bengaluru,Karnataka,LOC000100
PS000101,Ullal Police Station,Ullal,Mangaluru,Karnataka,LOC000101
PS000102,Afzalpur Police Station,Afzalpur,Kalaburagi,Karnataka,LOC000102
PS000103,Sandur Police Station,Sandur,Ballari,Karnataka,LOC000103
PS000104,Mattancherry Police Station,Mattancherry,Kochi,Kerala,LOC000104
PS000105,Tirur Police Station,Tirur,Malappuram,Kerala,LOC000105
PS000106,Nadakkavu Police Station,Nadakkavu,Kozhikode,Kerala,LOC000106
PS000107,Chavakkad Police Station,Chavakkad,Thrissur,Kerala,LOC000107
PS000108,Thalassery Police Station,Thalassery,Kannur,Kerala,LOC000108
PS000109,Nayapalli Police Station,Nayapalli,Bhubaneswar,Odisha,LOC000109
PS000110,Jagatpur Police Station,Jagatpur,Cuttack,Odisha,LOC000110
PS000111,Chitrakonda Police Station,Chitrakonda,Malkangiri,Odisha,LOC000111
PS000112,Berhampur Police Station,Berhampur,Ganjam,Odisha,LOC000112
PS000113,Paltan Bazaar Police Station,Paltan Bazaar,Guwahati,Assam,LOC000113
PS000114,Golakganj Police Station,Golakganj,Dhubri,Assam,LOC000114
PS000115,Sutarkandi Police Station,Sutarkandi,Karimganj,Assam,LOC000115
PS000116,Moreh Police Station,Moreh,Imphal,Manipur,LOC000116
PS000117,Tuibong Police Station,Tuibong,Churachandpur,Manipur,LOC000117
PS000118,Anjuna Police Station,Anjuna,North Goa,Goa,LOC000118
PS000119,Vasco Police Station,Vasco,South Goa,Goa,LOC000119
PS000120,Maisuma Police Station,Maisuma,Srinagar,Jammu and Kashmir,LOC000120
PS000121,Uri Police Station,Uri,Baramulla,Jammu and Kashmir,LOC000121
PS000122,Birgaon Police Station,Birgaon,Raipur,Chhattisgarh,LOC000122
PS000123,Bhairamgarh Police Station,Bhairamgarh,Bijapur,Chhattisgarh,LOC000123
PS000124,Clement Town Police Station,Clement Town,Dehradun,Uttarakhand,LOC000124
PS000125,Jwalapur Police Station,Jwalapur,Haridwar,Uttarakhand,LOC000125
