location_id,area,city,state,country,latitude,longitude,place_type,is_border_point,is_hotspot
LOC000066,Nokha,Bikaner,Rajasthan,India,27.56853,73.4757,Scrap Yard,0,0
LOC000067,Chomu,Jaipur,Rajasthan,India,27.16846,75.72915,Marriage Hall,0,1
LOC000068,Kaman,Bharatpur,Rajasthan,India,27.6531,77.26593,Hideout,0,1
LOC000069,Ramgarh,Alwar,Rajasthan,India,27.52158,76.62084,Petrol Pump,0,1
LOC000070,Chohtan,Barmer,Rajasthan,India,25.48114,71.04168,Transit Point,0,0
LOC000071,Juhapura,Ahmedabad,Gujarat,India,22.99114,72.53016,Transit Point,0,0
LOC000072,Varachha,Surat,Gujarat,India,21.19637,72.86136,Cyber Cafe,0,0
LOC000073,Mundra,Kutch,Gujarat,India,22.83708,69.72983,Cyber Cafe,0,0
LOC000074,Kutiyana,Porbandar,Gujarat,India,21.62158,69.97079,Godown,0,0
LOC000075,Gondal,Rajkot,Gujarat,India,21.95838,70.80167,Petrol Pump,0,0
LOC000076,Karelibaug,Vadodara,Gujarat,India,22.32869,73.19409,Petrol Pump,0,0
LOC000077,Bairagarh,Bhopal,Madhya Pradesh,India,23.27477,77.32792,Scrap Yard,0,0
LOC000078,Rau,Indore,Madhya Pradesh,India,22.64914,75.80858,Godown,0,0
LOC000079,Sanawad,Khargone,Madhya Pradesh,India,22.17019,75.90242,Hotel,0,0
LOC000080,Morar,Gwalior,Madhya Pradesh,India,26.22147,78.20426,Jewellery Shop,0,0
LOC000081,Mehgaon,Bhind,Madhya Pradesh,India,26.49265,78.62698,Godown,0,0
LOC000082,Gorakhpur,Jabalpur,Madhya Pradesh,India,23.16759,79.94739,Transit Point,0,0
LOC000083,Charminar,Hyderabad,Telangana,India,17.35976,78.47486,Scrap Yard,0,0
LOC000084,Kukatpally,Hyderabad,Telangana,India,17.48623,78.40974,Residence,0,0
LOC000085,Chandrayangutta,Hyderabad,Telangana,India,17.33336,78.49109,Hotel,0,0
LOC000086,Hanamkonda,Warangal,Telangana,India,18.00878,79.55269,Hotel,0,0
LOC000087,Bodhan,Nizamabad,Telangana,India,18.66779,77.89485,Dhaba,0,0
LOC000088,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,17.67545,83.2021,Petrol Pump,0,0
LOC000089,Gunadala,Vijayawada,Andhra Pradesh,India,16.51407,80.65268,Jewellery Shop,0,0
LOC000090,Mangalagiri,Guntur,Andhra Pradesh,India,16.43011,80.55502,Hideout,0,0
LOC000091,Nandyal,Kurnool,Andhra Pradesh,India,15.47185,78.47847,Jewellery Shop,0,0
LOC000092,Chintapalli,Alluri Sitharama Raju,Andhra Pradesh,India,17.86088,82.34667,Dhaba,0,0
LOC000093,Vyasarpadi,Chennai,Tamil Nadu,India,13.12274,80.24524,Gym,0,0
LOC000094,Kodungaiyur,Chennai,Tamil Nadu,India,13.13103,80.23855,Residence,0,0
LOC000095,Melur,Madurai,Tamil Nadu,India,10.02224,78.3489,Dhaba,0,0
LOC000096,Ukkadam,Coimbatore,Tamil Nadu,India,10.99091,76.96669,Dhaba,0,0
LOC000097,Palayamkottai,Tirunelveli,Tamil Nadu,India,8.7186,77.73084,Farmhouse,0,0
LOC000098,Srirangam,Trichy,Tamil Nadu,India,10.86798,78.69592,Hideout,0,0
LOC000099,KG Halli,Bengaluru,Karnataka,India,13.00798,77.6042,Cyber Cafe,0,1
LOC000100,Yeshwanthpur,Bengaluru,Karnataka,India,13.02634,77.54707,Bar,0,1
LOC000101,Ullal,Mangaluru,Karnataka,India,12.80948,74.86499,Cyber Cafe,0,1
LOC000102,Afzalpur,Kalaburagi,Karnataka,India,17.20729,76.36952,Transit Point,0,1
LOC000103,Sandur,Ballari,Karnataka,India,15.10763,76.5405,Petrol Pump,0,1
LOC000104,Mattancherry,Kochi,Kerala,India,9.96365,76.25723,Cyber Cafe,0,0
LOC000105,Tirur,Malappuram,Kerala,India,10.91534,75.92575,Hotel,0,0
LOC000106,Nadakkavu,Kozhikode,Kerala,India,11.26765,75.77077,Marriage Hall,0,0
LOC000107,Chavakkad,Thrissur,Kerala,India,10.58445,76.01633,Gym,0,0
LOC000108,Thalassery,Kannur,Kerala,India,11.74699,75.49641,Cyber Cafe,0,0
LOC000109,Nayapalli,Bhubaneswar,Odisha,India,20.28446,85.8132,Warehouse,0,0
LOC000110,Jagatpur,Cuttack,Odisha,India,20.51657,85.86729,Jewellery Shop,0,0
LOC000111,Chitrakonda,Malkangiri,Odisha,India,18.09702,82.10019,Petrol Pump,0,0
LOC000112,Berhampur,Ganjam,Odisha,India,19.31878,84.78231,Jewellery Shop,0,0
LOC000113,Paltan Bazaar,Guwahati,Assam,India,26.17357,91.75925,Jewellery Shop,1,1
LOC000114,Golakganj,Dhubri,Assam,India,26.02193,89.81691,Petrol Pump,0,1
LOC000115,Sutarkandi,Karimganj,Assam,India,24.87968,92.34231,Border Crossing,1,1
LOC000116,Moreh,Imphal,Manipur,India,24.25418,94.30003,Border Crossing,0,0
LOC000117,Tuibong,Churachandpur,Manipur,India,24.3214,93.68328,Petrol Pump,0,0
LOC000118,Anjuna,North Goa,Goa,India,15.57327,73.73249,Scrap Yard,0,0
LOC000119,Vasco,South Goa,Goa,India,15.40014,73.81334,Petrol Pump,0,0
LOC000120,Maisuma,Srinagar,Jammu and Kashmir,India,34.06805,74.79591,Dhaba,1,1
LOC000121,Uri,Baramulla,Jammu and Kashmir,India,34.0833,74.04758,Transit Point,0,1
LOC000122,Birgaon,Raipur,Chhattisgarh,India,21.27602,81.63096,Residence,0,0
LOC000123,Bhairamgarh,Bijapur,Chhattisgarh,India,18.79608,80.7942,Petrol Pump,0,0
LOC000124,Clement Town,Dehradun,Uttarakhand,India,30.2693,77.99884,Border Crossing,0,0
LOC000125,Jwalapur,Haridwar,Uttarakhand,India,29.92022,78.12587,Transit Point,0,0
LOC000126,Dubai Hub,Dubai,-,UAE,25.2048,55.2708,Transit Point,1,1
LOC000127,Sharjah Hub,Sharjah,-,UAE,25.3463,55.4209,Transit Point,1,1
LOC000128,Kathmandu Hub,Kathmandu,-,Nepal,27.7172,85.324,Transit Point,1,1
LOC000129,Birgunj Hub,Birgunj,-,Nepal,27.01,84.88,Transit Point,1,1
LOC000130,Dhaka Hub,Dhaka,-,Bangladesh,23.8103,90.4125,Transit Point,1,1
LOC000131,Benapole Hub,Benapole,-,Bangladesh,23.04,88.92,Transit Point,1,1
LOC000132,Karachi Hub,Karachi,-,Pakistan,24.8607,67.0011,Transit Point,1,1
LOC000133,Tamu Hub,Tamu,-,Myanmar,24.21,94.3,Transit Point,1,1
LOC000134,Bangkok Hub,Bangkok,-,Thailand,13.7563,100.5018,Transit Point,1,1
LOC000135,Kuala Lumpur Hub,Kuala Lumpur,-,Malaysia,3.139,101.6869,Transit Point,1,1
LOC000136,Colombo Hub,Colombo,-,Sri Lanka,6.9271,79.8612,Transit Point,1,1
LOC000137,Kandahar Hub,Kandahar,-,Afghanistan,31.61,65.71,Transit Point,1,1
