src,dst,edge_type,weight,attributes
P000025,P000012,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000026,P000012,REPORTS_TO,0.7,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""IPDR""}"
P000082,P000012,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000019,P000016,ASSOCIATE_OF,0.68,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 0, ""source"": ""CHARGESHEET""}"
P000019,P000032,ASSOCIATE_OF,0.7,"{""subtype"": """", ""confidence"": 0.66, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000019,P000025,ASSOCIATE_OF,0.67,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000024,P000079,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.84, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000092,P000016,ASSOCIATE_OF,0.43,"{""subtype"": """", ""confidence"": 0.49, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000092,P000026,ASSOCIATE_OF,0.55,"{""subtype"": """", ""confidence"": 0.89, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000039,P000042,ASSOCIATE_OF,0.62,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000039,P000032,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.97, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000028,P000079,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.95, ""verified"": 0, ""source"": ""FIR""}"
P000079,P000042,ASSOCIATE_OF,0.67,"{""subtype"": """", ""confidence"": 0.54, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000079,P000068,ASSOCIATE_OF,0.66,"{""subtype"": """", ""confidence"": 0.6, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000042,P000016,ASSOCIATE_OF,0.46,"{""subtype"": """", ""confidence"": 0.5, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000034,P000026,ASSOCIATE_OF,0.49,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 1, ""source"": ""CDR""}"
P000038,P000025,ASSOCIATE_OF,0.68,"{""subtype"": """", ""confidence"": 0.67, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000016,P000068,ASSOCIATE_OF,0.43,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000016,P000025,ASSOCIATE_OF,0.59,"{""subtype"": """", ""confidence"": 0.89, ""verified"": 0, ""source"": ""FIR""}"
P000032,P000082,ASSOCIATE_OF,0.39,"{""subtype"": """", ""confidence"": 0.83, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000060,P000013,REPORTS_TO,0.83,"{""subtype"": """", ""confidence"": 0.61, ""verified"": 0, ""source"": ""FIR""}"
P000063,P000013,REPORTS_TO,0.66,"{""subtype"": """", ""confidence"": 0.64, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000013,P000063,RECRUITED_BY,0.25,"{""subtype"": """", ""confidence"": 0.66, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000083,P000013,REPORTS_TO,0.67,"{""subtype"": """", ""confidence"": 0.6, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000013,P000083,RECRUITED_BY,0.94,"{""subtype"": """", ""confidence"": 0.5, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000001,P000013,REPORTS_TO,0.73,"{""subtype"": """", ""confidence"": 0.85, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000065,P000013,REPORTS_TO,0.81,"{""subtype"": """", ""confidence"": 0.55, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000013,P000065,HANDLER_OF,0.82,"{""subtype"": """", ""confidence"": 0.76, ""verified"": 0, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000059,P000013,REPORTS_TO,0.6,"{""subtype"": """", ""confidence"": 0.66, ""verified"": 0, ""source"": ""FIR""}"
P000013,P000059,HANDLER_OF,0.57,"{""subtype"": """", ""confidence"": 0.48, ""verified"": 0, ""source"": ""CHARGESHEET""}"
P000072,P000013,REPORTS_TO,0.89,"{""subtype"": """", ""confidence"": 0.57, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000037,P000013,REPORTS_TO,0.85,"{""subtype"": """", ""confidence"": 0.57, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000043,P000013,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.77, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000052,P000013,REPORTS_TO,0.55,"{""subtype"": """", ""confidence"": 0.88, ""verified"": 0, ""source"": ""FIR""}"
P000049,P000013,REPORTS_TO,0.72,"{""subtype"": """", ""confidence"": 0.49, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000013,P000049,HANDLER_OF,0.82,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000031,P000013,REPORTS_TO,0.52,"{""subtype"": """", ""confidence"": 0.67, ""verified"": 1, ""source"": ""CHARGESHEET""}"
P000002,P000013,REPORTS_TO,0.54,"{""subtype"": """", ""confidence"": 0.82, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000033,P000013,REPORTS_TO,0.85,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000089,P000013,REPORTS_TO,0.52,"{""subtype"": """", ""confidence"": 0.87, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000074,P000013,REPORTS_TO,0.69,"{""subtype"": """", ""confidence"": 0.52, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000021,P000013,REPORTS_TO,0.61,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000013,P000021,RECRUITED_BY,0.92,"{""subtype"": """", ""confidence"": 0.52, ""verified"": 1, ""source"": ""CHARGESHEET""}"
P000060,P000072,ASSOCIATE_OF,0.55,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 0, ""source"": ""CDR""}"
P000060,P000052,ASSOCIATE_OF,0.4,"{""subtype"": """", ""confidence"": 0.74, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000060,P000049,ASSOCIATE_OF,0.76,"{""subtype"": """", ""confidence"": 0.73, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000063,P000037,ASSOCIATE_OF,0.31,"{""subtype"": """", ""confidence"": 0.85, ""verified"": 0, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000063,P000002,ASSOCIATE_OF,0.72,"{""subtype"": """", ""confidence"": 0.77, ""verified"": 0, ""source"": ""FIR""}"
P000063,P000021,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.89, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000083,P000001,ASSOCIATE_OF,0.4,"{""subtype"": """", ""confidence"": 0.83, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000083,P000065,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.83, ""verified"": 1, ""source"": ""CDR""}"
P000083,P000059,ASSOCIATE_OF,0.48,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000083,P000049,ASSOCIATE_OF,0.64,"{""subtype"": """", ""confidence"": 0.97, ""verified"": 0, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000083,P000031,ASSOCIATE_OF,0.39,"{""subtype"": """", ""confidence"": 0.72, ""verified"": 1, ""source"": ""FIR""}"
P000083,P000002,ASSOCIATE_OF,0.5,"{""subtype"": """", ""confidence"": 0.74, ""verified"": 0, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000001,P000065,ASSOCIATE_OF,0.5,"{""subtype"": """", ""confidence"": 0.55, ""verified"": 1, ""source"": ""IPDR""}"
P000001,P000021,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.7, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000065,P000059,ASSOCIATE_OF,0.57,"{""subtype"": """", ""confidence"": 0.72, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000065,P000052,ASSOCIATE_OF,0.79,"{""subtype"": """", ""confidence"": 0.82, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000065,P000089,ASSOCIATE_OF,0.47,"{""subtype"": """", ""confidence"": 0.54, ""verified"": 1, ""source"": ""CDR""}"
P000059,P000049,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.45, ""verified"": 0, ""source"": ""FIR""}"
P000059,P000089,ASSOCIATE_OF,0.76,"{""subtype"": """", ""confidence"": 0.6, ""verified"": 1, ""source"": ""IPDR""}"
P000072,P000049,ASSOCIATE_OF,0.57,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 1, ""source"": ""FIR""}"
P000072,P000002,ASSOCIATE_OF,0.78,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 0, ""source"": ""SURVEILLANCE_REPORT""}"
P000072,P000089,ASSOCIATE_OF,0.46,"{""subtype"": """", ""confidence"": 0.62, ""verified"": 1, ""source"": ""CHARGESHEET""}"
P000072,P000021,ASSOCIATE_OF,0.52,"{""subtype"": """", ""confidence"": 0.69, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000037,P000033,ASSOCIATE_OF,0.44,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 0, ""source"": ""CDR""}"
P000052,P000033,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.67, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000031,P000002,ASSOCIATE_OF,0.51,"{""subtype"": """", ""confidence"": 0.7, ""verified"": 0, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000002,P000033,ASSOCIATE_OF,0.69,"{""subtype"": """", ""confidence"": 0.84, ""verified"": 0, ""source"": ""SEIZURE_MEMO""}"
P000002,P000074,ASSOCIATE_OF,0.69,"{""subtype"": """", ""confidence"": 0.48, ""verified"": 1, ""source"": ""IPDR""}"
P000061,P000015,REPORTS_TO,0.67,"{""subtype"": """", ""confidence"": 0.58, ""verified"": 0, ""source"": ""FIR""}"
P000005,P000015,REPORTS_TO,0.65,"{""subtype"": """", ""confidence"": 0.67, ""verified"": 1, ""source"": ""IPDR""}"
P000015,P000005,HANDLER_OF,0.63,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000088,P000015,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.61, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000070,P000015,REPORTS_TO,0.52,"{""subtype"": """", ""confidence"": 0.78, ""verified"": 0, ""source"": ""CHARGESHEET""}"
P000058,P000015,REPORTS_TO,0.76,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000069,P000015,REPORTS_TO,0.78,"{""subtype"": """", ""confidence"": 0.73, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000015,P000069,RECRUITED_BY,0.57,"{""subtype"": """", ""confidence"": 0.64, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000050,P000015,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.87, ""verified"": 0, ""source"": ""IPDR""}"
P000011,P000015,REPORTS_TO,0.83,"{""subtype"": """", ""confidence"": 0.95, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000055,P000015,REPORTS_TO,0.79,"{""subtype"": """", ""confidence"": 0.94, ""verified"": 0, ""source"": ""INFORMANT_TIP""}"
P000076,P000015,REPORTS_TO,0.54,"{""subtype"": """", ""confidence"": 0.7, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000015,P000076,HANDLER_OF,0.54,"{""subtype"": """", ""confidence"": 0.55, ""verified"": 0, ""source"": ""FIR""}"
P000078,P000015,REPORTS_TO,0.83,"{""subtype"": """", ""confidence"": 0.73, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000057,P000015,REPORTS_TO,0.63,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 0, ""source"": ""TOWER_DUMP""}"
P000015,P000057,RECRUITED_BY,0.94,"{""subtype"": """", ""confidence"": 0.57, ""verified"": 0, ""source"": ""TOWER_DUMP""}"
P000041,P000015,REPORTS_TO,0.79,"{""subtype"": """", ""confidence"": 0.49, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000006,P000015,REPORTS_TO,0.5,"{""subtype"": """", ""confidence"": 0.57, ""verified"": 1, ""source"": ""IPDR""}"
P000053,P000015,REPORTS_TO,0.82,"{""subtype"": """", ""confidence"": 0.57, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000017,P000015,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.51, ""verified"": 1, ""source"": ""CHARGESHEET""}"
P000015,P000017,RECRUITED_BY,0.67,"{""subtype"": """", ""confidence"": 0.62, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000036,P000015,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.51, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000061,P000057,ASSOCIATE_OF,0.38,"{""subtype"": """", ""confidence"": 0.47, ""verified"": 0, ""source"": ""CDR""}"
P000061,P000036,ASSOCIATE_OF,0.58,"{""subtype"": """", ""confidence"": 0.92, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000005,P000078,ASSOCIATE_OF,0.39,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 0, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000005,P000053,ASSOCIATE_OF,0.71,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000088,P000058,ASSOCIATE_OF,0.55,"{""subtype"": """", ""confidence"": 0.68, ""verified"": 1, ""source"": ""IPDR""}"
P000088,P000069,ASSOCIATE_OF,0.77,"{""subtype"": """", ""confidence"": 0.46, ""verified"": 0, ""source"": ""TOWER_DUMP""}"
P000088,P000011,ASSOCIATE_OF,0.69,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000088,P000053,ASSOCIATE_OF,0.49,"{""subtype"": """", ""confidence"": 0.94, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000070,P000058,ASSOCIATE_OF,0.42,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000070,P000069,ASSOCIATE_OF,0.66,"{""subtype"": """", ""confidence"": 0.83, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000070,P000050,ASSOCIATE_OF,0.35,"{""subtype"": """", ""confidence"": 0.91, ""verified"": 1, ""source"": ""FIR""}"
P000070,P000006,ASSOCIATE_OF,0.46,"{""subtype"": """", ""confidence"": 0.87, ""verified"": 0, ""source"": ""INFORMANT_TIP""}"
P000070,P000036,ASSOCIATE_OF,0.63,"{""subtype"": """", ""confidence"": 0.66, ""verified"": 1, ""source"": ""FIR""}"
P000050,P000078,ASSOCIATE_OF,0.64,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""CDR""}"
P000050,P000057,ASSOCIATE_OF,0.58,"{""subtype"": """", ""confidence"": 0.94, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000011,P000078,ASSOCIATE_OF,0.53,"{""subtype"": """", ""confidence"": 0.82, ""verified"": 0, ""source"": ""IPDR""}"
P000011,P000006,ASSOCIATE_OF,0.5,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 0, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000076,P000017,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.6, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000078,P000053,ASSOCIATE_OF,0.67,"{""subtype"": """", ""confidence"": 0.69, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000041,P000017,ASSOCIATE_OF,0.65,"{""subtype"": """", ""confidence"": 0.54, ""verified"": 1, ""source"": ""IPDR""}"
P000041,P000036,ASSOCIATE_OF,0.73,"{""subtype"": """", ""confidence"": 0.84, ""verified"": 0, ""source"": ""IPDR""}"
P000054,P000018,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.75, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000018,P000054,RECRUITED_BY,0.33,"{""subtype"": """", ""confidence"": 0.78, ""verified"": 0, ""source"": ""IPDR""}"
P000020,P000018,REPORTS_TO,0.59,"{""subtype"": """", ""confidence"": 0.52, ""verified"": 0, ""source"": ""CHARGESHEET""}"
P000018,P000020,RECRUITED_BY,0.89,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 0, ""source"": ""TOWER_DUMP""}"
P000048,P000018,REPORTS_TO,0.81,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000045,P000018,REPORTS_TO,0.54,"{""subtype"": """", ""confidence"": 0.89, ""verified"": 1, ""source"": ""TOWER_DUMP""}"
P000077,P000018,REPORTS_TO,0.5,"{""subtype"": """", ""confidence"": 0.65, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000023,P000018,REPORTS_TO,0.76,"{""subtype"": """", ""confidence"": 0.62, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000080,P000018,REPORTS_TO,0.51,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 0, ""source"": ""INFORMANT_TIP""}"
P000051,P000018,REPORTS_TO,0.75,"{""subtype"": """", ""confidence"": 0.69, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000018,P000051,RECRUITED_BY,0.39,"{""subtype"": """", ""confidence"": 0.94, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000085,P000018,REPORTS_TO,0.79,"{""subtype"": """", ""confidence"": 0.46, ""verified"": 1, ""source"": ""PASSPORT_IMMIGRATION""}"
P000018,P000085,HANDLER_OF,0.6,"{""subtype"": """", ""confidence"": 0.49, ""verified"": 0, ""source"": ""BANK_STATEMENT""}"
P000073,P000018,REPORTS_TO,0.65,"{""subtype"": """", ""confidence"": 0.49, ""verified"": 0, ""source"": ""TOWER_DUMP""}"
P000090,P000018,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.74, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000084,P000018,REPORTS_TO,0.55,"{""subtype"": """", ""confidence"": 0.69, ""verified"": 1, ""source"": ""FIR""}"
P000027,P000018,REPORTS_TO,0.62,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 1, ""source"": ""CDR""}"
P000008,P000018,REPORTS_TO,0.71,"{""subtype"": """", ""confidence"": 0.55, ""verified"": 1, ""source"": ""IPDR""}"
P000029,P000018,REPORTS_TO,0.62,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000022,P000018,REPORTS_TO,0.58,"{""subtype"": """", ""confidence"": 0.54, ""verified"": 1, ""source"": ""FIR""}"
P000014,P000018,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.58, ""verified"": 0, ""source"": ""SEIZURE_MEMO""}"
P000054,P000023,ASSOCIATE_OF,0.62,"{""subtype"": """", ""confidence"": 0.53, ""verified"": 1, ""source"": ""FIR""}"
P000054,P000080,ASSOCIATE_OF,0.39,"{""subtype"": """", ""confidence"": 0.61, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000054,P000090,ASSOCIATE_OF,0.79,"{""subtype"": """", ""confidence"": 0.66, ""verified"": 0, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000054,P000084,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.97, ""verified"": 0, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000054,P000027,ASSOCIATE_OF,0.59,"{""subtype"": """", ""confidence"": 0.93, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000054,P000014,ASSOCIATE_OF,0.44,"{""subtype"": """", ""confidence"": 0.68, ""verified"": 0, ""source"": ""SEIZURE_MEMO""}"
P000020,P000029,ASSOCIATE_OF,0.31,"{""subtype"": """", ""confidence"": 0.96, ""verified"": 1, ""source"": ""FIR""}"
P000020,P000014,ASSOCIATE_OF,0.58,"{""subtype"": """", ""confidence"": 0.71, ""verified"": 1, ""source"": ""IPDR""}"
P000048,P000029,ASSOCIATE_OF,0.8,"{""subtype"": """", ""confidence"": 0.59, ""verified"": 1, ""source"": ""FIR""}"
P000045,P000090,ASSOCIATE_OF,0.33,"{""subtype"": """", ""confidence"": 0.73, ""verified"": 0, ""source"": ""FIR""}"
P000077,P000080,ASSOCIATE_OF,0.31,"{""subtype"": """", ""confidence"": 0.84, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000077,P000090,ASSOCIATE_OF,0.32,"{""subtype"": """", ""confidence"": 0.81, ""verified"": 1, ""source"": ""IPDR""}"
P000077,P000022,ASSOCIATE_OF,0.62,"{""subtype"": """", ""confidence"": 0.82, ""verified"": 0, ""source"": ""PASSPORT_IMMIGRATION""}"
P000023,P000085,ASSOCIATE_OF,0.75,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000080,P000027,ASSOCIATE_OF,0.66,"{""subtype"": """", ""confidence"": 0.96, ""verified"": 0, ""source"": ""SURVEILLANCE_REPORT""}"
P000051,P000022,ASSOCIATE_OF,0.57,"{""subtype"": """", ""confidence"": 0.56, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000073,P000022,ASSOCIATE_OF,0.56,"{""subtype"": """", ""confidence"": 0.52, ""verified"": 1, ""source"": ""INFORMANT_TIP""}"
P000090,P000008,ASSOCIATE_OF,0.3,"{""subtype"": """", ""confidence"": 0.89, ""verified"": 1, ""source"": ""IPDR""}"
P000008,P000029,ASSOCIATE_OF,0.6,"{""subtype"": """", ""confidence"": 0.94, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000029,P000014,ASSOCIATE_OF,0.53,"{""subtype"": """", ""confidence"": 0.88, ""verified"": 0, ""source"": ""CDR""}"
P000009,P000091,REPORTS_TO,0.5,"{""subtype"": """", ""confidence"": 0.68, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
