person_id,location_id,association,observed_on,source_type,confidence
P000337,LOC000076,PRESENT_AT_INCIDENT,2024-12-01,FIR,0.9
P000426,LOC000035,PRESENT_AT_INCIDENT,2026-06-09,FIR,0.89
P000424,LOC000035,PRESENT_AT_INCIDENT,2026-06-09,FIR,0.75
P000412,LOC000081,PRESENT_AT_INCIDENT,2024-08-27,FIR,0.65
P000385,LOC000081,PRESENT_AT_INCIDENT,2024-08-27,FIR,0.89
P000951,LOC000104,PRESENT_AT_INCIDENT,2025-04-03,FIR,0.91
P000905,LOC000104,PRESENT_AT_INCIDENT,2025-04-03,FIR,0.74
P000982,LOC000104,PRESENT_AT_INCIDENT,2025-04-03,FIR,0.77
P000544,LOC000067,PRESENT_AT_INCIDENT,2024-11-23,FIR,0.76
P000562,LOC000067,PRESENT_AT_INCIDENT,2024-11-23,FIR,0.73
P000564,LOC000067,PRESENT_AT_INCIDENT,2024-11-23,FIR,0.89
P000539,LOC000067,PRESENT_AT_INCIDENT,2024-11-23,FIR,0.71
P000680,LOC000045,PRESENT_AT_INCIDENT,2025-07-12,FIR,0.68
P000673,LOC000045,PRESENT_AT_INCIDENT,2025-07-12,FIR,0.78
P000294,LOC000087,PRESENT_AT_INCIDENT,2024-08-22,FIR,0.81
P000353,LOC000087,PRESENT_AT_INCIDENT,2024-08-22,FIR,0.65
P000306,LOC000087,PRESENT_AT_INCIDENT,2024-08-22,FIR,0.87
P000914,LOC000094,PRESENT_AT_INCIDENT,2022-04-11,FIR,0.93
P000964,LOC000094,PRESENT_AT_INCIDENT,2022-04-11,FIR,0.93
P000993,LOC000094,PRESENT_AT_INCIDENT,2022-04-11,FIR,0.69
P000626,LOC000090,PRESENT_AT_INCIDENT,2025-05-31,FIR,0.94
P000664,LOC000090,PRESENT_AT_INCIDENT,2025-05-31,FIR,0.66
P000036,LOC000015,PRESENT_AT_INCIDENT,2025-08-17,FIR,0.89
P000058,LOC000015,PRESENT_AT_INCIDENT,2025-08-17,FIR,0.87
P000073,LOC000015,PRESENT_AT_INCIDENT,2025-08-17,FIR,0.96
P000549,LOC000022,PRESENT_AT_INCIDENT,2023-04-09,FIR,0.87
P000566,LOC000022,PRESENT_AT_INCIDENT,2023-04-09,FIR,0.66
P000984,LOC000021,PRESENT_AT_INCIDENT,2024-09-29,FIR,0.65
P000990,LOC000021,PRESENT_AT_INCIDENT,2024-09-29,FIR,0.85
P000026,LOC000005,PRESENT_AT_INCIDENT,2022-06-13,FIR,0.75
P000872,LOC000051,PRESENT_AT_INCIDENT,2025-12-19,FIR,0.95
P000065,LOC000009,PRESENT_AT_INCIDENT,2023-10-17,FIR,0.82
P000012,LOC000009,PRESENT_AT_INCIDENT,2023-10-17,FIR,0.6
P000029,LOC000009,PRESENT_AT_INCIDENT,2023-10-17,FIR,0.74
P000623,LOC000095,PRESENT_AT_INCIDENT,2023-01-19,FIR,0.71
P000653,LOC000095,PRESENT_AT_INCIDENT,2023-01-19,FIR,0.72
P000664,LOC000095,PRESENT_AT_INCIDENT,2023-01-19,FIR,0.97
P000007,LOC000020,PRESENT_AT_INCIDENT,2025-12-05,FIR,0.76
P000680,LOC000048,PRESENT_AT_INCIDENT,2025-05-27,FIR,0.72
P000708,LOC000048,PRESENT_AT_INCIDENT,2025-05-27,FIR,0.92
P000105,LOC000058,PRESENT_AT_INCIDENT,2025-05-01,FIR,0.64
P000155,LOC000058,PRESENT_AT_INCIDENT,2025-05-01,FIR,0.79
P000968,LOC000100,PRESENT_AT_INCIDENT,2026-02-09,FIR,0.63
P000993,LOC000100,PRESENT_AT_INCIDENT,2026-02-09,FIR,0.85
P000965,LOC000100,PRESENT_AT_INCIDENT,2026-02-09,FIR,0.6
P000665,LOC000085,PRESENT_AT_INCIDENT,2023-10-04,FIR,0.71
P000287,LOC000017,PRESENT_AT_INCIDENT,2021-09-23,FIR,0.78
P000221,LOC000017,PRESENT_AT_INCIDENT,2021-09-23,FIR,0.66
P000756,LOC000073,PRESENT_AT_INCIDENT,2025-03-13,FIR,0.73
P000726,LOC000073,PRESENT_AT_INCIDENT,2025-03-13,FIR,0.62
P000746,LOC000073,PRESENT_AT_INCIDENT,2025-03-13,FIR,0.66
P000792,LOC000016,PRESENT_AT_INCIDENT,2026-05-11,FIR,0.88
P000772,LOC000016,PRESENT_AT_INCIDENT,2026-05-11,FIR,0.64
P000994,LOC000019,PRESENT_AT_INCIDENT,2021-03-20,FIR,0.83
P000512,LOC000052,PRESENT_AT_INCIDENT,2025-01-04,FIR,0.6
P000483,LOC000052,PRESENT_AT_INCIDENT,2025-01-04,FIR,0.81
P000505,LOC000052,PRESENT_AT_INCIDENT,2025-01-04,FIR,0.83
P000484,LOC000052,PRESENT_AT_INCIDENT,2025-01-04,FIR,0.72
P000499,LOC000052,PRESENT_AT_INCIDENT,2025-01-04,FIR,0.84
P000409,LOC000097,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.76
P000367,LOC000097,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.88
P000410,LOC000097,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.67
P000392,LOC000097,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.85
P000687,LOC000035,PRESENT_AT_INCIDENT,2025-06-22,FIR,0.73
P000680,LOC000035,PRESENT_AT_INCIDENT,2025-06-22,FIR,0.88
P000676,LOC000035,PRESENT_AT_INCIDENT,2025-06-22,FIR,0.78
P000353,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.6
P000294,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.72
P000292,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.9
P000305,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.71
P000336,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.71
P000343,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.74
P000310,LOC000084,PRESENT_AT_INCIDENT,2023-01-21,FIR,0.81
P000675,LOC000035,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.83
P000688,LOC000035,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.67
P000667,LOC000035,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.67
P000672,LOC000035,PRESENT_AT_INCIDENT,2025-07-11,FIR,0.74
P000301,LOC000072,PRESENT_AT_INCIDENT,2026-04-25,FIR,0.74
P000352,LOC000072,PRESENT_AT_INCIDENT,2026-04-25,FIR,0.89
P000635,LOC000010,PRESENT_AT_INCIDENT,2026-06-01,FIR,0.83
P000419,LOC000008,PRESENT_AT_INCIDENT,2023-07-20,FIR,0.65
P000370,LOC000023,PRESENT_AT_INCIDENT,2026-02-19,FIR,0.83
P000389,LOC000023,PRESENT_AT_INCIDENT,2026-02-19,FIR,0.63
P000877,LOC000095,PRESENT_AT_INCIDENT,2026-04-26,FIR,0.8
P000849,LOC000095,PRESENT_AT_INCIDENT,2026-04-26,FIR,0.83
P000887,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.91
P000934,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.72
P000993,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.68
P000936,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.8
P000950,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.74
P000948,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.79
P000975,LOC000119,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.95
P000743,LOC000086,PRESENT_AT_INCIDENT,2022-08-25,FIR,0.64
P000876,LOC000089,PRESENT_AT_INCIDENT,2022-01-24,FIR,0.84
P000631,LOC000093,PRESENT_AT_INCIDENT,2026-03-01,FIR,0.91
P000708,LOC000049,PRESENT_AT_INCIDENT,2021-08-10,FIR,0.86
P000699,LOC000049,PRESENT_AT_INCIDENT,2021-08-10,FIR,0.94
P000680,LOC000049,PRESENT_AT_INCIDENT,2021-08-10,FIR,0.9
P000341,LOC000083,PRESENT_AT_INCIDENT,2025-11-11,FIR,0.86
P000295,LOC000083,PRESENT_AT_INCIDENT,2025-11-11,FIR,0.9
P000333,LOC000083,PRESENT_AT_INCIDENT,2025-11-11,FIR,0.9
P000314,LOC000083,PRESENT_AT_INCIDENT,2025-11-11,FIR,0.62
P000291,LOC000083,PRESENT_AT_INCIDENT,2025-11-11,FIR,0.75
P000855,LOC000090,PRESENT_AT_INCIDENT,2024-06-09,FIR,0.82
P000860,LOC000090,PRESENT_AT_INCIDENT,2024-06-09,FIR,0.66
P000613,LOC000083,PRESENT_AT_INCIDENT,2025-11-28,FIR,0.75
P000634,LOC000083,PRESENT_AT_INCIDENT,2025-11-28,FIR,0.96
P000657,LOC000083,PRESENT_AT_INCIDENT,2025-11-28,FIR,0.75
P000816,LOC000063,PRESENT_AT_INCIDENT,2022-01-21,FIR,0.86
P000822,LOC000063,PRESENT_AT_INCIDENT,2022-01-21,FIR,0.65
P000805,LOC000063,PRESENT_AT_INCIDENT,2022-01-21,FIR,0.86
P000826,LOC000063,PRESENT_AT_INCIDENT,2022-01-21,FIR,0.62
P000834,LOC000063,PRESENT_AT_INCIDENT,2022-01-21,FIR,0.68
P000536,LOC000019,PRESENT_AT_INCIDENT,2026-04-15,FIR,0.77
P000413,LOC000094,PRESENT_AT_INCIDENT,2025-07-21,FIR,0.96
P000376,LOC000094,PRESENT_AT_INCIDENT,2025-07-21,FIR,0.7
P000397,LOC000094,PRESENT_AT_INCIDENT,2025-07-21,FIR,0.82
P000385,LOC000094,PRESENT_AT_INCIDENT,2025-07-21,FIR,0.75
P000397,LOC000066,PRESENT_AT_INCIDENT,2025-10-03,FIR,0.7
P000361,LOC000066,PRESENT_AT_INCIDENT,2025-10-03,FIR,0.82
P000372,LOC000066,PRESENT_AT_INCIDENT,2025-10-03,FIR,0.96
P000592,LOC000041,PRESENT_AT_INCIDENT,2025-08-25,FIR,0.87
P000573,LOC000041,PRESENT_AT_INCIDENT,2025-08-25,FIR,0.85
P000607,LOC000041,PRESENT_AT_INCIDENT,2025-08-25,FIR,0.9
P000760,LOC000019,PRESENT_AT_INCIDENT,2022-11-20,FIR,0.9
P000747,LOC000019,PRESENT_AT_INCIDENT,2022-11-20,FIR,0.98
P000946,LOC000007,PRESENT_AT_INCIDENT,2026-05-11,FIR,0.9
P000987,LOC000007,PRESENT_AT_INCIDENT,2026-05-11,FIR,0.97
P000350,LOC000074,PRESENT_AT_INCIDENT,2026-06-12,FIR,0.88
P000513,LOC000042,PRESENT_AT_INCIDENT,2023-01-20,FIR,0.67
P000509,LOC000042,PRESENT_AT_INCIDENT,2023-01-20,FIR,0.79
P000973,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.75
P000881,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.81
P000889,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.62
P000997,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.93
P000967,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.89
P000892,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.71
P000962,LOC000125,PRESENT_AT_INCIDENT,2025-10-01,FIR,0.61
P000340,LOC000050,PRESENT_AT_INCIDENT,2026-04-20,FIR,0.62
P000322,LOC000050,PRESENT_AT_INCIDENT,2026-04-20,FIR,0.97
P000820,LOC000033,PRESENT_AT_INCIDENT,2022-06-22,FIR,0.68
P000822,LOC000033,PRESENT_AT_INCIDENT,2022-06-22,FIR,0.9
P000811,LOC000033,PRESENT_AT_INCIDENT,2022-06-22,FIR,0.86
P000829,LOC000033,PRESENT_AT_INCIDENT,2022-06-22,FIR,0.94
P000108,LOC000121,PRESENT_AT_INCIDENT,2023-12-20,FIR,0.65
P000833,LOC000061,PRESENT_AT_INCIDENT,2026-05-15,FIR,0.94
P000669,LOC000037,PRESENT_AT_INCIDENT,2024-05-24,FIR,0.76
P000685,LOC000037,PRESENT_AT_INCIDENT,2024-05-24,FIR,0.94
P000704,LOC000037,PRESENT_AT_INCIDENT,2024-05-24,FIR,0.77
P000694,LOC000037,PRESENT_AT_INCIDENT,2024-05-24,FIR,0.66
P000703,LOC000037,PRESENT_AT_INCIDENT,2024-05-24,FIR,0.94
P000416,LOC000078,PRESENT_AT_INCIDENT,2023-10-21,FIR,0.84
P000389,LOC000078,PRESENT_AT_INCIDENT,2023-10-21,FIR,0.64
P000372,LOC000078,PRESENT_AT_INCIDENT,2023-10-21,FIR,0.65
P000210,LOC000022,PRESENT_AT_INCIDENT,2025-05-03,FIR,0.77
P000476,LOC000050,PRESENT_AT_INCIDENT,2025-07-23,FIR,0.83
P000474,LOC000050,PRESENT_AT_INCIDENT,2025-07-23,FIR,0.66
P000489,LOC000050,PRESENT_AT_INCIDENT,2025-07-23,FIR,0.85
P000514,LOC000050,PRESENT_AT_INCIDENT,2025-07-23,FIR,0.78
P000996,LOC000042,PRESENT_AT_INCIDENT,2024-04-17,FIR,0.93
P000886,LOC000042,PRESENT_AT_INCIDENT,2024-04-17,FIR,0.71
P000803,LOC000069,PRESENT_AT_INCIDENT,2025-11-09,FIR,0.76
P000802,LOC000069,PRESENT_AT_INCIDENT,2025-11-09,FIR,0.6
P000807,LOC000069,PRESENT_AT_INCIDENT,2025-11-09,FIR,0.63
P000829,LOC000069,PRESENT_AT_INCIDENT,2025-11-09,FIR,0.73
P000952,LOC000120,PRESENT_AT_INCIDENT,2021-05-01,FIR,0.62
P000888,LOC000120,PRESENT_AT_INCIDENT,2021-05-01,FIR,0.7
P000510,LOC000042,PRESENT_AT_INCIDENT,2025-01-19,FIR,0.66
P000499,LOC000042,PRESENT_AT_INCIDENT,2025-01-19,FIR,0.94
P000355,LOC000093,PRESENT_AT_INCIDENT,2025-10-05,FIR,0.89
P000342,LOC000093,PRESENT_AT_INCIDENT,2025-10-05,FIR,0.73
P000349,LOC000093,PRESENT_AT_INCIDENT,2025-10-05,FIR,0.74
P000115,LOC000018,PRESENT_AT_INCIDENT,2025-08-22,FIR,0.96
P000126,LOC000018,PRESENT_AT_INCIDENT,2025-08-22,FIR,0.98
P000133,LOC000018,PRESENT_AT_INCIDENT,2025-08-22,FIR,0.96
P000623,LOC000091,PRESENT_AT_INCIDENT,2020-05-14,FIR,0.72
P000327,LOC000076,PRESENT_AT_INCIDENT,2024-03-01,FIR,0.69
P000304,LOC000076,PRESENT_AT_INCIDENT,2024-03-01,FIR,0.77
P000608,LOC000039,PRESENT_AT_INCIDENT,2025-01-11,FIR,0.69
P000094,LOC000020,PRESENT_AT_INCIDENT,2026-01-28,FIR,0.62
P000170,LOC000020,PRESENT_AT_INCIDENT,2026-01-28,FIR,0.88
P000935,LOC000122,PRESENT_AT_INCIDENT,2025-11-22,FIR,0.62
P000920,LOC000122,PRESENT_AT_INCIDENT,2025-11-22,FIR,0.61
P000905,LOC000078,PRESENT_AT_INCIDENT,2026-06-20,FIR,0.92
P000947,LOC000078,PRESENT_AT_INCIDENT,2026-06-20,FIR,0.95
P000918,LOC000078,PRESENT_AT_INCIDENT,2026-06-20,FIR,0.79
P000981,LOC000078,PRESENT_AT_INCIDENT,2026-06-20,FIR,0.64
P000693,LOC000038,PRESENT_AT_INCIDENT,2025-09-24,FIR,0.6
P000226,LOC000046,PRESENT_AT_INCIDENT,2025-08-13,FIR,0.62
P000198,LOC000046,PRESENT_AT_INCIDENT,2025-08-13,FIR,0.91
P000253,LOC000046,PRESENT_AT_INCIDENT,2025-08-13,FIR,0.72
P000201,LOC000046,PRESENT_AT_INCIDENT,2025-08-13,FIR,0.64
P000409,LOC000081,PRESENT_AT_INCIDENT,2025-03-23,FIR,0.97
P000516,LOC000037,PRESENT_AT_INCIDENT,2025-12-20,FIR,0.76
P000909,LOC000093,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.67
P000962,LOC000093,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.96
P000886,LOC000093,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.86
P000905,LOC000093,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.97
P000900,LOC000108,PRESENT_AT_INCIDENT,2025-01-05,FIR,0.97
P000998,LOC000108,PRESENT_AT_INCIDENT,2025-01-05,FIR,0.67
P000969,LOC000108,PRESENT_AT_INCIDENT,2025-01-05,FIR,0.73
P000962,LOC000108,PRESENT_AT_INCIDENT,2025-01-05,FIR,0.62
P000119,LOC000056,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.64
P000111,LOC000056,PRESENT_AT_INCIDENT,2026-03-05,FIR,0.72
P000394,LOC000079,PRESENT_AT_INCIDENT,2026-02-15,FIR,0.62
P000406,LOC000079,PRESENT_AT_INCIDENT,2026-02-15,FIR,0.83
P000415,LOC000079,PRESENT_AT_INCIDENT,2026-02-15,FIR,0.65
P000151,LOC000063,PRESENT_AT_INCIDENT,2023-09-25,FIR,0.73
P000094,LOC000063,PRESENT_AT_INCIDENT,2023-09-25,FIR,0.7
P000860,LOC000090,PRESENT_AT_INCIDENT,2022-05-13,FIR,0.96
P000861,LOC000090,PRESENT_AT_INCIDENT,2022-05-13,FIR,0.64
P000172,LOC000017,PRESENT_AT_INCIDENT,2025-05-28,FIR,0.66
P000145,LOC000017,PRESENT_AT_INCIDENT,2025-05-28,FIR,0.83
P000162,LOC000017,PRESENT_AT_INCIDENT,2025-05-28,FIR,0.77
P000645,LOC000109,PRESENT_AT_INCIDENT,2026-01-08,FIR,0.85
P000868,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.88
P000854,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.75
P000864,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.75
P000857,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.82
P000861,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.71
P000875,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.92
P000851,LOC000096,PRESENT_AT_INCIDENT,2025-09-16,FIR,0.83
P000792,LOC000051,PRESENT_AT_INCIDENT,2024-04-17,FIR,0.84
P000681,LOC000114,PRESENT_AT_INCIDENT,2025-05-12,FIR,0.8
P000677,LOC000114,PRESENT_AT_INCIDENT,2025-05-12,FIR,0.71
P000709,LOC000114,PRESENT_AT_INCIDENT,2025-05-12,FIR,0.74
P000682,LOC000114,PRESENT_AT_INCIDENT,2025-05-12,FIR,0.89
P000715,LOC000100,PRESENT_AT_INCIDENT,2023-12-11,FIR,0.81
P000720,LOC000100,PRESENT_AT_INCIDENT,2023-12-11,FIR,0.71
P000745,LOC000100,PRESENT_AT_INCIDENT,2023-12-11,FIR,0.96
P000139,LOC000054,PRESENT_AT_INCIDENT,2018-07-20,FIR,0.81
P000474,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.84
P000489,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.74
P000492,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.8
P000507,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.85
P000477,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.62
P000511,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.72
P000490,LOC000053,PRESENT_AT_INCIDENT,2022-09-28,FIR,0.63
P001000,LOC000125,PRESENT_AT_INCIDENT,2026-05-08,FIR,0.81
P000996,LOC000125,PRESENT_AT_INCIDENT,2026-05-08,FIR,0.7
P000939,LOC000125,PRESENT_AT_INCIDENT,2026-05-08,FIR,0.82
P000674,LOC000037,PRESENT_AT_INCIDENT,2022-12-23,FIR,0.69
P000676,LOC000037,PRESENT_AT_INCIDENT,2022-12-23,FIR,0.91
P000688,LOC000037,PRESENT_AT_INCIDENT,2022-12-23,FIR,0.79
P000855,LOC000052,PRESENT_AT_INCIDENT,2025-08-15,FIR,0.96
P000871,LOC000052,PRESENT_AT_INCIDENT,2025-08-15,FIR,0.64
P000879,LOC000052,PRESENT_AT_INCIDENT,2025-08-15,FIR,0.9
P000371,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.77
P000407,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.74
P000400,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.92
P000404,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.65
P000378,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.61
P000384,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.73
P000416,LOC000097,PRESENT_AT_INCIDENT,2021-12-25,FIR,0.89
P000515,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.79
P000492,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.63
P000494,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.98
P000472,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.76
P000504,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.89
P000518,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.84
P000474,LOC000080,PRESENT_AT_INCIDENT,2025-04-01,FIR,0.64
P000601,LOC000113,PRESENT_AT_INCIDENT,2025-09-28,FIR,0.78
P000602,LOC000113,PRESENT_AT_INCIDENT,2025-09-28,FIR,0.94
P000604,LOC000113,PRESENT_AT_INCIDENT,2025-09-28,FIR,0.79
P000500,LOC000014,PRESENT_AT_INCIDENT,2026-05-16,FIR,0.66
P000515,LOC000014,PRESENT_AT_INCIDENT,2026-05-16,FIR,0.86
P000518,LOC000014,PRESENT_AT_INCIDENT,2026-05-16,FIR,0.7
P000501,LOC000014,PRESENT_AT_INCIDENT,2026-05-16,FIR,0.71
P000509,LOC000014,PRESENT_AT_INCIDENT,2026-05-16,FIR,0.9
P000737,LOC000004,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.86
P000747,LOC000004,PRESENT_AT_INCIDENT,2023-08-11,FIR,0.93
P000670,LOC000036,PRESENT_AT_INCIDENT,2021-05-14,FIR,0.92
P000688,LOC000036,PRESENT_AT_INCIDENT,2021-05-14,FIR,0.8
P000731,LOC000065,PRESENT_AT_INCIDENT,2025-01-26,FIR,0.92
P000744,LOC000065,PRESENT_AT_INCIDENT,2025-01-26,FIR,0.72
P000753,LOC000065,PRESENT_AT_INCIDENT,2025-01-26,FIR,0.83
P000752,LOC000065,PRESENT_AT_INCIDENT,2025-01-26,FIR,0.68
P000717,LOC000065,PRESENT_AT_INCIDENT,2025-01-26,FIR,0.86
P000507,LOC000039,PRESENT_AT_INCIDENT,2026-02-06,FIR,0.82
P000502,LOC000039,PRESENT_AT_INCIDENT,2026-02-06,FIR,0.83
P000518,LOC000039,PRESENT_AT_INCIDENT,2026-02-06,FIR,0.89
P000484,LOC000039,PRESENT_AT_INCIDENT,2026-02-06,FIR,0.94
