person_id,org_id,role_in_org,from_date,to_date,is_benami
P000159,ORG000002,FIELD_OPERATIVE,,,0
P000160,ORG000002,LOGISTICS,,,0
P000161,ORG000002,CORRUPT_OFFICIAL,,,0
P000162,ORG000002,MULE,,,0
P000163,ORG000002,COURIER,,,0
P000164,ORG000002,RECRUITER,,,0
P000165,ORG000002,COURIER,,,0
P000166,ORG000002,MULE,,,0
P000167,ORG000002,MULE,,,0
P000168,ORG000002,FENCE,,,0
P000169,ORG000002,COURIER,,,0
P000170,ORG000002,TECH_HANDLER,,,0
P000171,ORG000002,MULE,,,0
P000172,ORG000002,SHOOTER,,,0
P000173,ORG000002,MULE,,,0
P000174,ORG000002,TECH_HANDLER,,,0
P000175,ORG000003,FIELD_OPERATIVE,,,0
P000176,ORG000003,MULE,,,0
P000177,ORG000003,COURIER,,,0
P000178,ORG000003,FIXER,,,0
P000179,ORG000003,MULE,,,0
P000180,ORG000003,FIELD_OPERATIVE,,,0
P000181,ORG000003,KINGPIN,,,0
P000182,ORG000003,COURIER,,,0
P000183,ORG000003,LOGISTICS,,,0
P000184,ORG000003,RECRUITER,,,0
P000185,ORG000003,FIELD_OPERATIVE,,,0
P000186,ORG000003,LOGISTICS,,,0
P000187,ORG000003,MULE,,,0
P000188,ORG000003,TECH_HANDLER,,,0
P000189,ORG000003,MULE,,,0
P000190,ORG000003,FINANCIER,,,0
P000191,ORG000003,MULE,,,0
P000192,ORG000003,FIELD_OPERATIVE,,,0
P000193,ORG000003,FIELD_OPERATIVE,,,0
P000194,ORG000003,FINANCIER,,,0
P000195,ORG000003,MULE,,,0
P000196,ORG000003,MULE,,,0
P000197,ORG000003,FIELD_OPERATIVE,,,0
P000198,ORG000003,MULE,,,0
P000199,ORG000003,FIELD_OPERATIVE,,,0
P000200,ORG000003,COURIER,,,0
P000201,ORG000003,TECH_HANDLER,,,0
P000202,ORG000003,FIELD_OPERATIVE,,,0
P000203,ORG000003,MULE,,,0
P000204,ORG000003,TECH_HANDLER,,,0
P000205,ORG000003,LIEUTENANT,,,0
P000206,ORG000003,FIELD_OPERATIVE,,,0
P000207,ORG000003,MULE,,,0
P000208,ORG000003,RECRUITER,,,0
P000209,ORG000003,TECH_HANDLER,,,0
P000210,ORG000003,FIELD_OPERATIVE,,,0
P000211,ORG000003,TECH_HANDLER,,,0
P000212,ORG000003,LOGISTICS,,,0
P000213,ORG000003,MULE,,,0
P000214,ORG000003,MULE,,,0
P000215,ORG000003,MULE,,,0
P000216,ORG000003,RECRUITER,,,0
P000217,ORG000003,MULE,,,0
P000218,ORG000003,TECH_HANDLER,,,0
P000219,ORG000003,LIEUTENANT,,,0
P000220,ORG000003,MULE,,,0
P000221,ORG000003,MULE,,,0
P000222,ORG000003,COURIER,,,0
P000223,ORG000003,TECH_HANDLER,,,0
P000224,ORG000003,FIELD_OPERATIVE,,,0
P000225,ORG000003,COURIER,,,0
P000226,ORG000003,MULE,,,0
P000227,ORG000003,RECRUITER,,,0
P000228,ORG000003,INFORMANT,,,0
P000229,ORG000003,LIEUTENANT,,,0
P000230,ORG000003,MULE,,,0
P000231,ORG000003,TECH_HANDLER,,,0
P000232,ORG000003,TECH_HANDLER,,,0
P000233,ORG000003,FIELD_OPERATIVE,,,0
P000234,ORG000003,FIELD_OPERATIVE,,,0
P000235,ORG000003,MULE,,,0
P000236,ORG000003,MULE,,,0
P000237,ORG000003,MULE,,,0
P000238,ORG000003,COURIER,,,0
P000239,ORG000003,MULE,,,0
P000240,ORG000003,MULE,,,0
P000241,ORG000003,FIELD_OPERATIVE,,,0
P000242,ORG000003,RECRUITER,,,0
P000243,ORG000003,LIEUTENANT,,,0
P000244,ORG000003,TECH_HANDLER,,,0
P000245,ORG000003,TECH_HANDLER,,,0
P000246,ORG000003,RECRUITER,,,0
P000247,ORG000003,FIELD_OPERATIVE,,,0
P000248,ORG000003,TECH_HANDLER,,,0
P000249,ORG000003,MULE,,,0
P000250,ORG000003,FIELD_OPERATIVE,,,0
P000251,ORG000003,MULE,,,0
P000252,ORG000003,FENCE,,,0
P000253,ORG000003,HAWALA_OPERATOR,,,0
P000254,ORG000003,FIELD_OPERATIVE,,,0
P000255,ORG000003,TECH_HANDLER,,,0
P000256,ORG000003,FENCE,,,0
P000257,ORG000003,LIEUTENANT,,,0
P000258,ORG000003,TECH_HANDLER,,,0
P000259,ORG000003,TECH_HANDLER,,,0
P000260,ORG000003,FIELD_OPERATIVE,,,0
P000261,ORG000003,TECH_HANDLER,,,0
P000262,ORG000003,COURIER,,,0
P000263,ORG000003,FIELD_OPERATIVE,,,0
P000264,ORG000003,MULE,,,0
P000265,ORG000003,INFORMANT,,,0
P000266,ORG000003,RECRUITER,,,0
P000267,ORG000003,FIELD_OPERATIVE,,,0
P000268,ORG000003,LIEUTENANT,,,0
P000269,ORG000003,LOGISTICS,,,0
P000270,ORG000003,MULE,,,0
P000271,ORG000003,FIELD_OPERATIVE,,,0
P000272,ORG000003,RECRUITER,,,0
P000273,ORG000003,MULE,,,0
P000274,ORG000003,MULE,,,0
P000275,ORG000003,MULE,,,0
P000276,ORG000003,MULE,,,0
P000277,ORG000003,FIELD_OPERATIVE,,,0
P000278,ORG000003,TECH_HANDLER,,,0
P000279,ORG000003,FINANCIER,,,0
P000280,ORG000003,MULE,,,0
P000281,ORG000003,FIXER,,,0
P000282,ORG000003,MULE,,,0
P000283,ORG000003,TECH_HANDLER,,,0
P000284,ORG000003,RECRUITER,,,0
P000285,ORG000003,FINANCIER,,,0
P000286,ORG000003,MULE,,,0
P000287,ORG000003,FIELD_OPERATIVE,,,0
P000288,ORG000003,KINGPIN,,,0
P000289,ORG000003,MULE,,,0
P000290,ORG000004,COURIER,,,0
P000291,ORG000004,FIELD_OPERATIVE,,,0
P000292,ORG000004,MULE,,,0
P000293,ORG000004,FIELD_OPERATIVE,,,0
P000294,ORG000004,RECRUITER,,,0
P000295,ORG000004,LIEUTENANT,,,0
P000296,ORG000004,LIEUTENANT,,,0
P000297,ORG000004,MULE,,,0
P000298,ORG000004,TECH_HANDLER,,,0
P000299,ORG000004,COURIER,,,0
P000300,ORG000004,FENCE,,,0
P000301,ORG000004,FIXER,,,0
P000302,ORG000004,MULE,,,0
P000303,ORG000004,MULE,,,0
P000304,ORG000004,HAWALA_OPERATOR,,,0
P000305,ORG000004,LIEUTENANT,,,0
P000306,ORG000004,FIELD_OPERATIVE,,,0
P000307,ORG000004,MULE,,,0
P000308,ORG000004,FIELD_OPERATIVE,,,0
P000309,ORG000004,RECRUITER,,,0
P000310,ORG000004,MULE,,,0
P000311,ORG000004,FIELD_OPERATIVE,,,0
P000312,ORG000004,HAWALA_OPERATOR,,,0
P000313,ORG000004,FIELD_OPERATIVE,,,0
P000314,ORG000004,HAWALA_OPERATOR,,,0
P000315,ORG000004,MULE,,,0
P000316,ORG000004,CORRUPT_OFFICIAL,,,0
P000317,ORG000004,FINANCIER,,,0
P000318,ORG000004,LIEUTENANT,,,0
P000319,ORG000004,MULE,,,0
P000320,ORG000004,FINANCIER,,,0
P000321,ORG000004,HAWALA_OPERATOR,,,0
P000322,ORG000004,FINANCIER,,,0
P000323,ORG000004,FIELD_OPERATIVE,,,0
P000324,ORG000004,MULE,,,0
P000325,ORG000004,FIELD_OPERATIVE,,,0
P000326,ORG000004,FINANCIER,,,0
P000327,ORG000004,FENCE,,,0
P000328,ORG000004,FIELD_OPERATIVE,,,0
P000329,ORG000004,FIELD_OPERATIVE,,,0
P000330,ORG000004,LOGISTICS,,,0
P000331,ORG000004,HAWALA_OPERATOR,,,0
P000332,ORG000004,FINANCIER,,,0
P000333,ORG000004,LOGISTICS,,,0
P000334,ORG000004,HAWALA_OPERATOR,,,0
P000335,ORG000004,HAWALA_OPERATOR,,,0
P000336,ORG000004,COURIER,,,0
P000337,ORG000004,CORRUPT_OFFICIAL,,,0
P000338,ORG000004,LOGISTICS,,,0
P000339,ORG000004,MULE,,,0
P000340,ORG000004,FIELD_OPERATIVE,,,0
P000341,ORG000004,FIELD_OPERATIVE,,,0
P000342,ORG000004,FIELD_OPERATIVE,,,0
P000343,ORG000004,KINGPIN,,,0
P000344,ORG000004,MULE,,,0
P000345,ORG000004,RECRUITER,,,0
P000346,ORG000004,FIELD_OPERATIVE,,,0
P000347,ORG000004,COURIER,,,0
P000348,ORG000004,FIELD_OPERATIVE,,,0
P000349,ORG000004,LOGISTICS,,,0
P000350,ORG000004,TECH_HANDLER,,,0
P000351,ORG000004,FINANCIER,,,0
P000352,ORG000004,FIELD_OPERATIVE,,,0
P000353,ORG000004,FIELD_OPERATIVE,,,0
P000354,ORG000004,TECH_HANDLER,,,0
P000355,ORG000004,FIELD_OPERATIVE,,,0
P000356,ORG000004,TECH_HANDLER,,,0
P000357,ORG000004,FIELD_OPERATIVE,,,0
P000358,ORG000005,LOGISTICS,,,0
P000359,ORG000005,LIEUTENANT,,,0
P000360,ORG000005,FIELD_OPERATIVE,,,0
P000361,ORG000005,RECRUITER,,,0
P000362,ORG000005,LOGISTICS,,,0
P000363,ORG000005,FIELD_OPERATIVE,,,0
P000364,ORG000005,COURIER,,,0
P000365,ORG000005,COURIER,,,0
P000366,ORG000005,LOGISTICS,,,0
P000367,ORG000005,LOGISTICS,,,0
P000368,ORG000005,FINANCIER,,,0
P000369,ORG000005,FIXER,,,0
P000370,ORG000005,LIEUTENANT,,,0
P000371,ORG000005,MULE,,,0
P000372,ORG000005,HAWALA_OPERATOR,,,0
P000373,ORG000005,MULE,,,0
P000374,ORG000005,FIELD_OPERATIVE,,,0
P000375,ORG000005,MULE,,,0
P000376,ORG000005,FIELD_OPERATIVE,,,0
P000377,ORG000005,RECRUITER,,,0
P000378,ORG000005,SHOOTER,,,0
P000379,ORG000005,TECH_HANDLER,,,0
P000380,ORG000005,MULE,,,0
P000381,ORG000005,CORRUPT_OFFICIAL,,,0
P000382,ORG000005,MULE,,,0
P000383,ORG000005,FIELD_OPERATIVE,,,0
P000384,ORG000005,LIEUTENANT,,,0
P000385,ORG000005,MULE,,,0
P000386,ORG000005,FIELD_OPERATIVE,,,0
P000387,ORG000005,TECH_HANDLER,,,0
P000388,ORG000005,FIELD_OPERATIVE,,,0
P000389,ORG000005,FENCE,,,0
P000390,ORG000005,FIELD_OPERATIVE,,,0
P000391,ORG000005,RECRUITER,,,0
P000392,ORG000005,MULE,,,0
P000393,ORG000005,FIELD_OPERATIVE,,,0
P000394,ORG000005,FIELD_OPERATIVE,,,0
P000395,ORG000005,FIXER,,,0
P000396,ORG000005,INFORMANT,,,0
P000397,ORG000005,KINGPIN,,,0
P000398,ORG000005,FIELD_OPERATIVE,,,0
P000399,ORG000005,MULE,,,0
P000400,ORG000005,SHOOTER,,,0
P000401,ORG000005,TECH_HANDLER,,,0
P000402,ORG000005,FIELD_OPERATIVE,,,0
P000403,ORG000005,INFORMANT,,,0
P000404,ORG000005,FIELD_OPERATIVE,,,0
P000405,ORG000005,FIXER,,,0
P000406,ORG000005,SHOOTER,,,0
P000407,ORG000005,LOGISTICS,,,0
P000408,ORG000005,FIELD_OPERATIVE,,,0
P000409,ORG000005,INFORMANT,,,0
P000410,ORG000005,LOGISTICS,,,0
