person_id,account_id,relation,from_date,to_date
P000029,AC000055,HOLDER,2018-06-26,
P000029,AC000056,HOLDER,2022-06-12,
P000030,AC000057,HOLDER,2015-03-24,
P000031,AC000058,HOLDER,2021-08-10,
P000032,AC000059,HOLDER,2021-07-18,
P000032,AC000060,HOLDER,2017-11-17,
P000033,AC000061,HOLDER,2016-10-24,
P000033,AC000062,HOLDER,2018-02-17,
P000033,AC000063,HOLDER,2013-11-16,
P000034,AC000064,HOLDER,2016-04-05,
P000035,AC000065,HOLDER,2017-06-10,
P000035,AC000066,HOLDER,2013-11-09,
P000036,AC000067,HOLDER,2023-09-10,
P000036,AC000068,HOLDER,2019-05-20,
P000037,AC000069,HOLDER,2024-12-25,
P000038,AC000070,HOLDER,2020-09-05,
P000038,AC000071,HOLDER,2015-10-11,
P000038,AC000072,HOLDER,2025-05-20,
P000039,AC000073,HOLDER,2021-03-05,
P000039,AC000074,HOLDER,2016-09-25,
P000040,AC000075,HOLDER,2020-02-13,
P000040,AC000076,HOLDER,2023-10-18,
P000040,AC000077,HOLDER,2016-04-07,
P000041,AC000078,HOLDER,2019-10-24,
P000042,AC000079,HOLDER,2023-06-18,
P000043,AC000080,HOLDER,2023-07-25,
P000044,AC000081,HOLDER,2013-08-07,
P000045,AC000082,HOLDER,2023-11-06,
P000045,AC000083,HOLDER,2026-04-30,
P000046,AC000084,HOLDER,2021-04-01,
P000046,AC000085,HOLDER,2026-01-05,
P000047,AC000086,HOLDER,2018-06-14,
P000047,AC000087,HOLDER,2019-03-04,
P000047,AC000088,HOLDER,2025-09-08,
P000048,AC000089,HOLDER,2020-01-09,
P000048,AC000090,HOLDER,2019-06-29,
P000049,AC000091,HOLDER,2024-09-27,
P000050,AC000092,HOLDER,2015-05-17,
P000051,AC000093,HOLDER,2022-09-14,
P000051,AC000094,HOLDER,2024-12-17,
P000051,AC000095,HOLDER,2016-09-02,
P000051,AC000096,HOLDER,2020-09-28,
P000051,AC000097,HOLDER,2020-10-26,
P000052,AC000098,HOLDER,2026-03-23,
P000052,AC000099,HOLDER,2019-01-06,
P000052,AC000100,HOLDER,2023-01-19,
P000052,AC000101,HOLDER,2025-03-07,
P000053,AC000102,HOLDER,2021-11-04,
P000053,AC000103,HOLDER,2025-05-16,
P000054,AC000104,HOLDER,2017-07-05,
P000055,AC000105,HOLDER,2016-08-05,
P000055,AC000106,HOLDER,2022-07-12,
P000056,AC000107,HOLDER,2019-03-31,
P000056,AC000108,HOLDER,2018-10-16,
P000056,AC000109,HOLDER,2015-10-18,
P000056,AC000110,HOLDER,2018-11-14,
P000056,AC000111,HOLDER,2021-02-07,
P000057,AC000112,HOLDER,2014-07-23,
P000058,AC000113,HOLDER,2020-05-26,
P000059,AC000114,HOLDER,2020-06-26,
P000059,AC000115,HOLDER,2014-09-21,
P000060,AC000116,HOLDER,2014-10-30,
P000061,AC000117,HOLDER,2023-12-27,
P000061,AC000118,HOLDER,2014-12-30,
P000062,AC000119,HOLDER,2017-10-31,
P000063,AC000120,HOLDER,2022-12-14,
P000064,AC000121,HOLDER,2025-10-26,
P000065,AC000122,HOLDER,2023-03-11,
P000066,AC000123,HOLDER,2015-12-03,
P000067,AC000124,HOLDER,2016-11-05,
P000068,AC000125,HOLDER,2013-01-30,
P000068,AC000126,HOLDER,2024-02-04,
P000069,AC000127,HOLDER,2025-12-10,
P000070,AC000128,HOLDER,2023-11-03,
P000071,AC000129,HOLDER,2024-10-23,
P000071,AC000130,HOLDER,2023-10-28,
P000072,AC000131,HOLDER,2023-12-28,
P000073,AC000132,HOLDER,2014-02-16,
P000073,AC000133,HOLDER,2025-08-28,
P000074,AC000134,HOLDER,2024-01-30,
P000074,AC000135,HOLDER,2023-01-03,
P000075,AC000136,HOLDER,2020-12-29,
P000076,AC000137,HOLDER,2020-05-22,
P000076,AC000138,HOLDER,2024-01-19,
P000077,AC000139,HOLDER,2019-02-19,
P000077,AC000140,HOLDER,2023-01-18,
P000078,AC000141,HOLDER,2016-08-17,
P000079,AC000142,HOLDER,2017-05-06,
P000079,AC000143,HOLDER,2014-05-11,
P000080,AC000144,HOLDER,2015-10-22,
P000080,AC000145,HOLDER,2018-03-21,
P000080,AC000146,HOLDER,2019-11-01,
P000080,AC000147,HOLDER,2017-11-25,
P000080,AC000148,HOLDER,2022-05-22,
P000081,AC000149,HOLDER,2019-08-14,
P000081,AC000150,HOLDER,2023-09-19,
P000082,AC000151,HOLDER,2015-12-15,
P000082,AC000152,HOLDER,2015-04-21,
P000082,AC000153,HOLDER,2019-08-07,
P000083,AC000154,HOLDER,2022-09-28,
P000084,AC000155,HOLDER,2016-04-07,
P000085,AC000156,HOLDER,2024-11-07,
P000085,AC000157,HOLDER,2017-12-01,
P000086,AC000158,HOLDER,2015-01-15,
P000087,AC000159,HOLDER,2018-02-03,
P000087,AC000160,HOLDER,2025-02-24,
P000088,AC000161,HOLDER,2023-05-25,
P000089,AC000162,HOLDER,2015-06-21,
P000089,AC000163,HOLDER,2020-12-29,
P000090,AC000164,HOLDER,2023-11-10,
P000090,AC000165,HOLDER,2022-05-19,
P000091,AC000166,HOLDER,2015-05-09,
P000092,AC000167,HOLDER,2025-09-02,
P000092,AC000168,HOLDER,2014-01-07,
P000092,AC000169,HOLDER,2023-12-23,
P000093,AC000170,HOLDER,2023-08-07,
P000094,AC000171,HOLDER,2018-10-01,
P000095,AC000172,HOLDER,2025-02-11,
P000096,AC000173,HOLDER,2023-04-21,
P000096,AC000174,HOLDER,2013-04-05,
P000097,AC000175,HOLDER,2024-11-29,
P000097,AC000176,HOLDER,2025-05-27,
P000097,AC000177,HOLDER,2025-08-06,
P000098,AC000178,HOLDER,2023-05-22,
P000099,AC000179,HOLDER,2013-10-07,
P000100,AC000180,HOLDER,2015-11-07,
P000100,AC000181,HOLDER,2013-06-06,
P000100,AC000182,HOLDER,2014-08-07,
P000101,AC000183,HOLDER,2014-05-06,
P000102,AC000184,HOLDER,2014-09-06,
P000103,AC000185,HOLDER,2022-08-15,
P000104,AC000186,HOLDER,2022-06-26,
P000105,AC000187,HOLDER,2019-12-21,
P000106,AC000188,HOLDER,2023-06-17,
P000107,AC000189,HOLDER,2019-05-08,
P000108,AC000190,HOLDER,2015-03-05,
P000109,AC000191,HOLDER,2021-12-23,
P000110,AC000192,HOLDER,2023-11-02,
P000110,AC000193,HOLDER,2014-10-10,
P000110,AC000194,HOLDER,2018-05-10,
P000111,AC000195,HOLDER,2016-02-25,
P000111,AC000196,HOLDER,2016-09-07,
P000111,AC000197,HOLDER,2024-07-25,
P000112,AC000198,HOLDER,2017-01-25,
P000113,AC000199,HOLDER,2016-05-22,
P000114,AC000200,HOLDER,2014-05-12,
P000115,AC000201,HOLDER,2015-12-01,
P000116,AC000202,HOLDER,2014-12-23,
P000117,AC000203,HOLDER,2026-02-15,
P000117,AC000204,HOLDER,2017-09-28,
P000117,AC000205,HOLDER,2014-08-12,
P000117,AC000206,HOLDER,2021-11-15,
P000117,AC000207,HOLDER,2017-03-03,
P000118,AC000208,HOLDER,2025-08-13,
P000119,AC000209,HOLDER,2021-02-05,
P000120,AC000210,HOLDER,2017-07-17,
P000120,AC000211,HOLDER,2023-01-21,
P000121,AC000212,HOLDER,2014-08-03,
P000122,AC000213,HOLDER,2023-05-05,
P000122,AC000214,HOLDER,2013-04-07,
P000123,AC000215,HOLDER,2024-08-23,
P000124,AC000216,HOLDER,2025-12-15,
P000124,AC000217,HOLDER,2015-08-01,
P000124,AC000218,HOLDER,2013-04-16,
P000125,AC000219,HOLDER,2025-03-12,
P000126,AC000220,HOLDER,2026-02-15,
P000126,AC000221,HOLDER,2017-03-19,
P000127,AC000222,HOLDER,2020-04-25,
P000128,AC000223,HOLDER,2018-01-24,
P000129,AC000224,HOLDER,2026-04-01,
P000129,AC000225,HOLDER,2019-06-30,
P000129,AC000226,HOLDER,2019-06-05,
P000129,AC000227,HOLDER,2017-04-15,
P000130,AC000228,HOLDER,2021-01-15,
P000131,AC000229,HOLDER,2015-03-31,
P000131,AC000230,HOLDER,2017-03-31,
P000132,AC000231,HOLDER,2019-09-14,
P000133,AC000232,HOLDER,2023-10-31,
P000133,AC000233,HOLDER,2015-07-07,
P000134,AC000234,HOLDER,2024-08-13,
P000135,AC000235,HOLDER,2020-10-28,
P000135,AC000236,HOLDER,2022-01-19,
P000136,AC000237,HOLDER,2024-03-25,
P000136,AC000238,HOLDER,2022-05-08,
P000137,AC000239,HOLDER,2018-02-07,
P000138,AC000240,HOLDER,2019-10-27,
P000139,AC000241,HOLDER,2015-11-23,
P000140,AC000242,HOLDER,2022-07-09,
P000140,AC000243,HOLDER,2017-08-09,
P000140,AC000244,HOLDER,2023-09-06,
P000141,AC000245,HOLDER,2018-02-19,
P000142,AC000246,HOLDER,2022-05-23,
P000142,AC000247,HOLDER,2017-12-09,
P000143,AC000248,HOLDER,2019-01-09,
P000144,AC000249,HOLDER,2023-03-26,
P000145,AC000250,HOLDER,2023-01-14,
P000146,AC000251,HOLDER,2017-01-13,
P000146,AC000252,HOLDER,2022-05-15,
P000146,AC000253,HOLDER,2025-01-06,
P000146,AC000254,HOLDER,2023-03-14,
P000147,AC000255,HOLDER,2016-10-04,
P000148,AC000256,HOLDER,2021-02-02,
P000149,AC000257,HOLDER,2021-02-03,
P000150,AC000258,HOLDER,2020-08-12,
P000151,AC000259,HOLDER,2018-04-17,
P000152,AC000260,HOLDER,2021-01-24,
P000153,AC000261,HOLDER,2019-06-21,
P000154,AC000262,HOLDER,2017-03-28,
P000155,AC000263,HOLDER,2013-12-27,
P000156,AC000264,HOLDER,2014-02-17,
P000157,AC000265,HOLDER,2016-12-29,
P000157,AC000266,HOLDER,2019-02-22,
P000157,AC000267,HOLDER,2024-11-17,
P000158,AC000268,HOLDER,2024-02-22,
P000159,AC000269,HOLDER,2019-08-30,
P000159,AC000270,HOLDER,2016-02-26,
P000160,AC000271,HOLDER,2018-12-11,
P000161,AC000272,HOLDER,2019-02-12,
P000162,AC000273,HOLDER,2023-02-24,
P000163,AC000274,HOLDER,2015-05-05,
P000164,AC000275,HOLDER,2014-07-21,
P000165,AC000276,HOLDER,2016-02-13,
P000166,AC000277,HOLDER,2013-11-14,
P000166,AC000278,HOLDER,2019-12-18,
P000167,AC000279,HOLDER,2016-07-31,
P000168,AC000280,HOLDER,2015-02-03,
P000168,AC000281,HOLDER,2021-12-21,
P000169,AC000282,HOLDER,2021-02-06,
P000170,AC000283,HOLDER,2017-02-22,
P000171,AC000284,HOLDER,2015-08-18,
P000171,AC000285,HOLDER,2019-06-06,
P000172,AC000286,HOLDER,2021-01-21,
P000172,AC000287,HOLDER,2022-08-29,
P000173,AC000288,HOLDER,2022-10-19,
P000174,AC000289,HOLDER,2014-07-07,
P000175,AC000290,HOLDER,2019-09-14,
P000176,AC000291,HOLDER,2014-08-26,
P000177,AC000292,HOLDER,2019-02-25,
P000177,AC000293,HOLDER,2023-09-19,
P000178,AC000294,HOLDER,2019-10-27,
P000179,AC000295,HOLDER,2015-09-22,
P000179,AC000296,HOLDER,2017-01-27,
P000179,AC000297,HOLDER,2018-12-26,
P000180,AC000298,HOLDER,2014-04-11,
P000180,AC000299,HOLDER,2014-03-01,
P000181,AC000300,HOLDER,2024-07-18,
P000181,AC000301,HOLDER,2017-05-29,
P000181,AC000302,HOLDER,2016-06-02,
P000182,AC000303,HOLDER,2015-06-15,
P000183,AC000304,HOLDER,2015-03-18,
P000183,AC000305,HOLDER,2024-05-12,
P000184,AC000306,HOLDER,2020-04-07,
P000185,AC000307,HOLDER,2024-11-20,
P000186,AC000308,HOLDER,2014-10-04,
P000187,AC000309,HOLDER,2025-12-07,
P000187,AC000310,HOLDER,2017-11-27,
P000188,AC000311,HOLDER,2022-08-28,
P000188,AC000312,HOLDER,2014-10-17,
P000189,AC000313,HOLDER,2022-04-18,
P000189,AC000314,HOLDER,2016-01-06,
P000189,AC000315,HOLDER,2022-01-15,
P000190,AC000316,HOLDER,2014-02-03,
P000190,AC000317,HOLDER,2024-05-15,
P000190,AC000318,HOLDER,2014-03-28,
P000191,AC000319,HOLDER,2025-04-30,
P000191,AC000320,HOLDER,2015-06-15,
P000191,AC000321,HOLDER,2023-05-22,
P000192,AC000322,HOLDER,2024-10-01,
P000192,AC000323,HOLDER,2021-06-05,
P000193,AC000324,HOLDER,2018-07-16,
P000194,AC000325,HOLDER,2015-01-23,
P000194,AC000326,HOLDER,2014-10-23,
P000194,AC000327,HOLDER,2013-08-05,
P000195,AC000328,HOLDER,2015-05-24,
P000195,AC000329,HOLDER,2021-09-08,
P000195,AC000330,HOLDER,2016-11-04,
P000196,AC000331,HOLDER,2013-04-24,
P000196,AC000332,HOLDER,2020-02-04,
P000196,AC000333,HOLDER,2014-10-31,
P000197,AC000334,HOLDER,2023-01-19,
P000198,AC000335,HOLDER,2020-07-06,
P000199,AC000336,HOLDER,2024-07-15,
P000200,AC000337,HOLDER,2024-06-21,
P000201,AC000338,HOLDER,2014-09-24,
P000201,AC000339,HOLDER,2013-05-12,
P000202,AC000340,HOLDER,2019-03-27,
P000203,AC000341,HOLDER,2022-07-14,
P000203,AC000342,HOLDER,2014-05-29,
P000203,AC000343,HOLDER,2022-05-02,
P000204,AC000344,HOLDER,2019-03-22,
P000204,AC000345,HOLDER,2024-05-12,
P000204,AC000346,HOLDER,2018-05-15,
P000205,AC000347,HOLDER,2023-09-24,
P000206,AC000348,HOLDER,2025-08-08,
P000207,AC000349,HOLDER,2017-05-08,
P000207,AC000350,HOLDER,2014-10-26,
P000208,AC000351,HOLDER,2023-03-19,
P000209,AC000352,HOLDER,2017-08-11,
P000209,AC000353,HOLDER,2019-08-31,
P000210,AC000354,HOLDER,2018-10-08,
P000210,AC000355,HOLDER,2020-08-06,
P000211,AC000356,HOLDER,2013-03-30,
P000211,AC000357,HOLDER,2014-03-12,
P000211,AC000358,HOLDER,2024-06-13,
P000212,AC000359,HOLDER,2016-03-12,
P000213,AC000360,HOLDER,2019-01-29,
P000214,AC000361,HOLDER,2022-03-29,
P000215,AC000362,HOLDER,2024-07-13,
P000215,AC000363,HOLDER,2025-01-21,
P000215,AC000364,HOLDER,2025-05-17,
P000216,AC000365,HOLDER,2013-11-02,
P000217,AC000366,HOLDER,2016-02-27,
P000217,AC000367,HOLDER,2022-03-28,
P000218,AC000368,HOLDER,2018-05-11,
P000218,AC000369,HOLDER,2019-06-01,
P000219,AC000370,HOLDER,2026-06-06,
P000220,AC000371,HOLDER,2014-01-29,
P000221,AC000372,HOLDER,2018-02-14,
P000221,AC000373,HOLDER,2021-08-08,
P000222,AC000374,HOLDER,2021-02-14,
P000222,AC000375,HOLDER,2023-02-08,
P000223,AC000376,HOLDER,2013-02-17,
P000223,AC000377,HOLDER,2013-10-03,
P000223,AC000378,HOLDER,2023-08-23,
P000224,AC000379,HOLDER,2023-01-17,
P000225,AC000380,HOLDER,2021-09-14,
P000225,AC000381,HOLDER,2026-06-29,
P000226,AC000382,HOLDER,2013-04-16,
P000226,AC000383,HOLDER,2018-03-01,
P000226,AC000384,HOLDER,2025-02-03,
P000227,AC000385,HOLDER,2015-11-06,
P000228,AC000386,HOLDER,2018-11-08,
P000229,AC000387,HOLDER,2018-01-19,
P000229,AC000388,HOLDER,2020-01-19,
P000230,AC000389,HOLDER,2019-11-13,
P000230,AC000390,HOLDER,2013-10-02,
P000231,AC000391,HOLDER,2014-11-01,
P000231,AC000392,HOLDER,2017-02-14,
P000231,AC000393,HOLDER,2024-02-04,
P000232,AC000394,HOLDER,2020-05-05,
P000233,AC000395,HOLDER,2014-04-09,
P000234,AC000396,HOLDER,2013-02-03,
P000235,AC000397,HOLDER,2018-04-27,
P000235,AC000398,HOLDER,2019-02-15,
P000236,AC000399,HOLDER,2017-07-16,
P000236,AC000400,HOLDER,2019-07-11,
P000236,AC000401,HOLDER,2023-06-24,
P000237,AC000402,HOLDER,2016-12-07,
P000238,AC000403,HOLDER,2023-10-09,
P000239,AC000404,HOLDER,2016-04-28,
P000240,AC000405,HOLDER,2018-09-15,
P000241,AC000406,HOLDER,2025-04-01,
P000242,AC000407,HOLDER,2019-05-30,
P000243,AC000408,HOLDER,2016-01-13,
P000244,AC000409,HOLDER,2025-08-20,
P000244,AC000410,HOLDER,2016-04-07,
P000244,AC000411,HOLDER,2020-12-21,
P000245,AC000412,HOLDER,2016-08-26,
P000245,AC000413,HOLDER,2018-12-10,
P000245,AC000414,HOLDER,2022-04-10,
P000246,AC000415,HOLDER,2021-03-16,
P000247,AC000416,HOLDER,2024-10-26,
P000247,AC000417,HOLDER,2024-06-10,
P000248,AC000418,HOLDER,2015-03-03,
P000248,AC000419,HOLDER,2025-05-29,
P000248,AC000420,HOLDER,2015-05-08,
P000249,AC000421,HOLDER,2023-10-02,
P000249,AC000422,HOLDER,2018-06-25,
P000250,AC000423,HOLDER,2026-01-02,
P000250,AC000424,HOLDER,2018-05-16,
P000251,AC000425,HOLDER,2017-02-06,
P000251,AC000426,HOLDER,2020-09-01,
P000252,AC000427,HOLDER,2019-07-22,
P000253,AC000428,HOLDER,2018-04-10,
P000253,AC000429,HOLDER,2019-03-20,
P000253,AC000430,HOLDER,2022-02-08,
P000253,AC000431,HOLDER,2015-11-30,
P000253,AC000432,HOLDER,2024-01-26,
P000254,AC000433,HOLDER,2021-06-16,
P000255,AC000434,HOLDER,2026-05-25,
P000255,AC000435,HOLDER,2017-02-14,
P000256,AC000436,HOLDER,2014-01-26,
P000256,AC000437,HOLDER,2023-09-09,
P000257,AC000438,HOLDER,2018-03-02,
P000258,AC000439,HOLDER,2016-01-02,
P000258,AC000440,HOLDER,2014-06-20,
P000258,AC000441,HOLDER,2014-10-23,
P000259,AC000442,HOLDER,2015-09-18,
P000259,AC000443,HOLDER,2013-05-14,
P000259,AC000444,HOLDER,2023-02-11,
P000260,AC000445,HOLDER,2016-05-02,
P000261,AC000446,HOLDER,2023-07-22,
P000262,AC000447,HOLDER,2020-05-19,
P000263,AC000448,HOLDER,2021-11-24,
P000263,AC000449,HOLDER,2014-07-07,
P000264,AC000450,HOLDER,2023-07-13,
P000264,AC000451,HOLDER,2021-02-06,
P000264,AC000452,HOLDER,2021-11-24,
P000265,AC000453,HOLDER,2025-09-19,
P000266,AC000454,HOLDER,2013-10-01,
P000266,AC000455,HOLDER,2014-02-02,
P000267,AC000456,HOLDER,2024-01-17,
P000268,AC000457,HOLDER,2020-11-10,
P000268,AC000458,HOLDER,2019-01-21,
P000269,AC000459,HOLDER,2022-01-18,
P000270,AC000460,HOLDER,2023-04-18,
P000270,AC000461,HOLDER,2015-08-15,
P000270,AC000462,HOLDER,2020-04-07,
P000271,AC000463,HOLDER,2014-10-06,
P000272,AC000464,HOLDER,2023-06-23,
P000273,AC000465,HOLDER,2024-01-03,
P000273,AC000466,HOLDER,2021-06-27,
P000274,AC000467,HOLDER,2014-02-14,
P000274,AC000468,HOLDER,2025-03-28,
P000275,AC000469,HOLDER,2019-08-02,
P000275,AC000470,HOLDER,2016-08-20,
P000276,AC000471,HOLDER,2019-12-05,
P000276,AC000472,HOLDER,2019-09-27,
P000276,AC000473,HOLDER,2022-01-03,
P000277,AC000474,HOLDER,2019-01-09,
P000277,AC000475,HOLDER,2013-07-22,
P000278,AC000476,HOLDER,2025-10-02,
P000279,AC000477,HOLDER,2018-02-20,
P000279,AC000478,HOLDER,2020-05-25,
P000279,AC000479,HOLDER,2018-04-06,
P000280,AC000480,HOLDER,2014-03-14,
P000280,AC000481,HOLDER,2018-03-12,
P000281,AC000482,HOLDER,2021-01-12,
P000282,AC000483,HOLDER,2020-06-26,
P000282,AC000484,HOLDER,2024-07-02,
P000283,AC000485,HOLDER,2025-10-07,
P000283,AC000486,HOLDER,2015-05-03,
P000283,AC000487,HOLDER,2020-05-07,
P000284,AC000488,HOLDER,2021-01-31,
P000285,AC000489,HOLDER,2020-10-17,
P000285,AC000490,HOLDER,2022-07-27,
P000285,AC000491,HOLDER,2025-07-31,
P000286,AC000492,HOLDER,2021-09-28,
P000286,AC000493,HOLDER,2024-08-13,
P000286,AC000494,HOLDER,2022-05-06,
P000287,AC000495,HOLDER,2014-04-25,
P000288,AC000496,HOLDER,2024-07-05,
P000288,AC000497,HOLDER,2022-08-25,
P000288,AC000498,HOLDER,2013-06-18,
P000288,AC000499,HOLDER,2021-05-17,
P000289,AC000500,HOLDER,2014-11-09,
P000289,AC000501,HOLDER,2019-03-03,
P000289,AC000502,HOLDER,2015-08-10,
P000290,AC000503,HOLDER,2013-08-22,
P000291,AC000504,HOLDER,2022-08-18,
P000292,AC000505,HOLDER,2015-02-03,
P000292,AC000506,HOLDER,2023-05-10,
P000292,AC000507,HOLDER,2019-05-02,
P000293,AC000508,HOLDER,2024-02-19,
P000294,AC000509,HOLDER,2024-08-24,
P000295,AC000510,HOLDER,2023-12-30,
P000295,AC000511,HOLDER,2023-10-26,
P000296,AC000512,HOLDER,2016-09-06,
P000297,AC000513,HOLDER,2024-02-29,
P000297,AC000514,HOLDER,2022-07-04,
P000297,AC000515,HOLDER,2013-08-06,
P000298,AC000516,HOLDER,2022-05-31,
P000298,AC000517,HOLDER,2025-04-14,
P000299,AC000518,HOLDER,2026-06-10,
P000300,AC000519,HOLDER,2024-03-26,
P000300,AC000520,HOLDER,2022-10-21,
P000301,AC000521,HOLDER,2014-11-13,
P000302,AC000522,HOLDER,2020-02-28,
P000303,AC000523,HOLDER,2013-05-25,
P000303,AC000524,HOLDER,2025-05-28,
P000304,AC000525,HOLDER,2017-07-25,
P000304,AC000526,HOLDER,2017-04-11,
P000304,AC000527,HOLDER,2014-05-08,
P000304,AC000528,HOLDER,2019-05-21,
P000304,AC000529,HOLDER,2015-01-16,
P000305,AC000530,HOLDER,2016-01-13,
P000306,AC000531,HOLDER,2014-11-23,
P000307,AC000532,HOLDER,2019-02-22,
P000307,AC000533,HOLDER,2022-06-15,
P000308,AC000534,HOLDER,2023-04-16,
P000309,AC000535,HOLDER,2015-07-06,
P000310,AC000536,HOLDER,2023-07-18,
P000310,AC000537,HOLDER,2023-04-16,
P000310,AC000538,HOLDER,2019-07-27,
P000311,AC000539,HOLDER,2025-11-05,
P000312,AC000540,HOLDER,2013-04-30,
P000312,AC000541,HOLDER,2022-04-15,
P000312,AC000542,HOLDER,2014-10-19,
P000313,AC000543,HOLDER,2015-11-29,
P000313,AC000544,HOLDER,2025-07-01,
P000314,AC000545,HOLDER,2022-04-02,
P000314,AC000546,HOLDER,2022-11-10,
P000314,AC000547,HOLDER,2024-07-19,
P000314,AC000548,HOLDER,2016-07-11,
P000315,AC000549,HOLDER,2023-01-29,
P000315,AC000550,HOLDER,2014-09-15,
P000315,AC000551,HOLDER,2024-11-20,
P000316,AC000552,HOLDER,2015-12-27,
P000317,AC000553,HOLDER,2018-03-04,
P000317,AC000554,HOLDER,2016-10-17,
P000317,AC000555,HOLDER,2026-02-26,
P000318,AC000556,HOLDER,2015-08-21,
P000319,AC000557,HOLDER,2015-11-16,
P000319,AC000558,HOLDER,2017-10-15,
P000320,AC000559,HOLDER,2026-01-22,
P000320,AC000560,HOLDER,2025-01-29,
P000320,AC000561,HOLDER,2020-07-27,
P000321,AC000562,HOLDER,2016-09-06,
P000321,AC000563,HOLDER,2014-09-11,
P000321,AC000564,HOLDER,2018-09-25,
P000321,AC000565,HOLDER,2014-11-19,
P000321,AC000566,HOLDER,2017-05-02,
P000322,AC000567,HOLDER,2013-03-06,
P000322,AC000568,HOLDER,2016-03-30,
P000322,AC000569,HOLDER,2013-10-11,
P000323,AC000570,HOLDER,2019-11-26,
P000324,AC000571,HOLDER,2022-04-09,
P000325,AC000572,HOLDER,2020-07-15,
P000326,AC000573,HOLDER,2017-07-05,
P000326,AC000574,HOLDER,2025-03-07,
P000326,AC000575,HOLDER,2025-05-30,
P000326,AC000576,HOLDER,2014-08-14,
P000327,AC000577,HOLDER,2023-12-07,
P000328,AC000578,HOLDER,2015-01-29,
P000329,AC000579,HOLDER,2018-04-07,
P000330,AC000580,HOLDER,2018-02-24,
P000330,AC000581,HOLDER,2023-03-19,
P000331,AC000582,HOLDER,2024-05-31,
P000331,AC000583,HOLDER,2026-03-10,
P000331,AC000584,HOLDER,2021-03-11,
P000332,AC000585,HOLDER,2024-03-08,
P000332,AC000586,HOLDER,2025-10-14,
P000332,AC000587,HOLDER,2013-04-28,
P000332,AC000588,HOLDER,2020-03-22,
P000332,AC000589,HOLDER,2015-05-21,
P000333,AC000590,HOLDER,2022-06-14,
P000333,AC000591,HOLDER,2022-03-17,
P000334,AC000592,HOLDER,2016-08-05,
P000334,AC000593,HOLDER,2013-11-24,
P000334,AC000594,HOLDER,2023-08-19,
P000335,AC000595,HOLDER,2021-05-23,
P000335,AC000596,HOLDER,2013-04-13,
P000335,AC000597,HOLDER,2024-07-10,
P000336,AC000598,HOLDER,2013-03-04,
P000337,AC000599,HOLDER,2024-06-18,
P000338,AC000600,HOLDER,2023-12-26,
P000338,AC000601,HOLDER,2025-06-01,
P000339,AC000602,HOLDER,2020-11-30,
P000339,AC000603,HOLDER,2021-12-20,
P000339,AC000604,HOLDER,2026-04-01,
P000340,AC000605,HOLDER,2014-08-27,
P000341,AC000606,HOLDER,2024-11-29,
P000341,AC000607,HOLDER,2017-01-12,
