person_id,vehicle_id,relation,from_date,to_date,confidence
P000165,VEH000060,REGISTERED_OWNER,2026-06-07,,0.95
P000169,VEH000061,REGISTERED_OWNER,2018-07-15,,0.95
P000170,VEH000062,REGISTERED_OWNER,2014-04-16,,0.95
P000179,VEH000063,REGISTERED_OWNER,2016-09-30,,0.95
P000182,VEH000064,REGISTERED_OWNER,2020-10-12,,0.95
P000184,VEH000065,REGISTERED_OWNER,2020-10-18,,0.95
P000185,VEH000066,REGISTERED_OWNER,2021-05-02,,0.95
P000201,VEH000067,REGISTERED_OWNER,2026-06-19,,0.95
P000209,VEH000068,REGISTERED_OWNER,2021-10-12,,0.95
P000210,VEH000069,REGISTERED_OWNER,2014-07-17,,0.95
P000211,VEH000070,REGISTERED_OWNER,2016-06-25,,0.95
P000219,VEH000071,REGISTERED_OWNER,2017-04-04,,0.95
P000229,VEH000072,REGISTERED_OWNER,2016-12-30,,0.95
P000230,VEH000073,REGISTERED_OWNER,2021-07-21,,0.95
P000231,VEH000074,REGISTERED_OWNER,2024-10-09,,0.95
P000232,VEH000075,REGISTERED_OWNER,2019-05-28,,0.95
P000234,VEH000076,REGISTERED_OWNER,2022-08-07,,0.95
P000237,VEH000077,REGISTERED_OWNER,2019-10-27,,0.95
P000239,VEH000078,REGISTERED_OWNER,2019-07-17,,0.95
P000240,VEH000079,REGISTERED_OWNER,2014-01-31,,0.95
P000242,VEH000080,REGISTERED_OWNER,2017-12-26,,0.95
P000244,VEH000081,REGISTERED_OWNER,2025-09-08,,0.95
P000246,VEH000082,REGISTERED_OWNER,2025-09-20,,0.95
P000248,VEH000083,REGISTERED_OWNER,2022-08-26,,0.95
P000249,VEH000084,REGISTERED_OWNER,2024-02-06,,0.95
P000251,VEH000085,REGISTERED_OWNER,2013-12-21,,0.95
P000252,VEH000086,REGISTERED_OWNER,2015-01-02,,0.95
P000258,VEH000087,REGISTERED_OWNER,2025-11-28,,0.95
P000259,VEH000088,REGISTERED_OWNER,2021-08-07,,0.95
P000260,VEH000089,REGISTERED_OWNER,2020-05-15,,0.95
P000261,VEH000090,REGISTERED_OWNER,2016-04-07,,0.95
P000263,VEH000091,REGISTERED_OWNER,2017-12-22,,0.95
P000268,VEH000092,REGISTERED_OWNER,2015-12-17,,0.95
P000271,VEH000093,REGISTERED_OWNER,2017-03-07,,0.95
P000272,VEH000094,REGISTERED_OWNER,2022-06-01,,0.95
P000276,VEH000095,REGISTERED_OWNER,2018-01-17,,0.95
P000277,VEH000096,REGISTERED_OWNER,2017-10-20,,0.95
P000281,VEH000097,REGISTERED_OWNER,2024-11-15,,0.95
P000283,VEH000098,REGISTERED_OWNER,2021-01-06,,0.95
P000284,VEH000099,REGISTERED_OWNER,2023-12-26,,0.95
P000285,VEH000100,REGISTERED_OWNER,2023-02-12,,0.95
P000288,VEH000101,REGISTERED_OWNER,2019-01-02,,0.95
P000291,VEH000102,REGISTERED_OWNER,2014-08-15,,0.95
P000292,VEH000103,REGISTERED_OWNER,2016-05-12,,0.95
P000296,VEH000104,REGISTERED_OWNER,2022-09-30,,0.95
P000299,VEH000105,REGISTERED_OWNER,2014-06-14,,0.95
P000308,VEH000106,REGISTERED_OWNER,2019-04-30,,0.95
P000309,VEH000107,REGISTERED_OWNER,2014-04-18,,0.95
P000310,VEH000108,REGISTERED_OWNER,2019-06-03,,0.95
P000318,VEH000109,REGISTERED_OWNER,2017-07-27,,0.95
P000321,VEH000110,REGISTERED_OWNER,2022-09-14,,0.95
P000322,VEH000111,REGISTERED_OWNER,2014-01-18,,0.95
P000323,VEH000112,REGISTERED_OWNER,2016-10-17,,0.95
P000325,VEH000113,REGISTERED_OWNER,2016-03-24,,0.95
P000328,VEH000114,REGISTERED_OWNER,2016-02-26,,0.95
P000339,VEH000115,REGISTERED_OWNER,2016-05-09,,0.95
P000340,VEH000116,REGISTERED_OWNER,2020-07-28,,0.95
P000341,VEH000117,REGISTERED_OWNER,2024-07-18,,0.95
P000353,VEH000118,REGISTERED_OWNER,2019-07-10,,0.95
P000356,VEH000119,REGISTERED_OWNER,2012-08-29,,0.95
P000364,VEH000120,REGISTERED_OWNER,2024-06-23,,0.95
P000365,VEH000121,REGISTERED_OWNER,2021-06-08,,0.95
P000367,VEH000122,REGISTERED_OWNER,2019-03-23,,0.95
P000370,VEH000123,REGISTERED_OWNER,2025-01-18,,0.95
P000373,VEH000124,REGISTERED_OWNER,2017-04-02,,0.95
P000375,VEH000125,REGISTERED_OWNER,2019-01-31,,0.95
P000376,VEH000126,REGISTERED_OWNER,2022-07-10,,0.95
P000377,VEH000127,REGISTERED_OWNER,2025-09-13,,0.95
P000383,VEH000128,REGISTERED_OWNER,2013-03-12,,0.95
P000384,VEH000129,REGISTERED_OWNER,2019-12-17,,0.95
P000389,VEH000130,REGISTERED_OWNER,2022-01-30,,0.95
P000391,VEH000131,REGISTERED_OWNER,2019-11-29,,0.95
P000395,VEH000132,REGISTERED_OWNER,2022-09-03,,0.95
P000396,VEH000133,REGISTERED_OWNER,2014-04-26,,0.95
P000398,VEH000134,REGISTERED_OWNER,2021-01-12,,0.95
P000403,VEH000135,REGISTERED_OWNER,2016-01-28,,0.95
P000406,VEH000136,REGISTERED_OWNER,2017-08-13,,0.95
P000407,VEH000137,REGISTERED_OWNER,2021-10-23,,0.95
P000414,VEH000138,REGISTERED_OWNER,2016-12-25,,0.95
P000416,VEH000139,REGISTERED_OWNER,2024-11-25,,0.95
P000418,VEH000140,REGISTERED_OWNER,2013-01-19,,0.95
P000420,VEH000141,REGISTERED_OWNER,2021-10-29,,0.95
P000427,VEH000142,REGISTERED_OWNER,2025-03-11,,0.95
P000433,VEH000143,REGISTERED_OWNER,2024-02-05,,0.95
P000441,VEH000144,REGISTERED_OWNER,2015-11-09,,0.95
P000443,VEH000145,REGISTERED_OWNER,2022-01-31,,0.95
P000446,VEH000146,REGISTERED_OWNER,2022-03-29,,0.95
P000448,VEH000147,REGISTERED_OWNER,2025-06-21,,0.95
P000454,VEH000148,REGISTERED_OWNER,2019-11-06,,0.95
P000455,VEH000149,REGISTERED_OWNER,2014-07-30,,0.95
P000461,VEH000150,REGISTERED_OWNER,2018-05-22,,0.95
P000462,VEH000151,REGISTERED_OWNER,2015-09-17,,0.95
P000467,VEH000152,REGISTERED_OWNER,2018-03-05,,0.95
P000469,VEH000153,REGISTERED_OWNER,2023-09-02,,0.95
P000471,VEH000154,REGISTERED_OWNER,2022-01-25,,0.95
P000472,VEH000155,REGISTERED_OWNER,2023-03-22,,0.95
P000474,VEH000156,REGISTERED_OWNER,2023-01-28,,0.95
P000475,VEH000157,REGISTERED_OWNER,2019-05-27,,0.95
P000476,VEH000158,REGISTERED_OWNER,2022-04-08,,0.95
P000481,VEH000159,REGISTERED_OWNER,2024-08-24,,0.95
P000483,VEH000160,REGISTERED_OWNER,2018-12-31,,0.95
P000484,VEH000161,REGISTERED_OWNER,2019-09-05,,0.95
P000489,VEH000162,REGISTERED_OWNER,2025-04-04,,0.95
P000497,VEH000163,REGISTERED_OWNER,2017-10-28,,0.95
P000500,VEH000164,REGISTERED_OWNER,2018-01-24,,0.95
P000503,VEH000165,REGISTERED_OWNER,2013-08-14,,0.95
P000505,VEH000166,REGISTERED_OWNER,2022-07-29,,0.95
P000511,VEH000167,REGISTERED_OWNER,2015-07-19,,0.95
P000512,VEH000168,REGISTERED_OWNER,2019-05-08,,0.95
P000515,VEH000169,REGISTERED_OWNER,2023-12-19,,0.95
P000517,VEH000170,REGISTERED_OWNER,2023-05-15,,0.95
P000523,VEH000171,REGISTERED_OWNER,2024-10-22,,0.95
P000525,VEH000172,REGISTERED_OWNER,2015-07-09,,0.95
P000527,VEH000173,REGISTERED_OWNER,2016-11-10,,0.95
P000528,VEH000174,REGISTERED_OWNER,2016-08-25,,0.95
P000532,VEH000175,REGISTERED_OWNER,2015-08-09,,0.95
P000534,VEH000176,REGISTERED_OWNER,2012-07-11,,0.95
P000535,VEH000177,REGISTERED_OWNER,2020-01-24,,0.95
P000537,VEH000178,REGISTERED_OWNER,2016-02-04,,0.95
P000543,VEH000179,REGISTERED_OWNER,2025-05-06,,0.95
P000548,VEH000180,REGISTERED_OWNER,2017-01-09,,0.95
P000549,VEH000181,REGISTERED_OWNER,2018-07-07,,0.95
P000550,VEH000182,REGISTERED_OWNER,2023-12-25,,0.95
P000553,VEH000183,REGISTERED_OWNER,2014-11-10,,0.95
P000556,VEH000184,REGISTERED_OWNER,2025-03-30,,0.95
P000557,VEH000185,REGISTERED_OWNER,2018-05-29,,0.95
P000564,VEH000186,REGISTERED_OWNER,2013-09-06,,0.95
P000567,VEH000187,REGISTERED_OWNER,2018-09-29,,0.95
P000570,VEH000188,REGISTERED_OWNER,2014-08-09,,0.95
P000578,VEH000189,REGISTERED_OWNER,2023-11-27,,0.95
P000580,VEH000190,REGISTERED_OWNER,2016-06-06,,0.95
P000586,VEH000191,REGISTERED_OWNER,2013-12-22,,0.95
P000590,VEH000192,REGISTERED_OWNER,2023-06-05,,0.95
P000591,VEH000193,REGISTERED_OWNER,2017-04-17,,0.95
P000596,VEH000194,REGISTERED_OWNER,2017-06-27,,0.95
P000597,VEH000195,REGISTERED_OWNER,2018-01-11,,0.95
P000602,VEH000196,REGISTERED_OWNER,2024-11-04,,0.95
P000603,VEH000197,REGISTERED_OWNER,2015-12-23,,0.95
P000604,VEH000198,REGISTERED_OWNER,2023-07-06,,0.95
P000606,VEH000199,REGISTERED_OWNER,2023-07-15,,0.95
P000609,VEH000200,REGISTERED_OWNER,2025-01-09,,0.95
P000610,VEH000201,REGISTERED_OWNER,2026-02-27,,0.95
P000612,VEH000202,REGISTERED_OWNER,2016-09-17,,0.95
P000613,VEH000203,REGISTERED_OWNER,2020-06-05,,0.95
P000614,VEH000204,REGISTERED_OWNER,2023-05-16,,0.95
P000618,VEH000205,REGISTERED_OWNER,2024-12-27,,0.95
P000620,VEH000206,REGISTERED_OWNER,2020-02-28,,0.95
P000627,VEH000207,REGISTERED_OWNER,2016-04-28,,0.95
P000631,VEH000208,REGISTERED_OWNER,2025-02-18,,0.95
P000634,VEH000209,REGISTERED_OWNER,2014-08-25,,0.95
P000637,VEH000210,REGISTERED_OWNER,2020-01-13,,0.95
P000639,VEH000211,REGISTERED_OWNER,2021-05-15,,0.95
P000643,VEH000212,REGISTERED_OWNER,2013-08-15,,0.95
P000644,VEH000213,REGISTERED_OWNER,2015-03-20,,0.95
P000645,VEH000214,REGISTERED_OWNER,2023-12-04,,0.95
P000651,VEH000215,REGISTERED_OWNER,2012-12-04,,0.95
P000652,VEH000216,REGISTERED_OWNER,2021-12-23,,0.95
P000653,VEH000217,REGISTERED_OWNER,2022-07-07,,0.95
P000654,VEH000218,REGISTERED_OWNER,2021-12-06,,0.95
P000655,VEH000219,REGISTERED_OWNER,2012-11-27,,0.95
P000657,VEH000220,REGISTERED_OWNER,2015-02-10,,0.95
P000658,VEH000221,REGISTERED_OWNER,2024-12-04,,0.95
P000659,VEH000222,REGISTERED_OWNER,2017-08-05,,0.95
P000660,VEH000223,REGISTERED_OWNER,2022-09-29,,0.95
P000663,VEH000224,REGISTERED_OWNER,2013-07-10,,0.95
P000664,VEH000225,REGISTERED_OWNER,2025-10-11,,0.95
P000669,VEH000226,REGISTERED_OWNER,2024-09-09,,0.95
P000671,VEH000227,REGISTERED_OWNER,2023-07-01,,0.95
P000677,VEH000228,REGISTERED_OWNER,2022-11-23,,0.95
P000679,VEH000229,REGISTERED_OWNER,2025-05-07,,0.95
P000680,VEH000230,REGISTERED_OWNER,2026-04-07,,0.95
P000681,VEH000231,REGISTERED_OWNER,2012-08-31,,0.95
P000683,VEH000232,REGISTERED_OWNER,2018-10-24,,0.95
P000685,VEH000233,REGISTERED_OWNER,2019-09-16,,0.95
P000687,VEH000234,REGISTERED_OWNER,2013-10-15,,0.95
P000690,VEH000235,REGISTERED_OWNER,2017-08-01,,0.95
P000691,VEH000236,REGISTERED_OWNER,2023-06-22,,0.95
P000695,VEH000237,REGISTERED_OWNER,2016-07-28,,0.95
P000697,VEH000238,REGISTERED_OWNER,2019-12-02,,0.95
P000705,VEH000239,REGISTERED_OWNER,2014-12-15,,0.95
P000706,VEH000240,REGISTERED_OWNER,2013-04-16,,0.95
P000711,VEH000241,REGISTERED_OWNER,2025-02-13,,0.95
P000719,VEH000242,REGISTERED_OWNER,2024-06-18,,0.95
P000721,VEH000243,REGISTERED_OWNER,2025-06-20,,0.95
P000724,VEH000244,REGISTERED_OWNER,2022-02-20,,0.95
P000725,VEH000245,REGISTERED_OWNER,2016-06-11,,0.95
P000727,VEH000246,REGISTERED_OWNER,2023-09-04,,0.95
P000745,VEH000247,REGISTERED_OWNER,2021-06-23,,0.95
P000747,VEH000248,REGISTERED_OWNER,2017-12-12,,0.95
P000748,VEH000249,REGISTERED_OWNER,2021-09-15,,0.95
P000749,VEH000250,REGISTERED_OWNER,2021-08-07,,0.95
P000750,VEH000251,REGISTERED_OWNER,2016-03-19,,0.95
P000751,VEH000252,REGISTERED_OWNER,2016-03-07,,0.95
P000755,VEH000253,REGISTERED_OWNER,2016-03-19,,0.95
P000759,VEH000254,REGISTERED_OWNER,2012-09-17,,0.95
P000760,VEH000255,REGISTERED_OWNER,2019-09-23,,0.95
P000761,VEH000256,REGISTERED_OWNER,2014-05-22,,0.95
P000763,VEH000257,REGISTERED_OWNER,2024-06-09,,0.95
P000765,VEH000258,REGISTERED_OWNER,2017-07-20,,0.95
P000767,VEH000259,REGISTERED_OWNER,2021-10-02,,0.95
P000769,VEH000260,REGISTERED_OWNER,2021-07-02,,0.95
P000776,VEH000261,REGISTERED_OWNER,2015-01-21,,0.95
P000778,VEH000262,REGISTERED_OWNER,2022-12-01,,0.95
P000781,VEH000263,REGISTERED_OWNER,2024-07-28,,0.95
P000783,VEH000264,REGISTERED_OWNER,2018-06-05,,0.95
P000784,VEH000265,REGISTERED_OWNER,2014-01-28,,0.95
P000787,VEH000266,REGISTERED_OWNER,2025-07-26,,0.95
P000791,VEH000267,REGISTERED_OWNER,2017-07-03,,0.95
P000799,VEH000268,REGISTERED_OWNER,2019-11-03,,0.95
P000806,VEH000269,REGISTERED_OWNER,2019-08-21,,0.95
P000808,VEH000270,REGISTERED_OWNER,2014-12-24,,0.95
P000810,VEH000271,REGISTERED_OWNER,2012-07-17,,0.95
P000812,VEH000272,REGISTERED_OWNER,2014-11-19,,0.95
P000813,VEH000273,REGISTERED_OWNER,2014-01-07,,0.95
P000815,VEH000274,REGISTERED_OWNER,2023-08-25,,0.95
P000816,VEH000275,REGISTERED_OWNER,2026-05-24,,0.95
P000817,VEH000276,REGISTERED_OWNER,2024-10-27,,0.95
P000819,VEH000277,REGISTERED_OWNER,2018-11-12,,0.95
P000825,VEH000278,REGISTERED_OWNER,2021-08-08,,0.95
P000833,VEH000279,REGISTERED_OWNER,2022-10-22,,0.95
P000835,VEH000280,REGISTERED_OWNER,2023-04-05,,0.95
P000837,VEH000281,REGISTERED_OWNER,2014-10-28,,0.95
P000845,VEH000282,REGISTERED_OWNER,2019-06-29,,0.95
P000846,VEH000283,REGISTERED_OWNER,2019-04-22,,0.95
P000851,VEH000284,REGISTERED_OWNER,2015-04-19,,0.95
P000854,VEH000285,REGISTERED_OWNER,2016-12-20,,0.95
P000857,VEH000286,REGISTERED_OWNER,2025-02-18,,0.95
P000858,VEH000287,REGISTERED_OWNER,2022-01-05,,0.95
P000863,VEH000288,REGISTERED_OWNER,2025-07-05,,0.95
P000874,VEH000289,REGISTERED_OWNER,2019-04-09,,0.95
P000876,VEH000290,REGISTERED_OWNER,2023-01-13,,0.95
P000877,VEH000291,REGISTERED_OWNER,2018-06-04,,0.95
P000879,VEH000292,REGISTERED_OWNER,2014-06-10,,0.95
P000880,VEH000293,REGISTERED_OWNER,2018-09-07,,0.95
P000881,VEH000294,REGISTERED_OWNER,2025-12-18,,0.95
P000882,VEH000295,REGISTERED_OWNER,2015-10-29,,0.95
P000883,VEH000296,REGISTERED_OWNER,2023-12-18,,0.95
P000885,VEH000297,REGISTERED_OWNER,2021-07-09,,0.95
P000890,VEH000298,REGISTERED_OWNER,2015-05-02,,0.95
P000891,VEH000299,REGISTERED_OWNER,2020-04-14,,0.95
P000892,VEH000300,REGISTERED_OWNER,2014-07-22,,0.95
P000895,VEH000301,REGISTERED_OWNER,2015-09-18,,0.95
P000896,VEH000302,REGISTERED_OWNER,2020-06-19,,0.95
P000897,VEH000303,REGISTERED_OWNER,2016-10-27,,0.95
P000900,VEH000304,REGISTERED_OWNER,2018-03-22,,0.95
P000903,VEH000305,REGISTERED_OWNER,2014-03-25,,0.95
P000904,VEH000306,REGISTERED_OWNER,2023-08-02,,0.95
P000910,VEH000307,REGISTERED_OWNER,2020-01-09,,0.95
P000914,VEH000308,REGISTERED_OWNER,2016-06-07,,0.95
P000920,VEH000309,REGISTERED_OWNER,2025-10-31,,0.95
P000925,VEH000310,REGISTERED_OWNER,2012-11-10,,0.95
P000926,VEH000311,REGISTERED_OWNER,2014-03-06,,0.95
P000930,VEH000312,REGISTERED_OWNER,2019-05-23,,0.95
P000931,VEH000313,REGISTERED_OWNER,2017-04-22,,0.95
P000932,VEH000314,REGISTERED_OWNER,2022-03-12,,0.95
P000933,VEH000315,REGISTERED_OWNER,2022-06-19,,0.95
P000940,VEH000316,REGISTERED_OWNER,2014-10-10,,0.95
P000941,VEH000317,REGISTERED_OWNER,2015-02-19,,0.95
P000942,VEH000318,REGISTERED_OWNER,2021-12-22,,0.95
P000945,VEH000319,REGISTERED_OWNER,2022-08-24,,0.95
P000946,VEH000320,REGISTERED_OWNER,2022-10-10,,0.95
P000947,VEH000321,REGISTERED_OWNER,2019-09-16,,0.95
P000950,VEH000322,REGISTERED_OWNER,2024-12-21,,0.95
P000953,VEH000323,REGISTERED_OWNER,2024-02-15,,0.95
P000954,VEH000324,REGISTERED_OWNER,2025-05-11,,0.95
P000964,VEH000325,REGISTERED_OWNER,2016-10-31,,0.95
P000965,VEH000326,REGISTERED_OWNER,2023-10-15,,0.95
P000966,VEH000327,REGISTERED_OWNER,2022-01-31,,0.95
P000967,VEH000328,REGISTERED_OWNER,2016-01-25,,0.95
P000968,VEH000329,REGISTERED_OWNER,2013-06-26,,0.95
P000969,VEH000330,REGISTERED_OWNER,2014-02-18,,0.95
P000976,VEH000331,REGISTERED_OWNER,2018-05-24,,0.95
P000978,VEH000332,REGISTERED_OWNER,2023-05-22,,0.95
P000979,VEH000333,REGISTERED_OWNER,2013-08-07,,0.95
P000981,VEH000334,REGISTERED_OWNER,2022-05-13,,0.95
P000982,VEH000335,REGISTERED_OWNER,2019-02-12,,0.95
P000985,VEH000336,REGISTERED_OWNER,2014-08-12,,0.95
P000994,VEH000337,REGISTERED_OWNER,2012-08-05,,0.95
P000995,VEH000338,REGISTERED_OWNER,2019-11-10,,0.95
