person_id,phone_id,usage_type,from_date,to_date,confidence
P000029,PH000084,USED_NOT_REGISTERED,2018-03-25,2018-12-20,0.96
P000029,PH000085,REGISTERED,2022-04-19,,0.93
P000029,PH000086,USED_NOT_REGISTERED,2023-07-09,,0.72
P000030,PH000087,REGISTERED,2023-08-20,,0.95
P000030,PH000088,USED_NOT_REGISTERED,2026-03-17,2026-12-31,0.74
P000030,PH000089,USED_NOT_REGISTERED,2025-05-01,2026-02-02,0.93
P000030,PH000090,REGISTERED,2019-09-30,,0.96
P000031,PH000091,REGISTERED,2025-10-27,,0.89
P000031,PH000092,USED_NOT_REGISTERED,2021-07-07,2022-02-14,0.94
P000031,PH000093,USED_NOT_REGISTERED,2026-01-17,2026-06-09,0.73
P000031,PH000094,REGISTERED,2023-10-25,,0.95
P000032,PH000095,REGISTERED,2023-01-08,,0.82
P000033,PH000096,REGISTERED,2018-07-11,,0.75
P000033,PH000097,USED_NOT_REGISTERED,2022-05-02,,0.96
P000034,PH000098,REGISTERED,2022-08-27,,0.8
P000034,PH000099,USED_NOT_REGISTERED,2025-08-24,2025-10-25,0.75
P000034,PH000100,REGISTERED,2024-09-14,,0.75
P000034,PH000101,REGISTERED,2024-06-27,,0.93
P000035,PH000102,REGISTERED,2019-12-12,,0.75
P000035,PH000103,USED_NOT_REGISTERED,2023-01-14,2023-11-06,0.8
P000035,PH000104,USED_NOT_REGISTERED,2022-08-02,2023-05-28,0.75
P000035,PH000105,USED_NOT_REGISTERED,2021-11-11,,0.94
P000036,PH000106,REGISTERED,2022-10-19,,0.76
P000036,PH000107,USED_NOT_REGISTERED,2019-03-22,2019-07-02,0.77
P000037,PH000108,REGISTERED,2026-03-02,,0.85
P000037,PH000109,USED_NOT_REGISTERED,2025-04-23,2025-06-14,0.85
P000038,PH000110,REGISTERED,2022-04-29,,0.81
P000038,PH000111,USED_NOT_REGISTERED,2023-01-12,,0.91
P000038,PH000112,REGISTERED,2020-10-25,,0.76
P000039,PH000113,REGISTERED,2025-11-16,,0.73
P000039,PH000114,USED_NOT_REGISTERED,2023-11-20,,0.84
P000039,PH000115,USED_NOT_REGISTERED,2019-07-20,2020-05-18,0.97
P000039,PH000116,USED_NOT_REGISTERED,2021-11-04,,0.98
P000040,PH000117,REGISTERED,2018-09-07,,0.99
P000041,PH000118,REGISTERED,2025-07-24,,0.77
P000042,PH000119,REGISTERED,2025-02-28,,0.9
P000042,PH000120,USED_NOT_REGISTERED,2024-10-01,2025-07-04,0.79
P000043,PH000121,REGISTERED,2025-02-09,,0.92
P000043,PH000122,USED_NOT_REGISTERED,2025-10-03,,0.85
P000043,PH000123,REGISTERED,2023-09-19,,0.9
P000044,PH000124,REGISTERED,2021-10-31,,0.8
P000044,PH000125,REGISTERED,2022-04-19,,0.85
P000044,PH000126,USED_NOT_REGISTERED,2018-07-17,2019-06-26,0.9
P000044,PH000127,USED_NOT_REGISTERED,2026-03-29,2026-12-07,0.88
P000044,PH000128,REGISTERED,2026-04-29,,0.93
P000045,PH000129,REGISTERED,2018-12-16,,0.96
P000045,PH000130,USED_NOT_REGISTERED,2024-10-21,2025-04-25,0.98
P000046,PH000131,REGISTERED,2023-12-04,,0.76
P000046,PH000132,USED_NOT_REGISTERED,2020-04-22,,0.95
P000046,PH000133,USED_NOT_REGISTERED,2021-09-18,2021-11-06,0.83
P000046,PH000134,USED_NOT_REGISTERED,2023-02-26,2023-12-17,0.96
P000047,PH000135,REGISTERED,2019-06-15,,0.72
P000047,PH000136,REGISTERED,2018-01-01,,0.92
P000047,PH000137,REGISTERED,2020-04-19,,0.8
P000047,PH000138,REGISTERED,2019-09-26,,0.88
P000048,PH000139,REGISTERED,2025-10-15,,0.9
P000048,PH000140,REGISTERED,2024-12-06,,0.96
P000048,PH000141,USED_NOT_REGISTERED,2020-05-29,,0.86
P000049,PH000142,REGISTERED,2024-02-13,,0.86
P000049,PH000143,USED_NOT_REGISTERED,2023-09-03,2024-09-29,0.76
P000049,PH000144,USED_NOT_REGISTERED,2022-02-26,,0.84
P000050,PH000145,REGISTERED,2020-05-02,,0.76
P000050,PH000146,USED_NOT_REGISTERED,2022-04-11,2023-05-04,0.72
P000050,PH000147,USED_NOT_REGISTERED,2025-05-11,,0.86
P000050,PH000148,USED_NOT_REGISTERED,2020-12-03,2021-07-30,0.84
P000051,PH000149,REGISTERED,2026-04-12,,0.81
P000051,PH000150,REGISTERED,2023-06-24,,0.96
P000051,PH000151,USED_NOT_REGISTERED,2024-09-07,2025-03-26,0.74
P000052,PH000152,REGISTERED,2020-03-24,,0.88
P000052,PH000153,USED_NOT_REGISTERED,2022-08-12,,0.83
P000052,PH000154,REGISTERED,2020-08-11,,0.92
P000053,PH000155,REGISTERED,2021-06-06,,0.95
P000053,PH000156,REGISTERED,2021-02-14,,0.84
P000053,PH000157,USED_NOT_REGISTERED,2018-02-17,2018-05-11,0.84
P000053,PH000158,REGISTERED,2019-09-11,,0.9
P000054,PH000159,REGISTERED,2019-05-03,,0.94
P000055,PH000160,REGISTERED,2019-04-12,,0.91
P000055,PH000161,REGISTERED,2019-06-26,,0.86
P000055,PH000162,USED_NOT_REGISTERED,2020-10-21,,0.96
P000055,PH000163,USED_NOT_REGISTERED,2025-03-23,,0.89
P000056,PH000164,REGISTERED,2020-03-27,,0.84
P000056,PH000165,USED_NOT_REGISTERED,2021-09-25,2022-03-23,0.84
P000057,PH000166,REGISTERED,2020-03-27,,0.74
P000057,PH000167,USED_NOT_REGISTERED,2022-03-29,2023-04-27,0.96
P000057,PH000168,USED_NOT_REGISTERED,2026-04-05,2026-09-26,0.86
P000057,PH000169,REGISTERED,2020-02-27,,0.86
P000058,PH000170,REGISTERED,2026-01-25,,0.88
P000058,PH000171,USED_NOT_REGISTERED,2018-11-09,,0.92
P000058,PH000172,REGISTERED,2020-02-26,,0.8
P000059,PH000173,REGISTERED,2022-06-18,,0.96
P000059,PH000174,USED_NOT_REGISTERED,2019-06-01,,0.79
P000060,PH000175,REGISTERED,2023-07-18,,0.76
P000061,PH000176,REGISTERED,2022-09-16,,0.77
P000062,PH000177,REGISTERED,2019-07-16,,0.79
P000062,PH000178,REGISTERED,2023-08-19,,0.92
P000062,PH000179,USED_NOT_REGISTERED,2023-01-17,2024-01-10,0.84
P000062,PH000180,REGISTERED,2024-11-27,,0.74
P000063,PH000181,REGISTERED,2023-01-01,,0.94
P000063,PH000182,REGISTERED,2024-10-03,,0.74
P000064,PH000183,REGISTERED,2024-08-04,,0.84
P000064,PH000184,USED_NOT_REGISTERED,2025-04-16,,0.76
P000064,PH000185,USED_NOT_REGISTERED,2025-09-13,2026-05-22,0.92
P000065,PH000186,REGISTERED,2021-04-15,,0.76
P000065,PH000187,USED_NOT_REGISTERED,2020-06-30,,0.97
P000065,PH000188,REGISTERED,2022-09-09,,0.8
P000065,PH000189,REGISTERED,2018-10-26,,0.81
P000066,PH000190,REGISTERED,2025-02-16,,0.77
P000066,PH000191,USED_NOT_REGISTERED,2022-02-02,2022-09-14,0.77
P000066,PH000192,USED_NOT_REGISTERED,2022-07-28,2023-01-01,0.94
P000066,PH000193,REGISTERED,2019-03-06,,0.99
P000067,PH000194,REGISTERED,2018-08-11,,0.74
P000067,PH000195,USED_NOT_REGISTERED,2020-03-19,,0.76
P000067,PH000196,USED_NOT_REGISTERED,2020-02-01,2021-01-11,0.86
P000068,PH000197,REGISTERED,2022-02-21,,0.75
P000068,PH000198,REGISTERED,2021-07-29,,0.93
P000069,PH000199,REGISTERED,2021-06-18,,0.85
P000069,PH000200,USED_NOT_REGISTERED,2022-09-21,2022-11-24,0.83
P000070,PH000201,REGISTERED,2020-10-27,,0.94
P000070,PH000202,REGISTERED,2021-02-22,,0.77
P000070,PH000203,REGISTERED,2018-07-03,,0.89
P000071,PH000204,REGISTERED,2019-09-24,,0.81
P000072,PH000205,REGISTERED,2020-02-13,,0.75
P000073,PH000206,REGISTERED,2022-06-18,,0.93
P000073,PH000207,REGISTERED,2019-12-20,,0.97
P000073,PH000208,USED_NOT_REGISTERED,2023-03-16,,0.73
P000074,PH000209,REGISTERED,2018-11-22,,0.74
P000075,PH000210,REGISTERED,2019-05-25,,0.81
P000075,PH000211,REGISTERED,2022-09-30,,0.94
P000075,PH000212,REGISTERED,2025-07-01,,0.93
P000075,PH000213,REGISTERED,2018-06-17,,0.83
P000076,PH000214,REGISTERED,2019-10-27,,0.86
P000076,PH000215,REGISTERED,2019-06-28,,0.87
P000077,PH000216,REGISTERED,2023-11-29,,0.77
P000077,PH000217,USED_NOT_REGISTERED,2020-01-10,,0.78
P000077,PH000218,USED_NOT_REGISTERED,2019-02-02,2019-11-15,0.97
P000078,PH000219,REGISTERED,2023-07-13,,0.78
P000078,PH000220,USED_NOT_REGISTERED,2021-10-22,2021-11-23,0.75
P000078,PH000221,REGISTERED,2018-11-15,,0.82
P000078,PH000222,USED_NOT_REGISTERED,2023-02-05,2023-05-20,0.81
P000079,PH000223,REGISTERED,2021-12-13,,0.78
P000079,PH000224,USED_NOT_REGISTERED,2023-05-10,2024-03-19,0.75
P000079,PH000225,REGISTERED,2024-10-03,,0.95
P000080,PH000226,REGISTERED,2018-01-14,,0.75
P000081,PH000227,REGISTERED,2020-05-30,,0.91
P000081,PH000228,USED_NOT_REGISTERED,2019-02-15,2019-08-16,0.94
P000081,PH000229,REGISTERED,2025-07-10,,0.96
P000081,PH000230,USED_NOT_REGISTERED,2018-11-20,,0.96
P000081,PH000231,USED_NOT_REGISTERED,2022-02-20,,0.83
P000081,PH000232,USED_NOT_REGISTERED,2023-01-03,,0.75
P000082,PH000233,REGISTERED,2025-06-25,,0.84
P000082,PH000234,USED_NOT_REGISTERED,2021-08-18,,0.89
P000082,PH000235,REGISTERED,2024-02-29,,0.89
P000083,PH000236,REGISTERED,2018-03-20,,0.9
P000083,PH000237,USED_NOT_REGISTERED,2026-06-10,2027-03-18,0.85
P000083,PH000238,REGISTERED,2023-09-04,,0.75
P000084,PH000239,REGISTERED,2026-04-12,,0.8
P000085,PH000240,REGISTERED,2022-04-16,,0.88
P000085,PH000241,REGISTERED,2026-05-28,,0.83
P000085,PH000242,USED_NOT_REGISTERED,2022-11-20,2023-08-18,0.84
P000085,PH000243,REGISTERED,2021-04-18,,0.98
P000086,PH000244,REGISTERED,2023-04-06,,0.9
P000086,PH000245,USED_NOT_REGISTERED,2018-11-25,2019-01-09,0.76
P000086,PH000246,REGISTERED,2020-05-27,,0.75
P000086,PH000247,REGISTERED,2024-06-23,,0.95
P000087,PH000248,REGISTERED,2020-04-05,,0.89
P000088,PH000249,REGISTERED,2026-04-24,,0.78
P000088,PH000250,USED_NOT_REGISTERED,2025-10-06,2026-05-26,0.92
P000088,PH000251,USED_NOT_REGISTERED,2019-08-02,2019-12-16,0.86
P000088,PH000252,REGISTERED,2018-02-03,,0.85
P000088,PH000253,USED_NOT_REGISTERED,2021-03-21,,0.76
P000089,PH000254,REGISTERED,2025-05-10,,0.82
P000089,PH000255,USED_NOT_REGISTERED,2022-11-02,,0.84
P000089,PH000256,REGISTERED,2023-10-29,,0.95
P000090,PH000257,REGISTERED,2024-01-12,,0.92
P000090,PH000258,REGISTERED,2018-03-16,,0.78
P000090,PH000259,USED_NOT_REGISTERED,2025-02-03,,0.83
P000090,PH000260,USED_NOT_REGISTERED,2024-03-12,,0.75
P000091,PH000261,REGISTERED,2019-12-01,,0.91
P000091,PH000262,REGISTERED,2021-05-31,,0.94
P000091,PH000263,USED_NOT_REGISTERED,2019-05-26,2019-11-05,0.72
P000091,PH000264,REGISTERED,2018-12-23,,0.97
P000091,PH000265,USED_NOT_REGISTERED,2025-09-06,2026-05-21,0.9
P000092,PH000266,REGISTERED,2018-08-05,,0.73
P000092,PH000267,USED_NOT_REGISTERED,2021-12-31,,0.94
P000093,PH000268,REGISTERED,2022-09-17,,0.77
P000093,PH000269,USED_NOT_REGISTERED,2019-07-27,2020-02-13,0.81
P000093,PH000270,REGISTERED,2019-03-12,,0.86
P000093,PH000271,USED_NOT_REGISTERED,2019-12-18,2020-06-22,0.81
P000094,PH000272,REGISTERED,2019-06-19,,0.95
P000095,PH000273,REGISTERED,2025-03-17,,0.72
P000095,PH000274,USED_NOT_REGISTERED,2020-09-18,2021-02-19,0.95
P000095,PH000275,USED_NOT_REGISTERED,2018-04-18,2019-04-30,0.75
P000096,PH000276,REGISTERED,2022-08-16,,0.85
P000096,PH000277,USED_NOT_REGISTERED,2021-06-07,,0.95
P000097,PH000278,REGISTERED,2018-10-16,,0.73
P000097,PH000279,USED_NOT_REGISTERED,2020-01-24,2020-07-17,0.94
P000097,PH000280,USED_NOT_REGISTERED,2024-05-17,2025-05-27,0.76
P000097,PH000281,USED_NOT_REGISTERED,2020-04-18,,0.97
P000097,PH000282,REGISTERED,2020-10-04,,0.76
P000098,PH000283,REGISTERED,2024-10-09,,0.98
P000098,PH000284,USED_NOT_REGISTERED,2023-09-21,2024-02-21,0.79
P000099,PH000285,REGISTERED,2024-12-08,,0.9
P000100,PH000286,REGISTERED,2023-05-26,,0.93
P000100,PH000287,REGISTERED,2018-12-07,,0.81
P000100,PH000288,USED_NOT_REGISTERED,2021-12-02,,0.87
P000101,PH000289,REGISTERED,2023-10-17,,0.94
P000101,PH000290,REGISTERED,2021-06-22,,0.97
P000101,PH000291,USED_NOT_REGISTERED,2023-08-17,2024-02-04,0.89
P000101,PH000292,REGISTERED,2026-02-01,,0.91
P000102,PH000293,REGISTERED,2025-02-08,,0.9
P000102,PH000294,REGISTERED,2024-12-01,,0.8
P000102,PH000295,REGISTERED,2025-06-17,,0.86
P000102,PH000296,USED_NOT_REGISTERED,2022-04-14,,0.74
P000103,PH000297,REGISTERED,2024-09-26,,0.87
P000103,PH000298,REGISTERED,2020-09-14,,0.79
P000103,PH000299,USED_NOT_REGISTERED,2019-08-04,,0.98
P000104,PH000300,REGISTERED,2020-07-30,,0.78
P000104,PH000301,USED_NOT_REGISTERED,2020-11-16,2021-10-22,0.96
P000105,PH000302,REGISTERED,2021-05-07,,0.9
P000105,PH000303,USED_NOT_REGISTERED,2023-05-05,2023-08-23,0.84
P000106,PH000304,REGISTERED,2022-05-26,,0.72
P000107,PH000305,REGISTERED,2018-05-27,,0.83
P000107,PH000306,REGISTERED,2025-07-28,,0.92
P000107,PH000307,REGISTERED,2020-02-28,,0.89
P000108,PH000308,REGISTERED,2019-05-07,,0.93
P000108,PH000309,USED_NOT_REGISTERED,2020-03-22,2021-03-31,0.95
P000108,PH000310,REGISTERED,2022-12-18,,0.73
P000108,PH000311,USED_NOT_REGISTERED,2023-07-06,2023-12-27,0.79
P000109,PH000312,REGISTERED,2025-10-21,,0.92
P000109,PH000313,USED_NOT_REGISTERED,2019-06-30,,0.95
P000109,PH000314,USED_NOT_REGISTERED,2026-05-04,2027-01-09,0.92
P000109,PH000315,USED_NOT_REGISTERED,2023-11-11,2024-11-10,0.89
P000110,PH000316,REGISTERED,2019-09-06,,0.83
P000110,PH000317,REGISTERED,2022-01-31,,0.86
P000110,PH000318,REGISTERED,2023-09-16,,0.9
P000111,PH000319,REGISTERED,2023-07-06,,0.91
P000112,PH000320,REGISTERED,2021-07-27,,0.79
P000112,PH000321,REGISTERED,2024-02-23,,0.73
P000112,PH000322,USED_NOT_REGISTERED,2023-08-20,2023-12-06,0.88
P000112,PH000323,REGISTERED,2018-02-16,,0.84
P000113,PH000324,REGISTERED,2024-10-02,,0.94
P000113,PH000325,USED_NOT_REGISTERED,2024-07-09,,0.92
P000113,PH000326,USED_NOT_REGISTERED,2021-08-05,,0.91
P000114,PH000327,REGISTERED,2022-06-17,,0.74
P000115,PH000328,REGISTERED,2023-03-17,,0.99
P000116,PH000329,REGISTERED,2024-07-12,,0.93
P000116,PH000330,USED_NOT_REGISTERED,2019-06-21,,0.82
P000117,PH000331,REGISTERED,2022-03-30,,0.79
P000117,PH000332,REGISTERED,2025-07-20,,0.96
P000118,PH000333,REGISTERED,2025-08-13,,0.8
P000118,PH000334,USED_NOT_REGISTERED,2025-11-05,2026-05-27,0.78
P000118,PH000335,REGISTERED,2021-08-14,,0.92
P000119,PH000336,REGISTERED,2018-10-13,,0.78
P000120,PH000337,REGISTERED,2025-09-30,,0.9
P000120,PH000338,USED_NOT_REGISTERED,2026-03-05,2026-07-11,0.82
P000120,PH000339,REGISTERED,2019-10-29,,0.86
P000121,PH000340,REGISTERED,2020-07-30,,0.81
P000121,PH000341,REGISTERED,2021-02-20,,0.8
P000121,PH000342,REGISTERED,2019-04-27,,0.91
P000122,PH000343,REGISTERED,2025-11-10,,0.98
P000122,PH000344,REGISTERED,2021-08-12,,0.9
P000123,PH000345,REGISTERED,2023-09-14,,0.73
P000124,PH000346,REGISTERED,2020-01-26,,0.76
P000125,PH000347,REGISTERED,2020-01-02,,0.98
P000125,PH000348,REGISTERED,2020-11-16,,0.92
P000125,PH000349,USED_NOT_REGISTERED,2019-07-10,2019-11-16,0.87
P000125,PH000350,USED_NOT_REGISTERED,2022-12-04,2023-02-24,0.93
P000125,PH000351,REGISTERED,2023-06-29,,0.73
P000126,PH000352,REGISTERED,2023-05-13,,0.79
P000126,PH000353,REGISTERED,2019-02-11,,0.97
P000126,PH000354,REGISTERED,2023-10-03,,0.92
P000126,PH000355,USED_NOT_REGISTERED,2024-09-05,2025-07-31,0.87
P000127,PH000356,REGISTERED,2022-04-16,,0.96
P000127,PH000357,USED_NOT_REGISTERED,2023-06-21,,0.76
P000127,PH000358,REGISTERED,2018-09-26,,0.99
P000127,PH000359,USED_NOT_REGISTERED,2021-08-03,2022-06-21,0.85
P000128,PH000360,REGISTERED,2024-07-09,,0.87
P000128,PH000361,USED_NOT_REGISTERED,2024-01-09,2024-05-08,0.76
P000128,PH000362,REGISTERED,2021-04-23,,0.82
P000128,PH000363,USED_NOT_REGISTERED,2024-10-18,2024-12-28,0.75
P000129,PH000364,REGISTERED,2020-12-11,,0.95
P000130,PH000365,REGISTERED,2026-04-18,,0.87
P000130,PH000366,REGISTERED,2024-08-03,,0.95
P000130,PH000367,USED_NOT_REGISTERED,2023-11-11,2024-11-14,0.83
P000131,PH000368,REGISTERED,2021-01-04,,0.98
P000132,PH000369,REGISTERED,2019-05-09,,0.93
P000132,PH000370,USED_NOT_REGISTERED,2022-05-02,,0.98
P000132,PH000371,REGISTERED,2023-08-09,,0.91
P000133,PH000372,REGISTERED,2019-02-26,,0.86
P000133,PH000373,REGISTERED,2025-04-19,,0.96
P000133,PH000374,USED_NOT_REGISTERED,2023-05-08,2024-01-30,0.8
P000133,PH000375,REGISTERED,2020-05-10,,0.89
P000134,PH000376,REGISTERED,2021-10-02,,0.9
P000134,PH000377,USED_NOT_REGISTERED,2021-05-07,2022-01-25,0.93
P000135,PH000378,REGISTERED,2023-05-25,,0.75
P000136,PH000379,REGISTERED,2025-12-01,,0.95
P000137,PH000380,REGISTERED,2021-03-12,,0.76
P000137,PH000381,REGISTERED,2019-07-30,,0.77
P000137,PH000382,USED_NOT_REGISTERED,2023-01-07,,0.96
P000137,PH000383,REGISTERED,2026-01-01,,0.95
P000138,PH000384,REGISTERED,2018-05-22,,0.94
P000138,PH000385,USED_NOT_REGISTERED,2024-02-27,,0.96
P000139,PH000386,REGISTERED,2021-08-03,,0.85
P000140,PH000387,REGISTERED,2025-07-04,,0.88
P000140,PH000388,USED_NOT_REGISTERED,2026-06-09,2026-09-09,0.81
P000140,PH000389,REGISTERED,2022-10-27,,0.82
P000140,PH000390,REGISTERED,2021-12-16,,0.95
P000140,PH000391,REGISTERED,2026-05-02,,0.72
P000141,PH000392,REGISTERED,2024-03-24,,0.98
P000141,PH000393,USED_NOT_REGISTERED,2019-03-12,2020-01-31,0.97
P000141,PH000394,REGISTERED,2025-02-10,,0.95
P000142,PH000395,REGISTERED,2021-08-10,,0.95
P000142,PH000396,USED_NOT_REGISTERED,2019-07-14,2019-09-20,0.85
P000143,PH000397,REGISTERED,2023-11-23,,0.88
P000144,PH000398,REGISTERED,2022-04-19,,0.84
P000144,PH000399,REGISTERED,2023-02-14,,0.89
P000145,PH000400,REGISTERED,2024-03-12,,0.95
P000145,PH000401,USED_NOT_REGISTERED,2023-08-02,,0.84
P000146,PH000402,REGISTERED,2020-06-08,,0.99
P000146,PH000403,REGISTERED,2018-04-18,,0.95
P000147,PH000404,REGISTERED,2022-11-29,,0.92
P000147,PH000405,USED_NOT_REGISTERED,2019-09-23,,0.94
P000147,PH000406,USED_NOT_REGISTERED,2020-07-19,2021-08-01,0.83
P000148,PH000407,REGISTERED,2026-06-18,,0.91
P000148,PH000408,USED_NOT_REGISTERED,2021-12-26,2022-06-24,0.93
P000148,PH000409,REGISTERED,2022-06-09,,0.85
P000148,PH000410,USED_NOT_REGISTERED,2023-08-23,2023-11-29,0.78
P000149,PH000411,REGISTERED,2022-04-20,,0.72
P000149,PH000412,USED_NOT_REGISTERED,2018-05-17,2018-07-28,0.76
P000149,PH000413,USED_NOT_REGISTERED,2020-03-23,,0.89
P000150,PH000414,REGISTERED,2023-05-11,,0.92
P000150,PH000415,USED_NOT_REGISTERED,2022-10-14,2023-10-29,0.97
P000150,PH000416,REGISTERED,2023-04-19,,0.74
P000151,PH000417,REGISTERED,2019-07-20,,0.89
P000151,PH000418,USED_NOT_REGISTERED,2025-03-05,2025-12-14,0.86
P000151,PH000419,USED_NOT_REGISTERED,2021-12-04,,0.91
P000152,PH000420,REGISTERED,2025-09-21,,0.89
P000152,PH000421,USED_NOT_REGISTERED,2021-11-09,2021-12-04,0.75
P000153,PH000422,REGISTERED,2020-03-03,,0.74
P000153,PH000423,REGISTERED,2024-02-03,,0.96
P000153,PH000424,USED_NOT_REGISTERED,2020-12-02,2021-11-16,0.9
P000154,PH000425,REGISTERED,2020-08-25,,0.8
P000154,PH000426,USED_NOT_REGISTERED,2019-04-08,,0.83
P000154,PH000427,REGISTERED,2023-08-20,,0.83
P000154,PH000428,REGISTERED,2020-02-04,,0.81
P000155,PH000429,REGISTERED,2023-10-04,,0.88
P000155,PH000430,USED_NOT_REGISTERED,2018-04-16,2019-01-01,0.74
P000155,PH000431,REGISTERED,2023-04-30,,0.8
P000155,PH000432,USED_NOT_REGISTERED,2019-05-16,2019-10-08,0.97
P000156,PH000433,REGISTERED,2022-03-08,,0.81
P000156,PH000434,REGISTERED,2026-05-26,,0.77
