colocation_id,person_a,person_b,location_id,area,city,observed_on,time_gap_minutes,source_type,confidence
COL000032,P000650,P000424,LOC000101,Ullal,Mangaluru,2025-03-24,80,TOWER_DUMP,0.55
COL000033,P000784,P000270,LOC000007,Mumbra,Thane,2022-06-19,104,TOWER_DUMP,0.83
COL000034,P000014,P000718,LOC000106,Nadakkavu,Kozhikode,2022-01-28,136,TOWER_DUMP,0.73
COL000035,P000763,P000555,LOC000003,Kurla,Mumbai,2019-02-28,22,TOWER_DUMP,0.5
COL000036,P000059,P000753,LOC000110,Jagatpur,Cuttack,2024-09-19,50,TOWER_DUMP,0.52
COL000037,P000576,P000853,LOC000038,Chandauti,Gaya,2020-02-10,140,TOWER_DUMP,0.49
COL000038,P000354,P000106,LOC000057,Mamdot,Ferozepur,2025-10-25,10,TOWER_DUMP,0.8
COL000039,P000516,P000425,LOC000107,Chavakkad,Thrissur,2019-06-09,177,TOWER_DUMP,0.76
COL000040,P000481,P000717,LOC000072,Varachha,Surat,2026-01-08,57,TOWER_DUMP,0.72
COL000041,P000798,P000670,LOC000003,Kurla,Mumbai,2025-04-28,178,TOWER_DUMP,0.49
COL000042,P000748,P000668,LOC000087,Bodhan,Nizamabad,2020-08-27,3,TOWER_DUMP,0.46
COL000043,P000875,P000802,LOC000014,Barshi,Solapur,2019-10-28,78,TOWER_DUMP,0.58
COL000044,P000420,P000342,LOC000093,Vyasarpadi,Chennai,2022-07-20,156,TOWER_DUMP,0.77
COL000045,P000720,P000567,LOC000125,Jwalapur,Haridwar,2022-09-01,166,TOWER_DUMP,0.76
COL000046,P000830,P000480,LOC000002,Dharavi,Mumbai,2023-02-01,78,TOWER_DUMP,0.55
COL000047,P000439,P000773,LOC000066,Nokha,Bikaner,2025-09-13,68,TOWER_DUMP,0.47
COL000048,P000111,P000750,LOC000023,Aminabad,Lucknow,2022-11-28,122,TOWER_DUMP,0.82
COL000049,P000548,P000572,LOC000103,Sandur,Ballari,2019-03-16,130,TOWER_DUMP,0.6
COL000050,P000818,P000300,LOC000107,Chavakkad,Thrissur,2025-08-29,160,TOWER_DUMP,0.66
COL000051,P000299,P000583,LOC000023,Aminabad,Lucknow,2024-04-15,127,TOWER_DUMP,0.72
COL000052,P000448,P000234,LOC000108,Thalassery,Kannur,2025-07-29,108,TOWER_DUMP,0.78
COL000053,P000132,P000565,LOC000071,Juhapura,Ahmedabad,2026-06-03,133,TOWER_DUMP,0.53
COL000054,P000824,P000140,LOC000022,Paharganj,New Delhi,2023-11-04,179,TOWER_DUMP,0.47
COL000055,P000745,P000425,LOC000064,Ballabgarh,Faridabad,2021-02-01,127,TOWER_DUMP,0.69
COL000056,P000790,P000750,LOC000063,Barwala,Hisar,2019-04-15,64,TOWER_DUMP,0.65
COL000057,P000390,P000419,LOC000108,Thalassery,Kannur,2022-06-13,77,TOWER_DUMP,0.54
COL000058,P000114,P000794,LOC000012,Panchavati,Nashik,2020-08-20,152,TOWER_DUMP,0.56
COL000059,P000785,P000540,LOC000063,Barwala,Hisar,2018-07-14,123,TOWER_DUMP,0.57
COL000060,P000196,P000866,LOC000073,Mundra,Kutch,2021-08-15,17,TOWER_DUMP,0.78
COL000061,P000481,P000192,LOC000091,Nandyal,Kurnool,2025-05-15,172,TOWER_DUMP,0.48
COL000062,P000132,P000437,LOC000100,Yeshwanthpur,Bengaluru,2019-04-14,11,TOWER_DUMP,0.48
COL000063,P000524,P000335,LOC000007,Mumbra,Thane,2022-03-18,117,TOWER_DUMP,0.49
COL000064,P000662,P000403,LOC000076,Karelibaug,Vadodara,2021-01-11,149,TOWER_DUMP,0.83
COL000065,P000788,P000150,LOC000119,Vasco,South Goa,2023-02-26,106,TOWER_DUMP,0.55
COL000066,P000473,P000759,LOC000056,Jamalpur,Ludhiana,2023-01-18,33,TOWER_DUMP,0.48
COL000067,P000709,P000125,LOC000013,Cidco,Aurangabad,2023-11-29,36,TOWER_DUMP,0.52
COL000068,P000507,P000611,LOC000018,Karol Bagh,New Delhi,2026-01-05,42,TOWER_DUMP,0.72
COL000069,P000714,P000511,LOC000083,Charminar,Hyderabad,2021-03-09,46,TOWER_DUMP,0.61
COL000070,P000567,P000482,LOC000091,Nandyal,Kurnool,2018-10-21,149,TOWER_DUMP,0.58
COL000071,P000377,P000500,LOC000084,Kukatpally,Hyderabad,2022-12-19,49,TOWER_DUMP,0.76
COL000072,P000567,P000777,LOC000101,Ullal,Mangaluru,2020-04-05,174,TOWER_DUMP,0.84
COL000073,P000681,P000455,LOC000082,Gorakhpur,Jabalpur,2022-04-16,139,TOWER_DUMP,0.84
COL000074,P000855,P000318,LOC000040,Barauni,Begusarai,2019-09-27,11,TOWER_DUMP,0.64
COL000075,P000127,P000805,LOC000001,Dongri,Mumbai,2025-04-20,27,TOWER_DUMP,0.63
COL000076,P000315,P000110,LOC000083,Charminar,Hyderabad,2020-07-26,56,TOWER_DUMP,0.54
COL000077,P000572,P000759,LOC000066,Nokha,Bikaner,2026-06-26,63,TOWER_DUMP,0.49
COL000078,P000669,P000659,LOC000024,Chakeri,Kanpur,2018-07-14,173,TOWER_DUMP,0.72
COL000079,P000741,P000250,LOC000123,Bhairamgarh,Bijapur,2020-10-20,115,TOWER_DUMP,0.48
COL000080,P000214,P000515,LOC000088,Gajuwaka,Visakhapatnam,2021-09-07,52,TOWER_DUMP,0.5
COL000081,P000378,P000827,LOC000039,Mahadeva,Siwan,2025-12-23,168,TOWER_DUMP,0.61
COL000082,P000372,P000112,LOC000099,KG Halli,Bengaluru,2024-03-02,8,TOWER_DUMP,0.54
COL000083,P000463,P000064,LOC000113,Paltan Bazaar,Guwahati,2023-12-31,42,TOWER_DUMP,0.55
COL000084,P000511,P000215,LOC000064,Ballabgarh,Faridabad,2026-01-03,163,TOWER_DUMP,0.56
COL000085,P000880,P000361,LOC000114,Golakganj,Dhubri,2018-05-02,81,TOWER_DUMP,0.65
COL000086,P000590,P000673,LOC000005,Andheri,Mumbai,2024-11-08,152,TOWER_DUMP,0.64
COL000087,P000633,P000576,LOC000086,Hanamkonda,Warangal,2025-09-22,166,TOWER_DUMP,0.58
COL000088,P000877,P000606,LOC000072,Varachha,Surat,2022-04-16,175,TOWER_DUMP,0.81
COL000089,P000059,P000120,LOC000053,Karimpur,Nadia,2018-10-30,89,TOWER_DUMP,0.51
COL000090,P000373,P000804,LOC000124,Clement Town,Dehradun,2025-10-16,132,TOWER_DUMP,0.72
COL000091,P000442,P000304,LOC000051,Bongaon,North 24 Parganas,2025-09-12,137,TOWER_DUMP,0.73
COL000092,P000851,P000633,LOC000122,Birgaon,Raipur,2024-12-28,21,TOWER_DUMP,0.76
COL000093,P000397,P000727,LOC000105,Tirur,Malappuram,2021-09-10,134,TOWER_DUMP,0.85
COL000094,P000705,P000423,LOC000066,Nokha,Bikaner,2018-09-07,128,TOWER_DUMP,0.68
COL000095,P000153,P000261,LOC000076,Karelibaug,Vadodara,2020-06-03,166,TOWER_DUMP,0.81
COL000096,P000268,P000494,LOC000069,Ramgarh,Alwar,2025-05-05,97,TOWER_DUMP,0.55
COL000097,P000290,P000489,LOC000100,Yeshwanthpur,Bengaluru,2025-01-05,68,TOWER_DUMP,0.58
COL000098,P000456,P000657,LOC000123,Bhairamgarh,Bijapur,2024-06-30,11,TOWER_DUMP,0.73
COL000099,P000757,P000053,LOC000113,Paltan Bazaar,Guwahati,2019-11-30,171,TOWER_DUMP,0.59
COL000100,P000775,P000426,LOC000007,Mumbra,Thane,2024-09-11,28,TOWER_DUMP,0.74
COL000101,P000344,P000565,LOC000010,Kondhwa,Pune,2019-05-02,81,TOWER_DUMP,0.76
COL000102,P000174,P000355,LOC000077,Bairagarh,Bhopal,2018-11-21,117,TOWER_DUMP,0.79
COL000103,P000853,P000181,LOC000090,Mangalagiri,Guntur,2020-11-21,52,TOWER_DUMP,0.61
COL000104,P000704,P000863,LOC000087,Bodhan,Nizamabad,2024-11-09,164,TOWER_DUMP,0.71
COL000105,P000864,P000141,LOC000095,Melur,Madurai,2026-04-16,114,TOWER_DUMP,0.81
COL000106,P000445,P000304,LOC000034,Line Bazaar,Jaunpur,2023-11-23,95,TOWER_DUMP,0.7
COL000107,P000609,P000819,LOC000027,Sector 63,Noida,2026-03-02,177,TOWER_DUMP,0.49
COL000108,P000246,P000608,LOC000118,Anjuna,North Goa,2023-05-06,88,TOWER_DUMP,0.58
COL000109,P000232,P000674,LOC000118,Anjuna,North Goa,2019-03-04,49,TOWER_DUMP,0.75
COL000110,P000771,P000552,LOC000006,Malad,Mumbai,2021-08-04,76,TOWER_DUMP,0.74
COL000111,P000818,P000859,LOC000066,Nokha,Bikaner,2021-03-22,131,TOWER_DUMP,0.67
COL000112,P000503,P000465,LOC000118,Anjuna,North Goa,2021-01-21,8,TOWER_DUMP,0.73
COL000113,P000496,P000767,LOC000026,Loni,Ghaziabad,2024-11-06,31,TOWER_DUMP,0.47
COL000114,P000590,P000692,LOC000003,Kurla,Mumbai,2022-11-11,50,TOWER_DUMP,0.72
COL000115,P000876,P000664,LOC000051,Bongaon,North 24 Parganas,2026-05-06,149,TOWER_DUMP,0.6
COL000116,P000700,P000053,LOC000076,Karelibaug,Vadodara,2025-12-25,127,TOWER_DUMP,0.83
COL000117,P000129,P000442,LOC000055,Khalra,Tarn Taran,2024-05-02,144,TOWER_DUMP,0.8
COL000118,P000856,P000634,LOC000101,Ullal,Mangaluru,2018-04-06,7,TOWER_DUMP,0.69
COL000119,P000084,P000823,LOC000090,Mangalagiri,Guntur,2023-06-12,74,TOWER_DUMP,0.67
COL000120,P000372,P000078,LOC000014,Barshi,Solapur,2018-09-25,6,TOWER_DUMP,0.68
