incident_id,vehicle_id,registration_no,involvement
INC000507,VEH000220,MH31 HX 0964,USED_IN_OFFENCE
INC000508,VEH000154,DL01 BY 4098,TRANSPORT
INC000516,VEH000230,AS01 UK 5474,USED_IN_OFFENCE
INC000520,VEH000055,JK01 WX 6615,SEEN_AT_SCENE
INC000524,VEH000294,TN67 ZA 8881,SEIZED
INC000528,VEH000258,JH20 HF 1926,SEEN_AT_SCENE
INC000529,VEH000288,DL09 PJ 0770,TRANSPORT
INC000531,VEH000330,TN45 CO 2506,USED_IN_OFFENCE
INC000533,VEH000202,AP07 CG 7544,TRANSPORT
INC000538,VEH000172,HR38 IX 6584,SEEN_AT_SCENE
INC000539,VEH000287,DL08 YU 6850,TRANSPORT
INC000540,VEH000315,KL13 NH 5352,TRANSPORT
INC000541,VEH000173,HR20 RG 2408,SEIZED
INC000544,VEH000213,TN10 EC 4836,SEIZED
INC000545,VEH000227,BR09 IQ 5781,USED_IN_OFFENCE
INC000546,VEH000250,GJ05 WX 4281,SEIZED
INC000553,VEH000258,JH20 HF 1926,SEIZED
INC000554,VEH000258,JH20 HF 1926,SEEN_AT_SCENE
INC000556,VEH000170,WB20 LQ 4153,SEEN_AT_SCENE
INC000557,VEH000045,RJ27 SL 0488,SEIZED
INC000558,VEH000286,TN10 VP 8268,SEIZED
INC000561,VEH000268,BR06 UW 1329,TRANSPORT
INC000564,VEH000117,MH04 ZX 3185,SEEN_AT_SCENE
INC000568,VEH000328,GA01 GC 0216,SEIZED
INC000571,VEH000229,JH13 WT 9370,SEEN_AT_SCENE
INC000572,VEH000132,TN01 XO 3656,TRANSPORT
INC000573,VEH000131,KA19 DF 0885,USED_IN_OFFENCE
INC000577,VEH000072,HR26 XY 8931,SEEN_AT_SCENE
INC000580,VEH000209,TS16 ZJ 9009,SEIZED
INC000584,VEH000182,HR38 MM 6443,TRANSPORT
INC000585,VEH000267,UP50 UP 2916,SEEN_AT_SCENE
INC000587,VEH000336,MN01 VN 4056,USED_IN_OFFENCE
INC000594,VEH000223,AP21 QA 3874,SEIZED
INC000601,VEH000291,WB73 YS 4342,SEIZED
INC000603,VEH000335,UP78 QJ 5906,TRANSPORT
INC000608,VEH000114,TS09 VE 0896,TRANSPORT
INC000609,VEH000149,KA32 UY 4383,USED_IN_OFFENCE
INC000613,VEH000102,WB02 KK 4402,SEIZED
INC000618,VEH000234,AS01 FB 9446,SEEN_AT_SCENE
INC000619,VEH000299,GA03 LR 6395,USED_IN_OFFENCE
INC000621,VEH000026,KA01 FR 4836,USED_IN_OFFENCE
INC000622,VEH000067,DL03 HX 6160,USED_IN_OFFENCE
INC000624,VEH000113,TS07 FD 0502,SEEN_AT_SCENE
INC000631,VEH000041,PB46 EM 2775,USED_IN_OFFENCE
INC000634,VEH000032,MH04 HU 8753,SEEN_AT_SCENE
INC000635,VEH000128,RJ27 VO 8108,USED_IN_OFFENCE
INC000636,VEH000332,MH43 TP 8886,SEIZED
INC000638,VEH000225,TS07 NU 9880,SEIZED
INC000640,VEH000113,TS07 FD 0502,USED_IN_OFFENCE
INC000641,VEH000309,MN01 IP 5198,SEIZED
INC000644,VEH000170,WB20 LQ 4153,SEIZED
INC000647,VEH000078,KA01 HZ 8217,USED_IN_OFFENCE
INC000649,VEH000178,HR10 LO 1849,SEIZED
INC000660,VEH000204,OD07 IK 1304,SEIZED
INC000668,VEH000187,DL07 XR 6297,SEEN_AT_SCENE
INC000670,VEH000024,MH20 QT 9238,SEEN_AT_SCENE
INC000671,VEH000131,KA19 DF 0885,USED_IN_OFFENCE
INC000675,VEH000337,RJ07 AJ 6980,USED_IN_OFFENCE
INC000678,VEH000262,DL08 WS 4123,USED_IN_OFFENCE
INC000680,VEH000270,MH20 BD 3701,TRANSPORT
INC000688,VEH000238,OD02 JD 5491,SEEN_AT_SCENE
INC000691,VEH000326,KA32 WG 5879,SEEN_AT_SCENE
INC000694,VEH000276,PB11 VY 8935,SEEN_AT_SCENE
INC000695,VEH000195,UP16 PP 3955,SEIZED
INC000699,VEH000338,JK01 RO 8928,USED_IN_OFFENCE
INC000700,VEH000106,WB20 AZ 0903,SEIZED
INC000709,VEH000012,DL08 YS 7372,TRANSPORT
INC000710,VEH000260,DL04 MP 7625,TRANSPORT
INC000712,VEH000271,PB08 FM 2542,SEEN_AT_SCENE
INC000716,VEH000160,WB02 MH 4155,USED_IN_OFFENCE
INC000717,VEH000246,GJ18 RL 8652,TRANSPORT
INC000721,VEH000338,JK01 RO 8928,SEIZED
INC000722,VEH000176,PB11 WY 2737,SEEN_AT_SCENE
INC000724,VEH000126,MP13 JO 2390,SEEN_AT_SCENE
INC000725,VEH000064,JH01 UA 9832,SEIZED
INC000727,VEH000086,JH01 XI 0397,SEIZED
INC000729,VEH000257,RJ14 VB 2220,SEEN_AT_SCENE
INC000731,VEH000276,PB11 VY 8935,SEIZED
INC000733,VEH000263,JH10 RW 6465,SEIZED
INC000735,VEH000203,TN37 BC 8276,SEIZED
INC000737,VEH000298,AP31 PF 8942,USED_IN_OFFENCE
INC000739,VEH000297,CG10 KH 5332,TRANSPORT
INC000740,VEH000043,HR51 BI 6740,SEEN_AT_SCENE
INC000746,VEH000319,KL10 IQ 1141,TRANSPORT
INC000747,VEH000333,KA19 ZT 0783,SEEN_AT_SCENE
INC000753,VEH000221,CG04 PF 8535,USED_IN_OFFENCE
INC000756,VEH000300,GJ12 QE 7273,SEIZED
INC000757,VEH000135,KA03 HS 0695,SEIZED
INC000759,VEH000269,HR10 TB 5671,SEEN_AT_SCENE
INC000760,VEH000167,WB20 HB 4457,TRANSPORT
INC000767,VEH000123,BR01 KU 3484,SEEN_AT_SCENE
INC000784,VEH000092,KA05 JU 2288,SEIZED
INC000789,VEH000054,JK05 BF 5621,SEEN_AT_SCENE
INC000792,VEH000083,JH10 DN 2958,SEEN_AT_SCENE
INC000800,VEH000320,UP14 BE 3159,SEIZED
INC000801,VEH000237,JH01 DB 4214,SEIZED
INC000802,VEH000191,UP14 IG 7040,SEIZED
INC000805,VEH000285,MP13 RE 7344,USED_IN_OFFENCE
INC000806,VEH000129,BR06 ZQ 5177,SEEN_AT_SCENE
INC000807,VEH000326,KA32 WG 5879,SEIZED
INC000808,VEH000264,JH01 DL 0538,USED_IN_OFFENCE
INC000809,VEH000177,UP80 LI 3175,SEEN_AT_SCENE
INC000813,VEH000266,UP80 GS 4291,USED_IN_OFFENCE
INC000818,VEH000015,GJ01 VO 4479,SEIZED
INC000820,VEH000289,AS15 CA 0944,USED_IN_OFFENCE
INC000821,VEH000186,UP32 VU 5483,SEIZED
INC000823,VEH000276,PB11 VY 8935,SEEN_AT_SCENE
INC000828,VEH000092,KA05 JU 2288,TRANSPORT
INC000830,VEH000326,KA32 WG 5879,SEIZED
INC000833,VEH000244,TS16 VO 8626,TRANSPORT
INC000834,VEH000228,OD05 PD 4471,SEIZED
INC000835,VEH000179,BR09 PB 5189,SEEN_AT_SCENE
INC000843,VEH000127,TN45 WY 9851,SEEN_AT_SCENE
INC000851,VEH000267,UP50 UP 2916,TRANSPORT
INC000854,VEH000226,JH20 HH 9123,TRANSPORT
INC000858,VEH000009,DL01 HB 3151,TRANSPORT
INC000861,VEH000322,AP07 YS 9262,SEEN_AT_SCENE
INC000868,VEH000295,MP09 RS 7597,SEIZED
INC000869,VEH000008,GJ27 UV 7796,TRANSPORT
INC000870,VEH000271,PB08 FM 2542,USED_IN_OFFENCE
INC000871,VEH000306,UK08 IE 7362,TRANSPORT
INC000873,VEH000284,DL01 AK 5734,SEEN_AT_SCENE
INC000878,VEH000260,DL04 MP 7625,SEEN_AT_SCENE
INC000888,VEH000193,AS01 XC 4518,SEIZED
INC000896,VEH000058,RJ02 BV 4789,TRANSPORT
INC000898,VEH000283,TN67 YP 1736,SEEN_AT_SCENE
INC000899,VEH000076,DL07 XQ 9136,SEIZED
INC000902,VEH000309,MN01 IP 5198,SEEN_AT_SCENE
INC000903,VEH000015,GJ01 VO 4479,USED_IN_OFFENCE
INC000909,VEH000150,HR10 AG 6353,SEEN_AT_SCENE
INC000911,VEH000336,MN01 VN 4056,TRANSPORT
INC000912,VEH000021,GJ01 PG 2842,SEEN_AT_SCENE
INC000913,VEH000181,BR06 HJ 2253,SEIZED
INC000914,VEH000140,BR33 EP 4731,SEIZED
INC000916,VEH000181,BR06 HJ 2253,SEEN_AT_SCENE
INC000917,VEH000207,TN37 HV 4580,USED_IN_OFFENCE
INC000930,VEH000333,KA19 ZT 0783,USED_IN_OFFENCE
INC000932,VEH000319,KL10 IQ 1141,TRANSPORT
INC000933,VEH000326,KA32 WG 5879,SEEN_AT_SCENE
INC000934,VEH000258,JH20 HF 1926,USED_IN_OFFENCE
INC000937,VEH000216,TN37 XY 3428,SEIZED
INC000938,VEH000063,WB20 RI 5453,SEEN_AT_SCENE
INC000941,VEH000119,WB24 HC 0110,SEIZED
INC000942,VEH000278,MH04 TI 1479,SEEN_AT_SCENE
INC000947,VEH000076,DL07 XQ 9136,SEIZED
INC000949,VEH000131,KA19 DF 0885,SEEN_AT_SCENE
INC000950,VEH000005,GJ01 FJ 9235,TRANSPORT
INC000957,VEH000233,WB73 VR 4573,USED_IN_OFFENCE
INC000968,VEH000299,GA03 LR 6395,TRANSPORT
INC000969,VEH000261,UP62 NJ 3490,SEEN_AT_SCENE
INC000972,VEH000115,KL11 EX 5756,TRANSPORT
INC000975,VEH000190,BR06 VE 0608,SEEN_AT_SCENE
INC000979,VEH000139,KA41 JA 8286,SEIZED
INC000984,VEH000076,DL07 XQ 9136,SEEN_AT_SCENE
INC000985,VEH000047,HR20 KC 6380,TRANSPORT
INC000986,VEH000333,KA19 ZT 0783,SEEN_AT_SCENE
INC000988,VEH000116,TS10 PT 9851,USED_IN_OFFENCE
INC000992,VEH000198,DL10 GZ 2469,SEIZED
INC000993,VEH000031,MH31 NP 6213,USED_IN_OFFENCE
INC000996,VEH000329,OD02 LV 7347,USED_IN_OFFENCE
INC001003,VEH000286,TN10 VP 8268,SEIZED
INC001005,VEH000228,OD05 PD 4471,SEIZED
INC001008,VEH000175,UP80 DD 4516,SEIZED
INC001010,VEH000053,PB65 CM 8107,TRANSPORT
INC001011,VEH000157,JH10 ON 6397,TRANSPORT
INC001013,VEH000035,HR55 JQ 2414,USED_IN_OFFENCE
INC001015,VEH000275,HR10 PP 0710,TRANSPORT
INC001018,VEH000235,WB73 FC 8265,TRANSPORT
INC001019,VEH000042,RJ19 RF 2443,TRANSPORT
INC001022,VEH000208,CG07 VI 7965,TRANSPORT
INC001023,VEH000202,AP07 CG 7544,TRANSPORT
INC001034,VEH000243,TS10 LU 2988,USED_IN_OFFENCE
INC001040,VEH000187,DL07 XR 6297,SEIZED
INC001041,VEH000199,DL03 FC 8203,TRANSPORT
INC001045,VEH000210,KA01 WS 7735,USED_IN_OFFENCE
INC001049,VEH000155,WB20 RO 9307,SEEN_AT_SCENE
INC001051,VEH000284,DL01 AK 5734,TRANSPORT
INC001053,VEH000170,WB20 LQ 4153,SEIZED
INC001054,VEH000329,OD02 LV 7347,USED_IN_OFFENCE
INC001055,VEH000262,DL08 WS 4123,USED_IN_OFFENCE
INC001057,VEH000028,KA41 BL 9642,TRANSPORT
INC001059,VEH000264,JH01 DL 0538,SEEN_AT_SCENE
INC001061,VEH000282,HR26 WA 4574,USED_IN_OFFENCE
INC001062,VEH000276,PB11 VY 8935,SEEN_AT_SCENE
INC001064,VEH000335,UP78 QJ 5906,SEIZED
INC001067,VEH000285,MP13 RE 7344,TRANSPORT
INC001072,VEH000324,JK01 GL 4258,SEIZED
INC001074,VEH000091,WB02 CW 6909,SEEN_AT_SCENE
INC001075,VEH000285,MP13 RE 7344,TRANSPORT
INC001081,VEH000220,MH31 HX 0964,TRANSPORT
INC001085,VEH000109,MH20 DV 2927,SEEN_AT_SCENE
INC001086,VEH000189,WB02 QO 2739,SEEN_AT_SCENE
INC001088,VEH000219,TS10 XQ 0020,SEEN_AT_SCENE
INC001096,VEH000323,OD33 FB 8885,TRANSPORT
INC001099,VEH000150,HR10 AG 6353,SEEN_AT_SCENE
INC001104,VEH000265,BR11 CI 8528,SEEN_AT_SCENE
INC001112,VEH000164,BR33 MU 5232,SEEN_AT_SCENE
INC001114,VEH000087,JH13 YQ 6737,SEEN_AT_SCENE
INC001119,VEH000265,BR11 CI 8528,SEIZED
INC001123,VEH000006,KA05 CW 0719,USED_IN_OFFENCE
INC001124,VEH000269,HR10 TB 5671,TRANSPORT
INC001125,VEH000202,AP07 CG 7544,USED_IN_OFFENCE
INC001130,VEH000314,MH14 PC 1266,USED_IN_OFFENCE
INC001135,VEH000140,BR33 EP 4731,SEIZED
INC001141,VEH000272,RJ14 GE 5443,SEIZED
INC001144,VEH000105,TS07 LD 6695,TRANSPORT
INC001146,VEH000321,AP39 IQ 7171,SEIZED
INC001150,VEH000026,KA01 FR 4836,TRANSPORT
INC001159,VEH000154,DL01 BY 4098,TRANSPORT
INC001160,VEH000276,PB11 VY 8935,USED_IN_OFFENCE
INC001162,VEH000263,JH10 RW 6465,TRANSPORT
INC001163,VEH000125,KA03 EF 5560,SEEN_AT_SCENE
INC001166,VEH000321,AP39 IQ 7171,SEEN_AT_SCENE
INC001171,VEH000040,RJ27 DG 7437,SEEN_AT_SCENE
INC001175,VEH000207,TN37 HV 4580,SEIZED
INC001180,VEH000239,WB73 GK 7243,USED_IN_OFFENCE
INC001182,VEH000135,KA03 HS 0695,SEEN_AT_SCENE
INC001183,VEH000283,TN67 YP 1736,SEIZED
INC001201,VEH000112,MH14 JJ 3961,TRANSPORT
INC001202,VEH000309,MN01 IP 5198,TRANSPORT
INC001205,VEH000163,BR28 JR 7112,SEIZED
INC001206,VEH000190,BR06 VE 0608,TRANSPORT
INC001210,VEH000079,UP16 PU 0324,SEEN_AT_SCENE
INC001211,VEH000112,MH14 JJ 3961,SEEN_AT_SCENE
INC001213,VEH000325,GJ27 MH 5494,SEIZED
INC001215,VEH000174,RJ19 AT 5124,SEEN_AT_SCENE
INC001220,VEH000177,UP80 LI 3175,SEIZED
INC001221,VEH000282,HR26 WA 4574,TRANSPORT
INC001222,VEH000034,PB65 CF 6454,TRANSPORT
INC001223,VEH000068,BR11 UZ 1056,USED_IN_OFFENCE
INC001231,VEH000269,HR10 TB 5671,USED_IN_OFFENCE
INC001234,VEH000159,MP09 PB 3909,USED_IN_OFFENCE
INC001238,VEH000301,TN01 BF 5303,SEIZED
INC001240,VEH000274,HR51 CB 8099,SEEN_AT_SCENE
INC001245,VEH000329,OD02 LV 7347,TRANSPORT
INC001247,VEH000252,GJ12 IN 1956,USED_IN_OFFENCE
INC001251,VEH000291,WB73 YS 4342,SEIZED
INC001255,VEH000320,UP14 BE 3159,SEEN_AT_SCENE
INC001260,VEH000322,AP07 YS 9262,SEIZED
INC001265,VEH000133,KA01 VZ 5105,USED_IN_OFFENCE
INC001266,VEH000331,MH01 AN 8948,TRANSPORT
INC001268,VEH000114,TS09 VE 0896,TRANSPORT
INC001270,VEH000310,HR20 GI 2299,USED_IN_OFFENCE
INC001275,VEH000023,GJ18 EM 7545,USED_IN_OFFENCE
INC001287,VEH000185,PB08 AW 0746,TRANSPORT
INC001291,VEH000043,HR51 BI 6740,SEIZED
INC001293,VEH000268,BR06 UW 1329,SEIZED
INC001295,VEH000150,HR10 AG 6353,SEEN_AT_SCENE
INC001296,VEH000132,TN01 XO 3656,TRANSPORT
INC001299,VEH000198,DL10 GZ 2469,SEIZED
INC001304,VEH000141,KA03 RI 9738,SEEN_AT_SCENE
INC001307,VEH000317,CG07 ON 6253,TRANSPORT
INC001317,VEH000213,TN10 EC 4836,SEIZED
INC001324,VEH000260,DL04 MP 7625,SEEN_AT_SCENE
INC001325,VEH000014,GJ01 SR 0518,USED_IN_OFFENCE
INC001330,VEH000071,BR11 QC 1868,SEIZED
INC001336,VEH000221,CG04 PF 8535,USED_IN_OFFENCE
INC001337,VEH000070,KA32 NL 1482,TRANSPORT
INC001338,VEH000188,WB24 OO 9185,USED_IN_OFFENCE
INC001341,VEH000117,MH04 ZX 3185,USED_IN_OFFENCE
INC001343,VEH000158,MP30 DH 4827,SEEN_AT_SCENE
INC001347,VEH000270,MH20 BD 3701,TRANSPORT
INC001349,VEH000223,AP21 QA 3874,TRANSPORT
INC001351,VEH000311,UP50 AQ 9704,SEIZED
INC001352,VEH000286,TN10 VP 8268,SEEN_AT_SCENE
INC001353,VEH000323,OD33 FB 8885,SEEN_AT_SCENE
INC001356,VEH000287,DL08 YU 6850,TRANSPORT
INC001357,VEH000106,WB20 AZ 0903,SEIZED
INC001361,VEH000306,UK08 IE 7362,USED_IN_OFFENCE
INC001363,VEH000337,RJ07 AJ 6980,SEEN_AT_SCENE
INC001364,VEH000130,KA32 XF 6810,USED_IN_OFFENCE
INC001367,VEH000293,AP21 JV 8492,SEIZED
INC001369,VEH000041,PB46 EM 2775,USED_IN_OFFENCE
INC001374,VEH000131,KA19 DF 0885,USED_IN_OFFENCE
INC001376,VEH000066,DL02 NV 5498,SEIZED
INC001377,VEH000236,WB20 HC 4618,SEIZED
INC001381,VEH000225,TS07 NU 9880,SEIZED
INC001383,VEH000096,UP65 VI 2360,SEIZED
INC001384,VEH000211,TN45 CW 6856,TRANSPORT
INC001389,VEH000330,TN45 CO 2506,SEIZED
INC001390,VEH000302,CG07 GD 5714,SEEN_AT_SCENE
INC001395,VEH000187,DL07 XR 6297,USED_IN_OFFENCE
INC001404,VEH000108,MH12 ID 5136,SEIZED
INC001405,VEH000267,UP50 UP 2916,TRANSPORT
INC001408,VEH000266,UP80 GS 4291,USED_IN_OFFENCE
INC001409,VEH000195,UP16 PP 3955,TRANSPORT
INC001412,VEH000323,OD33 FB 8885,USED_IN_OFFENCE
INC001414,VEH000195,UP16 PP 3955,SEIZED
INC001417,VEH000319,KL10 IQ 1141,USED_IN_OFFENCE
INC001419,VEH000263,JH10 RW 6465,SEEN_AT_SCENE
